clus	markerGene	padj	significant
0	STRG.43223	1.65E-31	T
0	STRG.43592	7.22E-30	T
0	STRG.30698	1.03E-23	T
0	STRG.43262	2.76E-12	T
0	STRG.43790	7.82E-09	T
0	STRG.43114	6.74E-06	T
0	STRG.43832	0.00011994	T
0	STRG.30319	0.012654936	T
1	STRG.43776	7.37E-38	T
1	STRG.43775	5.91E-22	T
1	STRG.43592	9.19E-17	T
1	STRG.30698	6.20E-14	T
1	STRG.43223	1.32E-11	T
1	STRG.43087	1.21E-08	T
1	STRG.43262	5.34E-07	T
1	STRG.43150	7.86E-07	T
1	STRG.43777	0.000688277	T
1	STRG.17973	0.008465457	T
1	STRG.43827	0.020655779	T
1	STRG.43114	0.037411577	T
1	STRG.43774	0.043877936	T
2	STRG.25668	9.89E-153	T
2	STRG.18883	2.42E-44	T
2	STRG.12234	4.19E-24	T
2	STRG.4215	4.83E-24	T
2	STRG.43592	1.09E-19	T
2	STRG.21723	2.14E-15	T
2	STRG.6430	5.04E-10	T
2	STRG.38590	5.90E-10	T
2	STRG.30319	3.68E-09	T
2	STRG.43832	8.43E-06	T
2	STRG.43223	1.11E-05	T
2	STRG.14077	1.99E-05	T
2	STRG.21847	2.86E-05	T
2	STRG.30698	0.000650243	T
2	STRG.33567	0.001053158	T
2	STRG.43262	0.00149137	T
2	STRG.17973	0.048908046	T
3	STRG.43592	2.43E-175	T
3	STRG.30698	3.46E-131	T
3	STRG.43223	5.17E-124	T
3	STRG.43262	1.44E-105	T
3	STRG.43832	3.64E-86	T
3	STRG.17973	1.01E-73	T
3	STRG.43114	4.08E-71	T
3	STRG.4215	4.93E-54	T
3	STRG.43069	9.06E-52	T
3	STRG.43505	3.22E-49	T
3	STRG.437	4.81E-49	T
3	STRG.43087	8.34E-49	T
3	STRG.1790	9.03E-49	T
3	STRG.17978	2.62E-45	T
3	STRG.26546	1.54E-44	T
3	STRG.43225	2.73E-41	T
3	STRG.43330	5.22E-39	T
3	STRG.43218	2.27E-37	T
3	STRG.43621	3.92E-36	T
3	STRG.43743	1.88E-32	T
3	STRG.43176	2.93E-31	T
3	STRG.43366	2.11E-29	T
3	STRG.43790	5.58E-27	T
3	STRG.43521	5.91E-27	T
3	STRG.43336	7.72E-27	T
3	STRG.6430	5.99E-21	T
3	STRG.43724	1.61E-17	T
3	STRG.43128	4.46E-17	T
3	STRG.26573	1.01E-16	T
3	STRG.17967	3.76E-16	T
3	STRG.43342	1.04E-15	T
3	STRG.43544	1.22E-15	T
3	STRG.43004	4.33E-15	T
3	STRG.43566	6.72E-15	T
3	STRG.43517	1.57E-14	T
3	STRG.43383	2.97E-14	T
3	STRG.43438	5.34E-14	T
3	STRG.43465	3.13E-13	T
3	STRG.43116	4.85E-13	T
3	STRG.43813	5.06E-13	T
3	STRG.17982	2.40E-12	T
3	STRG.43374	2.46E-12	T
3	STRG.43776	6.58E-11	T
3	STRG.43503	1.23E-09	T
3	STRG.43722	1.63E-09	T
3	STRG.18883	1.84E-09	T
3	STRG.43788	2.82E-09	T
4	STRG.43073	1.55E-86	T
4	STRG.42156	2.49E-35	T
4	STRG.43180	8.29E-23	T
4	STRG.43919	1.41E-18	T
4	STRG.16183	2.43E-18	T
4	STRG.43361	9.45E-14	T
4	STRG.43190	2.14E-13	T
4	STRG.37100	2.43E-11	T
4	STRG.43932	3.94E-11	T
4	STRG.43553	2.74E-10	T
4	STRG.43185	6.74E-08	T
4	STRG.26546	8.31E-08	T
4	STRG.1795	6.75E-07	T
4	STRG.43920	1.18E-06	T
4	STRG.43376	1.70E-06	T
4	STRG.43466	9.54E-06	T
4	STRG.43145	1.80E-05	T
4	STRG.43950	0.001291855	T
4	STRG.1904	0.001970525	T
4	STRG.43504	0.002833166	T
4	STRG.4391	0.005008067	T
4	STRG.43192	0.006282063	T
4	STRG.433	0.006834033	T
4	STRG.43174	0.009786991	T
4	STRG.43544	0.012838951	T
4	STRG.4374	0.020740193	T
4	STRG.4392	0.021481581	T
4	STRG.43454	0.022761767	T
5	STRG.43737	0	T
5	STRG.43865	4.92E-208	T
5	STRG.43132	1.16E-90	T
5	STRG.43731	2.88E-69	T
5	STRG.43738	5.84E-62	T
5	STRG.43730	4.75E-45	T
5	STRG.17900	1.66E-24	T
5	STRG.43176	1.47E-18	T
5	STRG.43505	4.35E-17	T
5	STRG.43375	1.55E-15	T
5	STRG.43495	9.10E-13	T
5	STRG.43148	1.08E-10	T
5	STRG.43265	5.07E-10	T
5	STRG.43229	4.58E-08	T
5	STRG.4344	1.19E-07	T
5	STRG.43211	2.70E-07	T
5	STRG.43266	2.99E-05	T
5	STRG.43218	3.94E-05	T
5	STRG.43525	4.36E-05	T
5	STRG.43087	0.000100774	T
5	STRG.43080	0.00020319	T
5	STRG.43506	0.000993562	T
5	STRG.43352	0.001036936	T
5	STRG.17961	0.015885309	T
5	STRG.43213	0.019868371	T
6	STRG.30135	0	T
6	STRG.44173	0	T
6	STRG.26130	0	T
6	STRG.10749	0	T
6	STRG.6756	0	T
6	STRG.35186	2.41E-272	T
6	STRG.18192	8.80E-151	T
6	STRG.265	2.24E-149	T
6	STRG.27134	1.92E-127	T
6	STRG.15856	4.25E-61	T
6	STRG.4476	3.57E-55	T
6	STRG.20551	6.31E-47	T
6	STRG.17560	3.61E-44	T
6	STRG.10108	2.04E-32	T
6	STRG.12211	4.53E-32	T
6	STRG.4909	9.12E-29	T
6	STRG.8501	3.25E-28	T
6	STRG.44093	5.22E-27	T
6	STRG.23410	2.13E-25	T
6	STRG.43071	2.29E-23	T
6	STRG.43020	5.30E-23	T
6	STRG.43069	2.00E-21	T
6	STRG.16590	2.37E-21	T
6	STRG.3319	2.23E-20	T
6	STRG.21723	2.86E-19	T
6	STRG.29170	1.67E-17	T
6	STRG.38403	3.57E-15	T
6	STRG.43142	3.47E-11	T
6	STRG.34508	1.75E-10	T
6	STRG.43315	2.13E-10	T
6	STRG.43791	1.68E-09	T
6	STRG.27048	2.35E-08	T
6	STRG.4308	4.25E-08	T
6	STRG.4475	4.62E-08	T
6	STRG.43	9.34E-08	T
6	STRG.4306	9.91E-08	T
6	STRG.43505	4.36E-07	T
6	STRG.30679	1.53E-06	T
6	STRG.43366	1.69E-06	T
6	STRG.41757	5.86E-06	T
6	STRG.36590	7.07E-05	T
6	STRG.12699	0.000106058	T
6	STRG.19040	0.002833959	T
6	STRG.43899	0.003303763	T
6	STRG.17978	0.007038822	T
6	STRG.43348	0.013194588	T
6	STRG.43920	0.024852138	T
6	STRG.43544	0.032758819	T
6	STRG.36203	0.037760785	T
6	STRG.26546	0.041953679	T
6	STRG.43012	0.046088818	T
6	STRG.43454	0.048123198	T
7	STRG.43592	1.67E-14	T
7	STRG.43223	5.82E-05	T
7	STRG.30698	0.001240211	T
8	STRG.4329	1.44E-191	T
8	STRG.43152	5.78E-108	T
8	STRG.43506	1.25E-52	T
8	STRG.43401	2.81E-35	T
8	STRG.43119	9.05E-27	T
8	STRG.30612	2.00E-11	T
8	STRG.43336	6.28E-07	T
8	STRG.43790	6.30E-06	T
8	STRG.43255	1.76E-05	T
8	STRG.43793	2.63E-05	T
8	STRG.43193	4.77E-05	T
8	STRG.43402	0.000335502	T
8	STRG.29170	0.001232362	T
8	STRG.43525	0.004746452	T
8	STRG.43128	0.010408475	T
8	STRG.4343	0.011883844	T
8	STRG.26509	0.014858413	T
8	STRG.43058	0.015254753	T
8	STRG.26518	0.033480643	T
8	STRG.437	0.036648256	T
9	STRG.6756	1.84E-293	T
9	STRG.10749	1.78E-176	T
9	STRG.29170	8.52E-21	T
9	STRG.12211	5.35E-17	T
9	STRG.43506	8.77E-13	T
9	STRG.43193	4.78E-12	T
9	STRG.43383	5.81E-11	T
9	STRG.17945	3.49E-08	T
9	STRG.43142	8.04E-07	T
9	STRG.43256	2.26E-06	T
9	STRG.38802	2.26E-05	T
9	STRG.43255	0.005240131	T
9	STRG.43145	0.006947874	T
9	STRG.43989	0.015966814	T
9	STRG.43348	0.034944865	T
10	STRG.43428	3.20E-122	T
10	STRG.43790	1.91E-67	T
10	STRG.43505	2.45E-56	T
10	STRG.43429	9.60E-54	T
10	STRG.43176	3.15E-35	T
10	STRG.4344	1.10E-29	T
10	STRG.43069	3.17E-23	T
