clus	markerGene	padj	significant
0	LOC025662	1.8055704082907978e-131	T
0	LOC004012	1.1723807299425812e-117	T
0	LOC010544	1.891418577789947e-105	T
0	LOC043270	1.9796823982726696e-105	T
0	LOC014418	1.783250227798865e-97	T
0	LOC006183	1.783250227798865e-97	T
0	LOC013307	2.6722741125164355e-92	T
0	LOC013166	1.6724804188204294e-88	T
0	LOC037195	3.056564902883772e-87	T
0	LOC030756	3.056564902883772e-87	T
0	LOC006257	2.508473690708735e-75	T
0	LOC003885	1.701594515194803e-65	T
0	LOC008235	1.090785824096633e-64	T
0	LOC038813	3.425264917130048e-63	T
0	LOC044838	6.426806140810918e-62	T
0	LOC020635	3.619148011325176e-61	T
0	LOC000961	1.1913915125523381e-60	T
0	LOC007993	1.356646091819916e-60	T
0	LOC000335	1.4212076158535973e-59	T
0	LOC007138	2.357631862740777e-59	T
0	LOC014194	2.3379999755228945e-58	T
0	LOC011684	4.6333318982685753e-54	T
0	LOC037011	6.271655943196566e-54	T
0	LOC013241	5.272655833110709e-52	T
0	LOC030785	6.34398208702474e-51	T
0	LOC011689	1.4980295218201582e-50	T
0	LOC043985	9.605105015957513e-50	T
0	LOC031901	3.8031709625726424e-48	T
0	LOC038186	7.247105889326346e-48	T
0	LOC030873	1.3178118463081039e-45	T
0	LOC001917	5.39355013581536e-45	T
0	LOC021750	9.559639308423554e-45	T
0	LOC013504	2.7978522248366476e-44	T
0	LOC003034	9.023038466928888e-44	T
0	LOC013558	2.3389828620877483e-41	T
0	LOC002444	6.68157330933669e-40	T
0	LOC001418	6.348099363718598e-38	T
0	LOC032163	5.825205743266191e-37	T
0	LOC041825	1.4297415073616779e-36	T
0	LOC005787	2.4057456424582403e-35	T
0	LOC040448	4.976917263242995e-35	T
0	LOC014279	8.248322443786705e-35	T
0	LOC004215	8.248322443786705e-35	T
0	LOC006713	1.1568889589610268e-34	T
0	LOC005487	2.2454386871963116e-34	T
0	LOC019479	2.6829549720980503e-34	T
0	LOC030355	1.0282659505021496e-33	T
0	LOC003609	1.189744754354885e-33	T
0	LOC004900	1.966925444340208e-33	T
0	LOC040165	2.837740799885091e-32	T
0	LOC004739	2.3019889853690327e-31	T
0	LOC040359	6.949316734136277e-31	T
0	LOC045734	7.013738334876453e-30	T
0	LOC030684	1.2241016018188824e-29	T
0	LOC013551	6.393981193580572e-29	T
0	LOC039393	9.771759319592122e-29	T
0	MITO_LOC012058	4.5283909198716235e-28	T
0	LOC033009	1.5612450102344401e-27	T
0	LOC004506	2.6150064883484858e-27	T
0	LOC016515	1.2228696533306942e-26	T
0	LOC003965	1.02095116559743e-25	T
0	LOC034786	1.4593411116736785e-25	T
0	LOC031871	3.6219813323192207e-25	T
0	LOC024002	2.4542400681004317e-23	T
0	LOC031066	4.567662608007453e-23	T
0	LOC013718	1.9265684514780132e-22	T
0	LOC042351	1.9855457553469487e-22	T
0	LOC037277	3.0986152180985115e-22	T
0	LOC037255	1.6487915642514525e-21	T
0	LOC012560	1.973270345562554e-21	T
0	LOC038256	2.1347514979972756e-21	T
0	LOC008314	2.6190090797358814e-21	T
0	LOC006276	2.6789940587821464e-21	T
0	LOC016036	3.698037852537967e-21	T
0	LOC045480	7.877235828993443e-21	T
0	LOC035583	2.396199859180991e-20	T
0	LOC016514	3.524912680173433e-20	T
0	LOC041911	2.1289661054135999e-19	T
0	LOC044232	2.2218350939289484e-19	T
0	LOC026271	1.2051572510758873e-18	T
0	LOC002691	3.280168303856551e-18	T
0	LOC017747	3.967808795968889e-18	T
0	LOC041103	4.174391796381043e-18	T
0	LOC012422	4.784122231048946e-18	T
0	LOC038902	5.532277646092055e-18	T
0	LOC023746	2.9646321849635874e-17	T
0	LOC039284	5.61243924788441e-17	T
0	LOC041815	9.138500995622996e-17	T
0	LOC001097	9.222824974263293e-17	T
0	LOC036710	1.118712617667583e-16	T
0	LOC014522	1.1731082645632216e-16	T
0	LOC000471	1.4753390275717224e-16	T
0	LOC031213	2.5125638597014245e-16	T
0	LOC042877	3.3131205005418067e-16	T
0	LOC012553	4.258597413321288e-16	T
0	LOC007226	5.180935398734642e-16	T
0	LOC032857	9.512229062257806e-16	T
0	LOC042540	1.1382703939015262e-15	T
0	LOC044305	1.2571205515024494e-15	T
0	LOC016124	1.2870390218919102e-15	T
0	LOC003593	1.6812213178748062e-15	T
0	LOC031209	2.271982091991862e-15	T
0	LOC033853	2.3957599639817033e-15	T
0	LOC006701	4.3845890196706544e-15	T
0	LOC006972	9.965687767635636e-15	T
0	LOC041145	1.0032850640932762e-14	T
0	LOC013767	1.0062547530866992e-14	T
0	LOC034255	1.1739468703825969e-14	T
0	LOC018723	1.651219166485794e-14	T
0	LOC044087	1.9402253949664618e-14	T
0	LOC044932	2.172840449670104e-14	T
0	LOC001211	3.0793045742035007e-14	T
0	LOC033105	3.604382749523133e-14	T
0	LOC001113	4.9099932681666756e-14	T
0	LOC035572	1.1335144584545684e-13	T
0	LOC032817	1.167659033392118e-13	T
0	LOC010440	1.4882390333158823e-13	T
0	LOC044287	1.7109997781983506e-13	T
0	LOC029647	2.166468160987849e-13	T
0	LOC021805	2.3386792995345695e-13	T
0	LOC029922	5.123434681454672e-13	T
0	LOC018777	8.812311084834276e-13	T
0	LOC006804	9.149823686844419e-13	T
0	LOC002710	1.3011432922077932e-12	T
0	LOC041160	1.4075992709643437e-12	T
0	LOC006659	1.4356947891201767e-12	T
0	LOC003660	1.5341487701477973e-12	T
0	LOC003694	1.6379414151375544e-12	T
0	LOC006166	1.9928127852674604e-12	T
0	LOC035557	2.9191903082195128e-12	T
0	LOC000108	6.498652594782131e-12	T
0	LOC026826	9.823898087796412e-12	T
0	LOC008514	1.1407222505668797e-11	T
0	LOC034243	1.3739896732176561e-11	T
0	LOC032420	1.3739896732176561e-11	T
0	LOC006164	1.5210353372667664e-11	T
0	LOC045277	1.724280498234432e-11	T
0	LOC004657	2.061154538027386e-11	T
0	LOC011962	2.414216169216664e-11	T
0	LOC044935	3.637207209544194e-11	T
0	LOC015112	4.2329900807543285e-11	T
0	LOC004840	5.782800838711153e-11	T
0	LOC003098	7.840651370155164e-11	T
0	LOC038534	8.878779645242476e-11	T
0	LOC025417	9.013463144953294e-11	T
0	LOC005301	1.0283128851326493e-10	T
0	LOC031379	1.2514860666519563e-10	T
0	LOC013084	1.3129262520636003e-10	T
0	LOC030904	1.4148045140038007e-10	T
0	LOC027788	1.525562417107925e-10	T
0	LOC008231	1.7241432299875623e-10	T
0	LOC019211	1.8143008163429316e-10	T
0	LOC005114	6.104065522876938e-10	T
0	LOC036709	8.926181575458038e-10	T
0	LOC042203	1.000873237529994e-09	T
0	LOC013275	1.0424323948908085e-09	T
0	LOC043728	1.1048884180758812e-09	T
0	LOC043262	1.7049638660913455e-09	T
0	LOC044955	3.2127780688972454e-09	T
0	LOC039386	4.4106985353793325e-09	T
0	LOC012842	4.427468603903814e-09	T
0	LOC003665	4.455750134373025e-09	T
0	LOC006221	5.964462994521624e-09	T
0	LOC011126	8.124825930563007e-09	T
0	LOC040077	1.2693735640165736e-08	T
0	LOC002204	1.4515271197696527e-08	T
0	LOC033435	1.88160236897708e-08	T
0	LOC041383	2.3499013976988274e-08	T
0	LOC029546	2.8086038070705516e-08	T
0	LOC014363	3.479567372548269e-08	T
0	LOC001931	4.244769668875569e-08	T
0	LOC006128	6.487586200362275e-08	T
0	LOC044994	7.617866316719888e-08	T
0	LOC007286	8.70480058490458e-08	T
0	LOC030930	8.921162227022384e-08	T
0	LOC045272	9.47742042823244e-08	T
0	LOC004677	1.2260453498726958e-07	T
0	LOC039014	1.256982456347965e-07	T
0	LOC010144	1.6253151966041567e-07	T
0	LOC041612	1.7321178735165933e-07	T
0	LOC045581	1.7689406530668275e-07	T
0	LOC007030	1.9996247187306292e-07	T
0	LOC009683	2.2861385765830558e-07	T
0	LOC033950	2.355637001671019e-07	T
0	LOC024794	2.62987831054189e-07	T
0	LOC016223	2.95946453821177e-07	T
0	LOC045230	3.1624269807919305e-07	T
0	LOC040668	3.664043375164698e-07	T
0	LOC010272	3.7647208288459914e-07	T
0	LOC006286	4.506231541265265e-07	T
0	LOC015939	4.552820158810579e-07	T
0	LOC016732	4.5791586104622373e-07	T
0	LOC006669	4.77855219848548e-07	T
0	LOC009667	4.837967021438178e-07	T
0	LOC025879	5.17492073316464e-07	T
0	LOC004222	5.197570629019723e-07	T
0	LOC029483	6.386437088412192e-07	T
0	LOC036533	6.436642873288571e-07	T
0	LOC009641	8.773141053024092e-07	T
0	LOC006651	8.865968054760853e-07	T
0	LOC007288	9.588120786137086e-07	T
0	LOC037415	9.759070621433623e-07	T
0	LOC037156	1.074556947600043e-06	T
0	LOC006426	1.078025200328746e-06	T
0	LOC010523	1.2098328655559661e-06	T
0	LOC013494	1.3239332053708967e-06	T
0	LOC004097	1.416802019835009e-06	T
0	LOC000143	1.4200027950385784e-06	T
0	LOC010719	1.4939951630717163e-06	T
0	LOC038150	1.5261198428542961e-06	T
0	LOC018556	1.536567262717798e-06	T
0	LOC011391	1.6310908389722563e-06	T
0	LOC005032	1.682270880673443e-06	T
0	LOC044288	1.7946416629340803e-06	T
0	LOC032683	2.0690158569968933e-06	T
0	LOC006604	2.325772535099909e-06	T
0	LOC000854	2.384879383244412e-06	T
0	LOC018919	2.4100500045602724e-06	T
0	LOC002083	2.4359133208353556e-06	T
0	LOC000279	2.476023763644025e-06	T
0	LOC010057	2.484697504591139e-06	T
0	LOC042082	2.9089606490989126e-06	T
0	LOC029187	3.0162627139531378e-06	T
0	LOC000570	3.152222675826079e-06	T
0	LOC033218	3.307259327337612e-06	T
0	LOC043152	3.430312521715338e-06	T
0	LOC033445	3.4368032629249477e-06	T
0	LOC009976	4.009239877599665e-06	T
0	LOC041200	7.873730903826224e-06	T
0	LOC033809	8.15518087677916e-06	T
0	LOC010412	8.335747251390758e-06	T
0	LOC033974	8.52949335422413e-06	T
0	LOC038869	8.52949335422413e-06	T
0	LOC007131	9.483460414672513e-06	T
0	LOC033560	9.55206495962601e-06	T
0	LOC004024	9.679303673306162e-06	T
0	LOC031715	1.0922881055419592e-05	T
0	LOC041191	1.2080556544988053e-05	T
0	LOC003105	1.2410289543140586e-05	T
0	LOC011579	1.3117397594528463e-05	T
0	LOC002931	1.4676952147482172e-05	T
0	LOC036129	1.4829457702634169e-05	T
0	LOC003658	1.6864528032203953e-05	T
0	LOC031359	1.811173400298043e-05	T
0	LOC009798	1.811173400298043e-05	T
0	LOC045477	1.811173400298043e-05	T
0	LOC006179	2.0050589929791763e-05	T
0	LOC030360	2.422417395207695e-05	T
0	LOC043891	2.4344693731428974e-05	T
0	LOC007317	2.5295853423551064e-05	T
0	LOC040065	3.029839102433742e-05	T
0	LOC006493	3.0402338912637315e-05	T
0	LOC001565	3.7340060439860126e-05	T
0	LOC036029	4.006705367781083e-05	T
0	LOC021063	4.607558054403256e-05	T
0	LOC043383	4.75020977007277e-05	T
0	LOC040607	4.867670481490166e-05	T
0	LOC007663	6.688374346228044e-05	T
0	LOC043699	7.064751977494085e-05	T
0	LOC045218	7.586379582762163e-05	T
0	LOC042245	7.9026527575847e-05	T
0	LOC015575	8.41423723871919e-05	T
0	LOC000774	9.440443879889777e-05	T
0	LOC000333	0.000117634508287431	T
0	LOC017617	0.00012986415414713344	T
0	LOC001187	0.00013275531276670823	T
0	LOC025514	0.00013275531276670823	T
0	LOC024216	0.00013280694325318497	T
0	LOC034890	0.0001328587913302493	T
0	LOC006272	0.0001390920106846291	T
0	LOC044363	0.0001455710951974307	T
0	LOC005960	0.000150604459425114	T
0	LOC032516	0.00016792331386796	T
0	LOC029501	0.00017023380301567026	T
0	LOC009795	0.0001731679690502361	T
0	LOC005619	0.00018219423933920034	T
0	LOC011227	0.00018563239412970075	T
0	LOC013833	0.00020080125070647253	T
0	LOC031683	0.00020748034626482027	T
0	LOC009534	0.00020904308548600094	T
0	LOC027603	0.00022995995429930035	T
0	LOC045225	0.00022995995429930035	T
0	LOC001450	0.0002448872862676212	T
0	LOC030925	0.0002473891962784435	T
0	LOC030573	0.00025001438516544696	T
0	LOC028036	0.00025648479486152883	T
0	LOC038685	0.0002636215139706525	T
0	LOC034210	0.0002828307193809365	T
0	LOC001457	0.00031058247627037546	T
0	LOC040925	0.0003135970234093895	T
0	LOC016549	0.0003199666140977893	T
0	LOC019842	0.00035294018287835655	T
0	LOC045762	0.0003842776223627236	T
0	LOC034502	0.00039602342554931677	T
0	LOC008165	0.00041047832785794564	T
0	LOC040498	0.0004251116808186709	T
0	LOC014814	0.00045066299272484667	T
0	LOC002296	0.0005110250299263479	T
0	LOC040197	0.000544877991603814	T
0	LOC023644	0.0005693702596329695	T
0	LOC040737	0.0005871082725978179	T
0	LOC037192	0.0005908529724743811	T
0	LOC044518	0.0005908529724743811	T
0	LOC003451	0.0006622405122837497	T
0	LOC034640	0.0006822090175788033	T
0	LOC015769	0.0006986366604269563	T
0	LOC029550	0.0007005839478043755	T
0	LOC004801	0.0007120550276974841	T
0	LOC016306	0.0007518587148386254	T
0	LOC040487	0.0007764801335013606	T
0	LOC007747	0.0008084770888621909	T
0	LOC038988	0.0008107231778942513	T
0	LOC003025	0.0008158483523688382	T
0	LOC029992	0.0008332497468559831	T
0	LOC005377	0.00083650082773074	T
0	LOC000984	0.0008593378165102738	T
0	LOC015618	0.0009077495331822664	T
0	LOC008731	0.000916272405375115	T
0	LOC006815	0.0009177857981311569	T
0	LOC011654	0.0009658001357700393	T
0	LOC001118	0.0009716516858912372	T
0	LOC030080	0.0009796583932768876	T
0	LOC020564	0.0010594423000599693	T
0	LOC016291	0.0011105440553754486	T
0	LOC003659	0.001144701220421981	T
0	LOC010366	0.001182584754203083	T
