clus	markerGene	padj	significant
0	LOC130655133	0.0	T
0	LOC130641385	0.0	T
0	LOC130636967	0.0	T
0	LOC130647506	2.511854235710622e-302	T
0	LOC130613005	2.608368381821996e-292	T
0	LOC130641296	4.178882091837514e-290	T
0	LOC130626165	1.2451509992902601e-278	T
0	LOC130641485	1.5816332541814315e-276	T
0	LOC130645531	5.618533365187672e-274	T
0	LOC130613950	5.781015462346409e-271	T
0	LOC130636360	1.4239861505484654e-261	T
0	LOC130656327	2.9668605415692918e-260	T
0	LOC130655973	2.208284979657677e-257	T
0	LOC130612379	9.990060755226689e-254	T
0	LOC130635714	3.6847072482184687e-253	T
0	LOC130644963	1.0444790096647654e-245	T
0	LOC130644610	1.0014369685568926e-244	T
0	LOC130648905	1.194816639800871e-243	T
0	LOC130612723	1.0396834829531772e-242	T
0	LOC130645015	7.866874857622204e-242	T
0	LOC130656616	4.539267604024066e-241	T
0	LOC130625996	4.454576940207982e-240	T
0	LOC130636465	2.257190089122283e-239	T
0	LOC130657471	3.493030295087389e-232	T
0	LOC130612950	3.322329704047532e-228	T
0	LOC130655228	4.4365466841965623e-222	T
0	LOC130626140	3.4457729033706784e-220	T
0	LOC130654374	9.016620778067909e-219	T
0	LOC130623754	4.940331340594383e-210	T
0	LOC130644922	1.6747227826532892e-209	T
0	LOC130636493	3.0246251226168907e-208	T
0	LOC130640934	6.831175856352473e-208	T
0	LOC130644293	7.943145457381318e-207	T
0	LOC130614084	8.109895509902157e-199	T
0	LOC130646524	1.854721286622912e-196	T
0	LOC130629554	4.1390152278657755e-196	T
0	LOC130656878	1.4416823112614846e-195	T
0	LOC130628868	3.872837702271264e-192	T
0	LOC130628756	3.0075069292031627e-187	T
0	LOC130644459	6.386794602772155e-187	T
0	LOC130655953	4.3626707269615955e-186	T
0	MITO_LOC130622148	7.262664190662384e-186	T
0	LOC130626070	7.546820737845748e-185	T
0	LOC130614886	2.2937329358138986e-184	T
0	LOC130657244	2.2937329358138986e-184	T
0	LOC130655341	3.4194329542988018e-183	T
0	LOC130654271	3.7275243746995106e-183	T
0	LOC130622227	5.403960161099589e-183	T
0	LOC130622277	1.029953833238608e-181	T
0	LOC130645276	1.4742745155393625e-181	T
0	LOC130657245	1.9533942526206262e-181	T
0	LOC130613917	2.0048514159009234e-181	T
0	LOC130613718	8.323846856586608e-181	T
0	LOC130655876	1.001664263116896e-180	T
0	LOC130656491	2.825655109141006e-180	T
0	LOC130612442	5.8487838000242515e-180	T
0	LOC130662720	2.2899721854384572e-179	T
0	LOC130622866	8.745613574922054e-178	T
0	LOC130641047	1.685083034758462e-177	T
0	LOC130612451	1.923044260465103e-177	T
0	LOC130654268	1.817137436534928e-174	T
0	LOC130644444	5.646124791636394e-174	T
0	LOC130622394	1.6015452452115445e-172	T
0	LOC130645177	4.928977643911997e-171	T
0	LOC130654347	9.414361218594189e-171	T
0	LOC130654308	8.646803277320206e-170	T
0	LOC130644437	2.106859326559631e-167	T
0	LOC130624916	8.969625263277083e-167	T
0	LOC130644696	1.5169238689994976e-165	T
0	LOC130621780	2.739377086796523e-165	T
