clus	markerGene	padj	significant
0	LOC5508656	2.0082237037606645e-296	T
0	LOC5507707	3.0732984770190487e-282	T
0	LOC5514282	2.266028370075421e-278	T
0	LOC116620186	3.0717719036807082e-251	T
0	LOC5504220	3.1726624136994434e-217	T
0	LOC116619995	2.0758227040915647e-201	T
0	LOC116616309	1.3627757378619487e-153	T
0	LOC5517034	2.5161828826719094e-140	T
0	LOC125572272	2.187851174230548e-136	T
0	LOC5516764	7.162935504065369e-136	T
0	LOC5511494	1.8884767972287124e-129	T
0	LOC5502042	1.0133346194127796e-121	T
0	LOC5506859	2.2063834814056248e-108	T
0	LOC5517578	2.5577258241526393e-107	T
0	LOC5499668	2.3667386490373284e-105	T
0	LOC5519227	3.2467144124744094e-103	T
0	LOC125557981	7.95471916379931e-99	T
0	LOC116614342	7.44813063026822e-94	T
0	LOC5498142	1.294436613257872e-90	T
0	LOC5512855	1.6990446128526783e-90	T
0	LOC116614942	2.574656627222136e-87	T
0	LOC5506471	3.3716726614162945e-84	T
0	LOC5515663	1.7862022002468039e-68	T
0	LOC5512653	1.2434182777174713e-66	T
0	LOC116618501	8.01362170438819e-64	T
0	LOC5515909	2.0522735796586884e-58	T
0	LOC5509225	1.093318323113615e-55	T
0	LOC5507933	2.1297665731843905e-55	T
0	LOC5521450	2.119886430664776e-53	T
0	LOC5521861	2.4365109835831725e-52	T
0	LOC5521826	8.544492517830763e-51	T
0	LOC5518450	1.3029934011999573e-49	T
0	LOC5510928	5.224093583657133e-49	T
0	LOC5511839	7.490833173320048e-48	T
0	LOC5508960	5.548013812754702e-45	T
0	LOC5502063	1.0045371613024233e-43	T
0	LOC125559017	4.393407291451672e-43	T
0	LOC5510971	4.0849896236431326e-40	T
0	LOC116605189	4.193791401213427e-40	T
0	LOC5496459	1.6831232332950424e-38	T
0	LOC5515160	1.6831232332950424e-38	T
0	LOC5504804	8.882893104478485e-38	T
0	LOC116601864	1.813452364146641e-37	T
0	LOC5507355	3.4816020144761252e-37	T
0	LOC116620119	5.553771973208604e-34	T
