clus	markerGene	padj	significant
0	LOC116605000	2.256463838118864e-70	T
0	LOC5505638	1.5826052214674364e-65	T
0	LOC5502588	1.5040452099113693e-61	T
0	LOC5514988	4.312136219742291e-56	T
0	LOC5512855	9.475173986570703e-46	T
0	LOC5509706	2.212104034581075e-39	T
0	LOC5507491	4.6328116651542483e-35	T
0	LOC5509705	5.851810033787427e-35	T
0	LOC5510098	2.105432406803038e-34	T
0	LOC116610316	6.783779627412963e-31	T
0	LOC5500914	1.7671479890172283e-30	T
0	LOC116618583	8.059576763028404e-30	T
0	LOC125573490	1.5232151413921995e-29	T
0	LOC116611894	1.5258011515395336e-28	T
0	LOC5505629	5.047801699757597e-27	T
0	LOC5515391	7.755307531988874e-27	T
0	LOC5504994	1.3183211911289997e-26	T
0	LOC116611673	4.980309379251489e-26	T
0	LOC5521605	2.25596610546703e-25	T
0	LOC5503852	2.1720064337005127e-24	T
0	LOC116613506	1.395746872431465e-23	T
0	LOC5512197	4.960732293573064e-21	T
0	LOC116608898	2.0340148745434624e-19	T
0	LOC5521395	2.405067888962169e-19	T
0	LOC5521019	7.347880306208247e-18	T
0	LOC5520158	1.850154698845493e-16	T
0	LOC5512587	3.1082434717835034e-16	T
0	LOC5512977	4.566231477803109e-16	T
0	LOC5519153	8.818565384454426e-16	T
0	LOC125556661	2.8216483358988328e-14	T
0	LOC5502736	1.2230700676116124e-13	T
0	LOC5506230	1.4909435554119218e-12	T
0	LOC5510027	1.892076844332672e-12	T
0	LOC5507341	5.1255549080037735e-12	T
0	LOC5507268	6.665292657347966e-12	T
0	LOC5513971	1.5139513641511454e-11	T
0	LOC116604022	2.5611809212887448e-11	T
0	LOC5517441	2.581783525496189e-10	T
0	LOC5518452	6.900594941860267e-10	T
0	LOC5505797	8.332090833079365e-10	T
0	LOC5520747	1.2149594117429653e-09	T
0	LOC5514177	2.0433107116203088e-09	T
0	LOC5510121	5.042258042880533e-09	T
0	LOC5503759	1.3227854692670567e-08	T
0	LOC5514356	1.5385212514467837e-08	T
0	LOC5514531	1.5888824150536046e-08	T
0	LOC5511582	1.6187147778817905e-08	T
0	LOC5505214	5.449271523222692e-08	T
0	LOC5508491	5.4681553614766785e-08	T
0	LOC5499773	5.4681553614766785e-08	T
0	LOC5517054	5.780614547606363e-08	T
0	LOC5519679	1.2369003823122644e-07	T
0	LOC5520519	2.273839606255419e-07	T
0	LOC5520504	2.5392640312517815e-07	T
0	LOC5500843	3.769453434025991e-07	T
0	LOC5517066	3.8064582638463354e-07	T
0	LOC5515348	4.435608919772091e-07	T
0	LOC5500366	6.040822021543083e-07	T
0	LOC5516649	7.022104936082469e-07	T
0	LOC5521556	1.055420058216653e-06	T
0	LOC116617866	1.0641531831554522e-06	T
0	LOC5509163	1.1756212275788674e-06	T
0	LOC5521159	1.1756212275788674e-06	T
0	LOC5506672	1.256367208198087e-06	T
0	LOC5510605	4.023440459752586e-06	T
0	LOC5513136	9.64161478699166e-06	T
0	LOC5518649	9.705144661270526e-06	T
0	LOC5501854	2.7637912618214692e-05	T
0	LOC5518352	2.796513997647245e-05	T
0	LOC5520614	3.342681491468795e-05	T
0	LOC5514040	3.965648630259342e-05	T
0	LOC5521978	4.482946267036589e-05	T
0	LOC5519362	4.587773084580087e-05	T
0	LOC5504553	4.605683142218797e-05	T
0	LOC5521372	5.487139275984101e-05	T
0	LOC5508386	5.487139275984101e-05	T
0	LOC5507075	6.627694276281313e-05	T
0	LOC5504672	7.549928986430686e-05	T
0	LOC5503642	7.591790049456276e-05	T
0	LOC116616210	0.00010713158163677515	T
0	LOC5509973	0.00013505540717306921	T
0	LOC5512708	0.00014902707121736478	T
0	LOC5506152	0.00016932935685879264	T
0	LOC5503436	0.00018201301449911964	T
0	LOC125573222	0.00019903812439679719	T
0	LOC5507835	0.00030223690748355385	T
0	LOC5510855	0.0003264689663256979	T
0	LOC5510025	0.00042630433637474996	T
0	LOC5519754	0.00043637484789337694	T
0	LOC5521989	0.0004372295968865609	T
0	LOC5512517	0.0004679149513489523	T
0	LOC5510112	0.00047163455925670276	T
0	LOC5509015	0.0005134099510382896	T
0	LOC116614197	0.0005243175062412207	T
0	LOC5512278	0.0005278636049606382	T
0	LOC5519724	0.0005361963238830278	T
0	LOC116608822	0.0005388076474386652	T
0	LOC5518158	0.0005526773657713764	T
0	LOC5506937	0.0007534579692070254	T
