clus	markerGene	padj	significant
0	XP_027038768.1	5.55E-293	T
0	XP_027054461.1	7.78E-250	T
0	XP_027049227.1	1.35E-226	T
0	XP_027038767.1	1.88E-175	T
0	XP_027059643.1	3.22E-150	T
0	XP_027047229.1	1.22E-140	T
0	XP_027047230.1	1.03E-109	T
0	XP_027042899.1	1.85E-84	T
0	XP_027048844.1	1.45E-83	T
0	XP_027044136.1	8.35E-78	T
0	XP_027049056.1	9.65E-69	T
0	XP_027053960.1	5.12E-66	T
0	XP_027044122.1	5.73E-63	T
0	XP_027052167.1	1.00E-60	T
0	XP_027040011.1	1.31E-55	T
0	XP_027056396.1	1.16E-52	T
0	XP_027043599.1	8.02E-52	T
0	XP_027040686.1	3.71E-43	T
0	XP_027054787.1	9.61E-42	T
0	XP_027045087.1	1.58E-41	T
0	XP_027052219.1	7.65E-41	T
0	XP_027040992.1	6.32E-37	T
0	XP_027049463.1	4.85E-34	T
0	XP_027058496.1	5.29E-33	T
0	XP_027041252.1	1.95E-31	T
0	XP_027036456.1	2.05E-31	T
0	XP_027051631.1	2.06E-30	T
0	XP_027043155.1	1.10E-28	T
0	XP_027056829.1	4.36E-26	T
0	XP_027056511.1	6.43E-26	T
0	XP_027048772.1	4.97E-25	T
0	XP_027044693.1	9.61E-25	T
0	XP_027045053.1	9.66E-25	T
0	XP_027055264.1	1.25E-24	T
0	XP_027056830.1	2.89E-24	T
0	XP_027043827.1	5.17E-23	T
0	XP_027054883.1	1.99E-21	T
0	XP_027041198.1	2.24E-21	T
0	XP_027048750.1	3.15E-20	T
0	XP_027047246.1	5.00E-20	T
0	XP_027054501.1	8.77E-20	T
0	XP_027054017.1	9.06E-20	T
0	XP_027051370.1	1.51E-19	T
0	XP_027037653.1	3.02E-19	T
0	XP_027052226.1	3.88E-19	T
0	XP_027046932.1	5.20E-19	T
0	XP_027054633.1	5.23E-19	T
0	XP_027054618.1	1.21E-18	T
0	XP_027036167.1	4.21E-18	T
0	XP_027038362.1	8.38E-18	T
0	XP_027053909.1	1.71E-17	T
0	XP_027039507.1	6.64E-17	T
0	XP_027043220.1	7.15E-17	T
0	XP_027057032.1	9.95E-17	T
0	XP_027058745.1	1.07E-16	T
0	XP_027052246.1	1.18E-16	T
