clus	markerGene	padj	significant
0	LOC124435494	0.0	T
0	LOC124446380	0.0	T
0	LOC124438239	0.0	T
0	LOC124445798	0.0	T
0	LOC124439857	0.0	T
0	LOC124434786	0.0	T
0	LOC124453777	0.0	T
0	LOC124442906	0.0	T
0	LOC124440847	0.0	T
0	LOC124439390	0.0	T
0	LOC124446362	0.0	T
0	LOC124444220	0.0	T
0	LOC124445927	0.0	T
0	LOC124448568	0.0	T
0	LOC124459501	0.0	T
0	LOC124454066	0.0	T
0	LOC124446379	0.0	T
0	LOC124441593	0.0	T
0	LOC124447932	0.0	T
0	LOC124458114	0.0	T
0	LOC124446564	0.0	T
0	LOC124452913	0.0	T
0	LOC124454542	0.0	T
0	LOC124444448	0.0	T
0	LOC124440444	0.0	T
0	LOC124446244	0.0	T
0	LOC124452685	0.0	T
0	LOC124450119	0.0	T
0	LOC124443568	0.0	T
0	LOC124452717	0.0	T
0	LOC124452720	0.0	T
0	LOC124433597	0.0	T
0	LOC124455180	0.0	T
0	LOC124446911	0.0	T
0	LOC124435869	0.0	T
0	LOC124448266	0.0	T
0	LOC124438804	0.0	T
0	LOC124446359	0.0	T
0	LOC124437865	0.0	T
0	LOC124441151	0.0	T
0	LOC124448399	0.0	T
0	LOC124448371	0.0	T
0	LOC124453834	0.0	T
0	LOC124449358	0.0	T
0	LOC124442619	0.0	T
0	LOC124442808	0.0	T
0	LOC124437655	0.0	T
0	LOC124440255	0.0	T
0	LOC124438038	0.0	T
0	LOC124443545	0.0	T
0	LOC124450785	0.0	T
0	LOC124435495	0.0	T
0	LOC124444010	0.0	T
0	LOC124455622	0.0	T
0	LOC124437763	0.0	T
0	LOC124449787	0.0	T
0	LOC124434031	0.0	T
0	LOC124437402	0.0	T
0	LOC124437761	0.0	T
0	LOC124444633	0.0	T
0	LOC124442203	0.0	T
0	LOC124451296	0.0	T
0	LOC124442917	0.0	T
0	LOC124443567	0.0	T
0	LOC124441784	0.0	T
0	LOC124445834	0.0	T
0	LOC124443844	0.0	T
0	LOC124441614	0.0	T
0	LOC124437660	0.0	T
0	LOC124435870	4.8747868395736636e-290	T
0	LOC124449444	1.4573247271289086e-288	T
0	LOC124455633	1.205203453800614e-280	T
0	LOC124446072	4.2253644689147226e-275	T
0	LOC124446300	7.939634353472191e-271	T
0	LOC124437395	9.60304685900713e-271	T
0	LOC124445183	7.206372376487147e-269	T
0	LOC124448240	2.1371655208381215e-266	T
0	LOC124448284	2.3762371333879646e-259	T
0	LOC124438039	3.521448925184078e-259	T
0	LOC124455643	1.260338765390749e-256	T
0	LOC124438070	1.0836445615602623e-253	T
0	LOC124444121	1.4792481606144135e-245	T
0	LOC124438332	4.770554552122153e-245	T
0	LOC124444531	6.451713270050796e-238	T
0	LOC124445758	6.975988234425052e-235	T
0	LOC124446129	8.418563566060312e-235	T
0	LOC124433804	1.5230638378352934e-233	T
0	LOC124437593	2.1372534421312588e-231	T
0	LOC124446333	1.8867769294375766e-227	T
0	LOC124439858	2.2663955796330274e-226	T
0	LOC124439145	8.952357099953178e-226	T
0	LOC124443759	1.379055426930878e-224	T
0	LOC124446813	1.4170842570620982e-221	T
0	LOC124433698	1.3773729406604885e-215	T
0	LOC124450245	1.1191928027086118e-208	T
0	LOC124446610	3.6112839292698546e-207	T
0	LOC124439270	7.245164432183036e-205	T
0	LOC124444766	1.4811722503568082e-204	T
0	LOC124457632	5.841917581827714e-204	T
0	LOC124440744	1.688376719969636e-202	T
0	LOC124442817	2.179373033037582e-202	T
0	LOC124436406	4.661297926157153e-201	T
0	LOC124443159	3.62758013591789e-200	T
0	LOC124454589	1.0488236422723814e-198	T
0	LOC124442768	3.055419432023891e-195	T
0	LOC124446178	3.888791190712987e-194	T
0	LOC124440680	7.425426419254661e-190	T
0	LOC124435866	6.626895704193655e-188	T
0	LOC124442844	6.542738064219674e-185	T
0	LOC124446340	2.6179000534096673e-184	T
0	LOC124450364	1.0768213239544748e-183	T
0	LOC124440641	2.0139563278007087e-182	T
0	LOC124439269	5.386531582274943e-178	T
0	LOC124447540	1.1177295379148839e-175	T
0	LOC124437672	6.717778508332603e-173	T
0	LOC124459395	2.626385089317942e-171	T
0	LOC124442805	3.293723094262525e-170	T
0	LOC124459486	6.0053793565861685e-170	T
0	LOC124438886	9.14186073828837e-170	T
0	LOC124442816	1.5550359059858806e-169	T
0	LOC124457751	2.8061006783529374e-168	T
0	LOC124451383	2.3425599670299068e-167	T
0	LOC124456536	2.1875854796951628e-162	T
0	LOC124443795	1.2723719902930656e-161	T
0	LOC124439537	1.9868909574711084e-160	T
0	LOC124444860	3.040637943828167e-160	T
0	LOC124459550	6.413450446127338e-160	T
0	LOC124446666	3.110470094366195e-159	T
0	LOC124441698	8.516304177647875e-158	T
0	LOC124450727	2.701298295917559e-157	T
0	LOC124446424	4.955392653933644e-156	T
0	LOC124438950	3.7734398624213576e-153	T
0	LOC124439539	1.5112403710384332e-152	T
0	LOC124447582	2.1381811872376935e-152	T
0	LOC124450239	2.9275770586554298e-151	T
0	LOC124439318	3.055936531157284e-151	T
0	LOC124437062	1.0792011921153528e-150	T
0	LOC124452498	3.236294284486699e-148	T
0	LOC124433531	1.0043383929753189e-143	T
0	LOC124434930	1.2379391052427999e-143	T
0	LOC124434104	3.7903702403170476e-142	T
0	LOC124442687	1.103771197098303e-141	T
0	LOC124451051	1.8220385228245172e-141	T
0	LOC124447255	2.719015444986995e-140	T
0	LOC124458435	6.702133968479421e-139	T
0	LOC124442839	9.71184757628801e-137	T
0	LOC124441103	3.720961803158798e-136	T
0	LOC124446389	2.6568096444084147e-135	T
0	LOC124435364	5.892471558689556e-135	T
0	LOC124441437	2.32642235375322e-134	T
0	LOC124439928	8.384741733121951e-134	T
0	LOC124445608	9.69905771468837e-134	T
0	LOC124433752	1.0527931328336562e-131	T
0	LOC124450755	3.070322426527628e-131	T
0	LOC124439366	4.018096349293642e-131	T
0	LOC124457436	2.4887082790933874e-130	T
0	LOC124434874	2.3004263132769935e-129	T
0	LOC124434306	7.161828546593617e-129	T
0	LOC124435570	1.5691239379978032e-127	T
0	LOC124451923	1.5055570147239527e-126	T
0	LOC124443892	3.8605458354064115e-126	T
0	LOC124448230	2.7961551639971265e-122	T
0	LOC124451088	4.959287011093521e-122	T
0	LOC124457973	4.451364469862964e-118	T
0	LOC124452308	5.55011959807031e-118	T
0	LOC124438259	3.7826557772836005e-115	T
0	LOC124440116	3.1840014597393408e-114	T
0	LOC124457053	3.885761459180073e-113	T
0	LOC124459545	1.583856225891816e-112	T
0	LOC124445785	1.7214333932786168e-112	T
0	LOC124454103	1.5663991256836519e-111	T
0	LOC124451674	1.2062142366338897e-108	T
0	LOC124440331	6.952278567023712e-108	T
0	LOC124457883	2.2516701163039228e-107	T
0	LOC124451087	1.2230387803827267e-105	T
0	LOC124446568	1.4465768659479948e-105	T
0	LOC124445212	1.6535241445590253e-105	T
0	LOC124444541	9.233830638238999e-105	T
0	LOC124445978	1.6739309399706447e-104	T
0	LOC124450710	2.335961431829179e-104	T
0	LOC124440118	1.8195723936823468e-101	T
0	LOC124451236	6.98001567246872e-100	T
0	LOC124442644	2.3293281684204856e-99	T
0	LOC124452941	1.025727384048992e-98	T
0	LOC124448679	1.0620290056914137e-97	T
0	LOC124440162	1.1078564919624603e-95	T
0	LOC124434356	3.238991471863142e-95	T
0	LOC124446045	2.7446617011875e-94	T
0	LOC124459456	3.8127723611392583e-93	T
0	LOC124433315	1.727594552402262e-92	T
0	LOC124441733	1.5414335503540126e-91	T
0	LOC124452734	1.606395793919539e-91	T
0	LOC124440637	2.192326149403629e-91	T
0	LOC124445336	2.4937726775384177e-90	T
0	LOC124436783	5.663512363713771e-90	T
0	LOC124449405	2.4376975609511338e-89	T
0	LOC124451047	1.623868902029757e-88	T
0	LOC124438340	1.717912803950806e-88	T
0	LOC124437126	9.45603500709726e-88	T
0	LOC124436559	1.7312534397192726e-87	T
0	LOC124445515	1.769753060131269e-87	T
0	LOC124441954	3.0888379345229246e-87	T
0	LOC124435076	1.5765746850524094e-85	T
0	LOC124438290	2.4628805037352265e-85	T
0	LOC124440556	1.0172512238895353e-84	T
0	LOC124436627	1.5962136744419358e-83	T
0	LOC124438666	9.201409426265947e-83	T
0	LOC124443869	6.715276787437483e-82	T
0	LOC124444231	5.478514859426538e-81	T
