Orthogroup	longest_isoform_ClytiaProteins	longest_isoform_NematostellaProteins
OG0000001	Clytia|LOC036857	Nematostella|LOC5503240
OG0000001	Clytia|LOC038945, Clytia|LOC018746, Clytia|LOC003740	Nematostella|LOC5512120, Nematostella|LOC5521775, Nematostella|LOC5519177, Nematostella|LOC5517496, Nematostella|LOC5517570, Nematostella|LOC125573811, Nematostella|LOC5517571, Nematostella|LOC5505051, Nematostella|LOC116603694, Nematostella|LOC5506910, Nematostella|LOC5501293, Nematostella|LOC5511580
OG0000001	Clytia|LOC042567, Clytia|LOC010802, Clytia|LOC001148, Clytia|LOC000029	Nematostella|LOC5503242, Nematostella|LOC116610912, Nematostella|LOC5518119, Nematostella|LOC5500622
OG0000001	Clytia|LOC012545, Clytia|LOC031843, Clytia|LOC011555, Clytia|LOC010573, Clytia|LOC007558	Nematostella|LOC5511369
OG0000001	Clytia|LOC007122	Nematostella|LOC116617423, Nematostella|LOC5522355, Nematostella|LOC5508286
OG0000004	Clytia|LOC020599, Clytia|LOC019196	Nematostella|LOC116606213
OG0000011	Clytia|LOC039786, Clytia|LOC035717, Clytia|LOC042158, Clytia|LOC008113, Clytia|LOC018850	Nematostella|LOC125572218, Nematostella|LOC125562971, Nematostella|LOC116615994, Nematostella|LOC125563113
OG0000011	Clytia|LOC021186, Clytia|LOC021182, Clytia|LOC043323, Clytia|LOC020453, Clytia|LOC013439, Clytia|LOC030810, Clytia|LOC003825	Nematostella|LOC116603222, Nematostella|LOC116614214, Nematostella|LOC116620283, Nematostella|LOC116608459, Nematostella|LOC125560620, Nematostella|LOC125560719
OG0000011	Clytia|LOC011210, Clytia|LOC043665, Clytia|LOC005801	Nematostella|LOC116619407, Nematostella|LOC116618056, Nematostella|LOC125559736, Nematostella|LOC125572123
OG0000011	Clytia|LOC038723, Clytia|LOC000148	Nematostella|LOC125561778, Nematostella|LOC125573262, Nematostella|LOC116606010, Nematostella|LOC116612113, Nematostella|LOC116613350, Nematostella|LOC125560701, Nematostella|LOC125557593, Nematostella|LOC125561193
OG0000011	Clytia|LOC016589, Clytia|LOC038634, Clytia|LOC029808	Nematostella|LOC116607915
OG0000012	Clytia|LOC014876, Clytia|LOC020023, Clytia|LOC018498	Nematostella|LOC116612821, Nematostella|LOC116603019, Nematostella|LOC125559006
OG0000012	Clytia|LOC005755, Clytia|LOC043825, Clytia|LOC022598, Clytia|LOC027309, Clytia|LOC036627	Nematostella|LOC125568343, Nematostella|LOC125567956
OG0000027	Clytia|LOC036708	Nematostella|LOC5502001, Nematostella|LOC5505980
OG0000027	Clytia|LOC040069	Nematostella|LOC5497940, Nematostella|LOC116607803, Nematostella|LOC5500881, Nematostella|LOC116618621, Nematostella|LOC5518508, Nematostella|LOC116618181, Nematostella|LOC116603288, Nematostella|LOC116615387, Nematostella|LOC5520654, Nematostella|LOC5497237, Nematostella|LOC5520522, Nematostella|LOC5497168, Nematostella|LOC125557190, Nematostella|LOC5497955, Nematostella|LOC5498099, Nematostella|LOC125557183, Nematostella|LOC5498791, Nematostella|LOC125557186, Nematostella|LOC125557179, Nematostella|LOC125557185, Nematostella|LOC125557191, Nematostella|LOC125557192, Nematostella|LOC125557187, Nematostella|LOC125557188, Nematostella|LOC116607011, Nematostella|LOC125557178, Nematostella|LOC125557182, Nematostella|LOC125557180, Nematostella|LOC125557181, Nematostella|LOC125557175, Nematostella|LOC125557174, Nematostella|LOC125557176, Nematostella|LOC125557172, Nematostella|LOC125557173, Nematostella|LOC125557171, Nematostella|LOC125557193
OG0000031	Clytia|LOC040162	Nematostella|LOC116602249, Nematostella|LOC5507947, Nematostella|LOC116604657, Nematostella|LOC116617993, Nematostella|LOC116620912, Nematostella|LOC5512949, Nematostella|LOC116612432, Nematostella|LOC116619539, Nematostella|LOC125560664, Nematostella|LOC116601166, Nematostella|LOC116621099, Nematostella|LOC116616799
OG0000031	Clytia|LOC031746, Clytia|LOC000924, Clytia|LOC029112	Nematostella|LOC116620586
OG0000036	Clytia|LOC027032, Clytia|LOC000262	Nematostella|LOC125559372
OG0000036	Clytia|LOC025146, Clytia|LOC023340, Clytia|LOC025944, Clytia|LOC034307	Nematostella|LOC125570202
OG0000036	Clytia|LOC009422, Clytia|LOC021142	Nematostella|LOC116612042
OG0000036	Clytia|LOC005544	Nematostella|LOC116614082, Nematostella|LOC116609843
OG0000036	Clytia|LOC012702, Clytia|LOC023170, Clytia|LOC030500, Clytia|LOC005084, Clytia|LOC044912, Clytia|LOC017788, Clytia|LOC037973	Nematostella|LOC116608828
OG0000038	Clytia|LOC020435, Clytia|LOC026073	Nematostella|LOC125560740, Nematostella|LOC125561897
OG0000041	Clytia|LOC028192, Clytia|LOC001404, Clytia|LOC016809, Clytia|LOC005088	Nematostella|LOC116616791
OG0000050	Clytia|LOC031188, Clytia|LOC018743, Clytia|LOC012577	Nematostella|LOC5503578, Nematostella|LOC5501774
OG0000052	Clytia|LOC003985	Nematostella|LOC5518464, Nematostella|LOC5505974, Nematostella|LOC5502003
OG0000055	Clytia|LOC015922, Clytia|LOC022612, Clytia|LOC044818, Clytia|LOC005353, Clytia|LOC034771, Clytia|LOC044104, Clytia|LOC037308, Clytia|LOC027529, Clytia|LOC014755, Clytia|LOC014751, Clytia|LOC021762, Clytia|LOC014756, Clytia|LOC029389, Clytia|LOC010175, Clytia|LOC031142, Clytia|LOC031173, Clytia|LOC005352, Clytia|LOC002104, Clytia|LOC045259, Clytia|LOC003965, Clytia|LOC044139, Clytia|LOC037486, Clytia|LOC037467, Clytia|LOC037485, Clytia|LOC037468	Nematostella|LOC116609348
OG0000056	Clytia|LOC040257, Clytia|LOC044510, Clytia|LOC032863, Clytia|LOC009882, Clytia|LOC016972, Clytia|LOC041403	Nematostella|LOC116621207, Nematostella|LOC116618769, Nematostella|LOC116619460, Nematostella|LOC116619459, Nematostella|LOC116619641, Nematostella|LOC116619360, Nematostella|LOC116619457, Nematostella|LOC116610741, Nematostella|LOC116605419, Nematostella|LOC116610740, Nematostella|LOC116602624, Nematostella|LOC116605418, Nematostella|LOC5513110, Nematostella|LOC5507246, Nematostella|LOC5504753
OG0000057	Clytia|LOC044383	Nematostella|LOC5511243, Nematostella|LOC116610685, Nematostella|LOC116608817, Nematostella|LOC5503124, Nematostella|LOC5510306, Nematostella|LOC5503113, Nematostella|LOC5503121, Nematostella|LOC125559909, Nematostella|LOC5501535, Nematostella|LOC116606605, Nematostella|LOC5501533, Nematostella|LOC5510302, Nematostella|LOC5501536, Nematostella|LOC125559899, Nematostella|LOC125559913, Nematostella|LOC116607488, Nematostella|LOC125559907, Nematostella|LOC5499800, Nematostella|LOC5499802, Nematostella|LOC125559860, Nematostella|LOC5499801, Nematostella|LOC125570298, Nematostella|LOC125557117, Nematostella|LOC5506106, Nematostella|LOC5511033, Nematostella|LOC5509171
OG0000057	Clytia|LOC020267	Nematostella|LOC5520133
OG0000057	Clytia|LOC032661	Nematostella|LOC116619038
OG0000058	Clytia|LOC041183	Nematostella|LOC5516814, Nematostella|LOC5516769, Nematostella|LOC116612015, Nematostella|LOC116620853, Nematostella|LOC5521880, Nematostella|LOC5514294
OG0000058	Clytia|LOC001448	Nematostella|LOC5509144
OG0000059	Clytia|LOC009758	Nematostella|LOC125561023, Nematostella|LOC116607669
OG0000064	Clytia|LOC021768, Clytia|LOC045244, Clytia|LOC007240	Nematostella|LOC116619486
OG0000064	Clytia|LOC030566	Nematostella|LOC5503492, Nematostella|LOC5505881, Nematostella|LOC5521478, Nematostella|LOC5503475, Nematostella|LOC5501722
