qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
ATP6	Xenia|LOC124444502	25.806	33	233	2751	93	30.4	0.73
ATP8	Xenia|LOC124448796	64.706	25	68	858	17	26.9	0.72
COX2	Xenia|LOC124455318	53.782	92	251	253	238	279.0	2.9199999999999996e-95
COX3	Xenia|LOC124443931	40.0	15	261	499	40	28.5	3.4
Hydra|LOC100192226	Xenia|LOC124445359	48.323	99	507	613	507	494.0	1.66e-170
Hydra|LOC100192227	Xenia|LOC124438121	54.021	52	924	843	485	543.0	1.2799999999999998e-180
Hydra|LOC100192229	Xenia|LOC124439091	30.662	92	1040	888	861	326.0	1.02e-96
Hydra|LOC100192230	Xenia|LOC124451722	33.891	94	640	612	658	250.0	1.57e-74
Hydra|LOC100192231	Xenia|LOC124445460	71.812	46	619	537	149	226.0	8.629999999999999e-67
Hydra|LOC100192232	Xenia|LOC124456629	38.462	35	137	754	52	28.9	0.89
Hydra|LOC100192236	Xenia|LOC124459093	35.945	87	248	205	217	122.0	1.66e-34
Hydra|LOC100192237	Xenia|LOC124459093	75.385	21	309	205	65	115.0	4.72e-31
Hydra|LOC100192239	Xenia|LOC124449704	61.616	60	815	689	495	587.0	0.0
Hydra|LOC100192244	Xenia|LOC124453136	65.0	63	315	231	200	259.0	5.44e-87
Hydra|LOC100192245	Xenia|LOC124453134	58.065	82	226	285	186	234.0	1.83e-77
Hydra|LOC100192246	Xenia|LOC124441408	23.577	51	196	444	123	30.8	0.36
Hydra|LOC100192247	Xenia|LOC124442196	30.667	86	567	618	525	276.0	2.81e-85
Hydra|LOC100192249	Xenia|LOC124440682	36.566	85	582	497	495	290.0	8.97e-92
Hydra|LOC100192250	Xenia|LOC124433537	26.277	95	945	1068	685	207.0	4.06e-55
Hydra|LOC100192251	Xenia|LOC124446778	38.482	79	470	722	369	250.0	1.12e-75
Hydra|LOC100192252	Xenia|LOC124446778	39.024	78	471	722	369	251.0	7.55e-76
Hydra|LOC100192253	Xenia|LOC124438426	19.318	69	695	5321	528	47.8	1.84e-05
Hydra|LOC100192254	Xenia|LOC124439352	33.333	37	137	785	51	28.9	0.74
Hydra|LOC100192256	Xenia|LOC124439235	38.462	21	124	852	26	27.7	1.7
Hydra|LOC100192258	Xenia|LOC124453568	32.53	53	149	298	83	40.4	9.33e-05
Hydra|LOC100192259	Xenia|LOC124440164	27.708	73	587	497	480	213.0	3.2899999999999997e-62
Hydra|LOC100192260	Xenia|LOC124440164	27.721	91	470	497	487	192.0	1.06e-55
Hydra|LOC100192262	Xenia|LOC124436650	53.285	91	445	509	411	468.0	9.310000000000001e-163
Hydra|LOC100192263	Xenia|LOC124438225	62.5	76	284	323	216	271.0	8.89e-91
Hydra|LOC100192266	Xenia|LOC124439287	59.113	94	192	219	203	243.0	1.06e-82
Hydra|LOC100192268	Xenia|LOC124439353	26.814	95	317	3343	317	79.3	2.9e-16
Hydra|LOC100192269	Xenia|LOC124452135	45.188	84	1120	1075	852	716.0	0.0
Hydra|LOC100192272	Xenia|LOC124453196	32.727	17	295	639	55	27.7	7.5
Hydra|LOC100192273	Xenia|LOC124459059	15.0	28	289	128	80	27.3	4.1
Hydra|LOC100192274	Xenia|LOC124446751	40.0	41	93	1506	40	26.2	3.0
Hydra|LOC100192275	Xenia|LOC124447171	27.957	88	95	2362	93	29.3	0.23
Hydra|LOC100192277	Xenia|LOC124443044	33.077	48	269	986	130	85.5	7.24e-19
Hydra|LOC100192280	Xenia|LOC124433416	30.864	11	717	716	81	47.8	1.41e-05
Hydra|LOC100192283	Xenia|LOC124441926	84.091	32	418	454	132	233.0	2.45e-72
Hydra|LOC100192286	Xenia|LOC124441264	43.284	66	164	160	67	37.7	0.000735
Hydra|LOC100192287	Xenia|LOC124441264	29.012	81	166	160	162	34.3	0.011
Hydra|LOC100192288	Xenia|LOC124442210	23.448	44	319	164	145	30.0	0.95
Hydra|LOC100192289	Xenia|LOC124444927	74.398	99	335	334	332	494.0	1.11e-177
Hydra|LOC100192290	Xenia|LOC124447715	69.944	99	361	357	356	515.0	0.0
Hydra|LOC100192291	Xenia|LOC124435850	75.328	100	373	379	381	602.0	0.0
Hydra|LOC100192292	Xenia|LOC124452264	31.829	97	869	843	864	436.0	6.129999999999999e-140
Hydra|LOC100192294	Xenia|LOC124438430	54.491	79	890	1125	501	555.0	0.0
Hydra|LOC100192295	Xenia|LOC124440633	52.326	83	515	496	430	466.0	5.1e-161
Hydra|LOC100192297	Xenia|LOC124440164	27.651	90	467	497	481	194.0	1.43e-56
