qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
Hydractinia|LOC130612030	Nematostella|LOC5518239	29.921	40	308	245	127	47.4	2.81e-06
Hydractinia|LOC130612031	Nematostella|LOC125567903	28.671	95	164	460	143	87.4	1e-20
Hydractinia|LOC130612032	Nematostella|LOC5521558	69.737	91	329	324	304	464.0	4.9300000000000005e-166
Hydractinia|LOC130612033	Nematostella|LOC116613495	23.333	23	252	403	60	29.6	1.8
Hydractinia|LOC130612034	Nematostella|LOC116618482	40.336	35	684	678	238	199.0	7.54e-55
Hydractinia|LOC130612035	Nematostella|LOC5505811	32.427	92	517	509	478	239.0	1.0700000000000001e-72
Hydractinia|LOC130612037	Nematostella|LOC5507245	62.963	70	459	382	324	404.0	2.27e-139
Hydractinia|LOC130612038	Nematostella|LOC5509205	55.357	92	198	181	168	141.0	6.140000000000001e-43
Hydractinia|LOC130612039	Nematostella|LOC5515520	33.113	42	357	554	151	83.6	1.57e-17
Hydractinia|LOC130612040	Nematostella|LOC116610679	30.0	11	1106	875	120	64.3	3.08e-10
Hydractinia|LOC130612042	Nematostella|LOC5507808	33.902	85	479	1176	410	229.0	5.83e-66
Hydractinia|LOC130612043	Nematostella|LOC5506254	44.205	95	369	356	371	268.0	7.87e-88
Hydractinia|LOC130612044	Nematostella|LOC5512882	38.865	71	316	248	229	160.0	7.67e-48
Hydractinia|LOC130612045	Nematostella|LOC116601245	21.986	35	809	405	141	34.3	0.29
Hydractinia|LOC130612046	Nematostella|LOC5518177	25.41	93	520	513	488	171.0	2.46e-47
Hydractinia|LOC130612047	Nematostella|LOC5515244	46.767	94	490	502	464	384.0	2.35e-129
Hydractinia|LOC130612049	Nematostella|LOC5506223	39.744	92	332	377	312	226.0	1.41e-71
Hydractinia|LOC130612050	Nematostella|LOC5507237	55.556	98	330	331	324	382.0	2.4700000000000003e-133
Hydractinia|LOC130612051	Nematostella|LOC5506223	43.051	92	317	377	295	239.0	8.15e-77
Hydractinia|LOC130612052	Nematostella|LOC5519017	35.0	16	246	1189	40	30.0	1.5
Hydractinia|LOC130612053	Nematostella|LOC5497577	38.071	93	182	195	197	138.0	1.57e-41
Hydractinia|LOC130612055	Nematostella|LOC116619961	28.659	94	494	1733	492	202.0	2.1700000000000002e-56
Hydractinia|LOC130612056	Nematostella|LOC125567970	51.034	48	301	383	145	145.0	8.48e-41
Hydractinia|LOC130612057	Nematostella|LOC5508350	33.054	99	574	850	596	341.0	2.07e-107
Hydractinia|LOC130612058	Nematostella|LOC5507977	32.011	99	1831	1855	1890	912.0	0.0
Hydractinia|LOC130612059	Nematostella|LOC5510265	27.112	93	1057	1080	1077	300.0	6.88e-86
Hydractinia|LOC130612060	Nematostella|LOC5513668	29.897	15	624	1952	97	33.9	0.3
Hydractinia|LOC130612062	Nematostella|LOC5519745	48.387	77	562	455	434	403.0	3.49e-136
Hydractinia|LOC130612063	Nematostella|LOC5505683	42.969	51	251	463	128	108.0	2.1300000000000002e-27
Hydractinia|LOC130612064	Nematostella|LOC125557476	34.286	76	443	538	350	190.0	1.18e-54
Hydractinia|LOC130612065	Nematostella|LOC5515299	62.133	84	428	432	375	435.0	4.7e-151
Hydractinia|LOC130612066	Nematostella|LOC5514627	45.93	90	189	158	172	140.0	4.430000000000001e-43
Hydractinia|LOC130612067	Nematostella|LOC5515178	63.289	90	666	660	602	811.0	0.0
Hydractinia|LOC130612069	Nematostella|LOC5506738	47.807	28	1000	1141	228	231.0	1.06e-62
Hydractinia|LOC130612070	Nematostella|LOC5515317	43.544	33	1144	1188	395	288.0	6.16e-81
Hydractinia|LOC130612071	Nematostella|LOC5502654	40.594	75	130	890	101	70.1	3.99e-15
Hydractinia|LOC130612072	Nematostella|LOC5510482	52.645	82	482	482	397	426.0	5.06e-146
Hydractinia|LOC130612073	Nematostella|LOC5515346	46.645	94	329	335	313	301.0	2.68e-101
Hydractinia|LOC130612074	Nematostella|LOC5503951	25.974	77	194	206	154	46.2	1.81e-06
