qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
Xenia|LOC124433260	Hydra|LOC100213563	49.361	92	825	918	782	699.0	0.0
Xenia|LOC124433262	Hydra|LOC100207598	27.528	80	215	474	178	65.9	9.69e-13
Xenia|LOC124433263	Hydra|LOC100204327	23.985	81	615	413	517	116.0	4.45e-28
Xenia|LOC124433264	Hydra|LOC100205887	57.065	82	490	806	184	229.0	6.929999999999999e-67
Xenia|LOC124433265	Hydra|LOC100205887	43.954	85	812	806	703	617.0	0.0
Xenia|LOC124433266	Hydra|LOC100210803	35.294	64	149	2348	102	68.6	2.81e-14
Xenia|LOC124433267	Hydra|LOC100210803	34.314	43	221	2348	102	64.7	3.81e-12
Xenia|LOC124433268	Hydra|LOC100210803	27.7	45	640	2348	213	74.3	1.29e-13
Xenia|LOC124433269	Hydra|LOC100210803	26.887	46	685	2348	212	70.1	3.09e-12
Xenia|LOC124433270	Hydra|LOC100200840	23.305	83	290	8299	236	43.5	0.000117
Xenia|LOC124433271	Hydra|LOC100213990	61.73	94	971	940	925	1144.0	0.0
Xenia|LOC124433272	Hydra|LOC100200912	50.06	99	1617	1657	1664	1579.0	0.0
Xenia|LOC124433273	Hydra|LOC100209995	36.842	37	473	264	190	103.0	4.68e-25
Xenia|LOC124433274	Hydra|LOC100207492	28.0	19	829	1184	175	48.5	1.3e-05
Xenia|LOC124433275	Hydra|LOC105847528	44.186	11	352	261	43	34.7	0.052
Xenia|LOC124433276	Hydra|LOC100211949	28.125	30	860	367	160	77.8	3.88e-15
Xenia|LOC124433277	Hydra|LOC105847528	32.5	14	511	261	80	32.3	0.44
Xenia|LOC124433278	Hydra|LOC100211949	27.647	9	1914	367	170	79.0	4.65e-15
Xenia|LOC124433279	Hydra|LOC100197704	45.333	42	175	227	75	72.0	6.28e-16
Xenia|LOC124433280	Hydra|LOC100200905	33.333	92	99	1151	93	32.7	0.02
Xenia|LOC124433281	Hydra|LOC100215633	31.86	99	2308	2266	2376	1022.0	0.0
Xenia|LOC124433282	Hydra|LOC100197092	34.146	17	238	2250	41	28.5	4.5
Xenia|LOC124433283	Hydra|LOC124808619	25.0	59	265	169	160	58.2	1.72e-10
Xenia|LOC124433284	Hydra|LOC101235288	33.333	32	269	411	93	49.3	7.71e-07
Xenia|LOC124433285	Hydra|LOC100212875	47.059	89	572	555	510	505.0	9.64e-175
Xenia|LOC124433286	Hydra|LOC100201743	31.434	83	608	758	544	269.0	1.23e-80
Xenia|LOC124433287	Hydra|LOC100199933	23.438	49	625	1844	320	92.0	3.64e-19
Xenia|LOC124433288	Hydra|LOC100197240	26.389	23	306	1556	72	28.5	5.1
Xenia|LOC124433289	Hydra|LOC124811346	42.239	81	1186	960	670	568.0	0.0
Xenia|LOC124433290	Hydra|LOC100202246	30.255	99	6033	5953	6184	2303.0	0.0
Xenia|LOC124433291	Hydra|LOC100203505	45.652	27	200	466	46	51.6	5.84e-08
