qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
ATP6	Nematostella|LOC5501625	41.379	12	233	516	29	28.9	2.5
ATP8	Nematostella|LOC5512980	33.333	53	68	1380	36	26.6	0.96
COX2	Nematostella|LOC125556726	24.242	37	251	491	99	29.3	2.3
COX3	Nematostella|LOC116607915	28.75	29	261	360	80	30.4	1.0
Hydra|LOC100192226	Nematostella|LOC5521984	48.864	99	507	633	528	500.0	1.48e-172
Hydra|LOC100192227	Nematostella|LOC5519364	59.1	52	924	1014	489	614.0	0.0
Hydra|LOC100192229	Nematostella|LOC5516203	29.104	99	1040	997	993	351.0	6.94e-105
Hydra|LOC100192230	Nematostella|LOC5511416	34.135	96	640	604	665	278.0	3.22e-85
Hydra|LOC100192231	Nematostella|LOC5510251	39.078	66	619	458	412	259.0	4.66e-80
Hydra|LOC100192232	Nematostella|LOC116614659	21.795	57	137	379	78	30.8	0.22
Hydra|LOC100192236	Nematostella|LOC5517202	38.362	92	248	216	232	129.0	8.33e-37
Hydra|LOC100192237	Nematostella|LOC5521556	32.685	82	309	247	257	124.0	4.7e-34
Hydra|LOC100192239	Nematostella|LOC5507609	48.542	93	815	1208	789	709.0	0.0
Hydra|LOC100192244	Nematostella|LOC5504249	61.472	72	315	243	231	270.0	5.5e-91
Hydra|LOC100192245	Nematostella|LOC5501880	60.106	83	226	291	188	251.0	3.14e-84
Hydra|LOC100192246	Nematostella|LOC5506143	28.866	47	196	975	97	31.2	0.39
Hydra|LOC100192247	Nematostella|LOC5501697	34.825	89	567	535	514	324.0	1.85e-104
Hydra|LOC100192249	Nematostella|LOC5514405	35.741	92	582	535	540	325.0	1.1199999999999998e-104
Hydra|LOC100192250	Nematostella|LOC5515942	28.667	97	945	1187	450	197.0	6.76e-52
Hydra|LOC100192251	Nematostella|LOC5511471	38.041	93	470	760	439	288.0	2.1799999999999997e-89
Hydra|LOC100192252	Nematostella|LOC5511471	37.963	91	471	760	432	283.0	1.77e-87
Hydra|LOC100192253	Nematostella|LOC5522255	26.543	39	695	19043	162	39.7	0.007
Hydra|LOC100192254	Nematostella|LOC5501881	25.0	47	137	579	64	30.8	0.23
Hydra|LOC100192256	Nematostella|LOC116619167	27.381	68	124	144	84	36.6	0.00078
Hydra|LOC100192258	Nematostella|LOC5516341	44.737	51	149	182	76	54.3	7.74e-10
Hydra|LOC100192259	Nematostella|LOC5520912	34.978	76	587	531	446	289.0	7.21e-91
Hydra|LOC100192260	Nematostella|LOC5520912	41.136	91	470	531	440	363.0	6.27e-121
Hydra|LOC100192262	Nematostella|LOC116602101	58.252	91	445	528	412	517.0	0.0
Hydra|LOC100192263	Nematostella|LOC5516175	60.09	79	284	402	223	265.0	6.08e-87
Hydra|LOC100192266	Nematostella|LOC5522325	73.143	90	192	223	175	267.0	5.1899999999999996e-92
Hydra|LOC100192268	Nematostella|LOC5521688	26.0	93	317	2825	300	88.2	3.82e-19
Hydra|LOC100192269	Nematostella|LOC116603351	47.181	81	1120	1115	869	763.0	0.0
Hydra|LOC100192272	Nematostella|LOC5516862	25.51	64	295	488	196	35.0	0.037
Hydra|LOC100192273	Nematostella|LOC116618195	19.444	33	289	442	108	28.5	4.5
Hydra|LOC100192274	Nematostella|LOC5519124	30.208	89	93	199	96	43.1	2.28e-06
Hydra|LOC100192275	Nematostella|LOC116618556	29.897	97	95	97	97	40.0	1.21e-05
Hydra|LOC100192277	Nematostella|LOC5508939	40.65	44	269	564	123	97.1	9.04e-23
Hydra|LOC100192280	Nematostella|LOC5508040	28.226	31	717	318	124	56.2	1.87e-08
Hydra|LOC100192283	Nematostella|LOC5504767	55.918	54	418	492	245	248.0	1.8100000000000002e-77
Hydra|LOC100192286	Nematostella|LOC5518869	43.836	41	164	412	73	32.7	0.062
Hydra|LOC100192287	Nematostella|LOC5518869	44.578	46	166	412	83	33.1	0.058
Hydra|LOC100192288	Nematostella|LOC5515676	23.704	52	319	300	135	34.7	0.052
Hydra|LOC100192289	Nematostella|LOC5512587	74.551	99	335	334	334	527.0	0.0
Hydra|LOC100192290	Nematostella|LOC5520204	70.637	100	361	358	361	538.0	0.0
Hydra|LOC100192291	Nematostella|LOC5521470	74.607	100	373	380	382	585.0	0.0
Hydra|LOC100192292	Nematostella|LOC5519990	34.045	90	869	808	796	479.0	7.570000000000001e-157
Hydra|LOC100192294	Nematostella|LOC5498036	57.447	58	890	818	517	600.0	0.0
Hydra|LOC100192295	Nematostella|LOC5501331	52.308	87	515	520	455	485.0	2.75e-168
