Orthogroup	longest_isoform_NematostellaProteins	longest_isoform_HydraProteins
OG0000000	Nematostella|LOC5506747	Hydra|LOC124810412, Hydra|LOC124805970, Hydra|LOC124810586, Hydra|LOC105846147, Hydra|LOC124816814, Hydra|LOC105844490, Hydra|LOC101240943, Hydra|LOC124810580, Hydra|LOC100202587, Hydra|LOC105849729, Hydra|LOC101238250, Hydra|LOC100202063, Hydra|LOC124810480, Hydra|LOC124809509, Hydra|LOC105847329, Hydra|LOC105844716, Hydra|LOC101239684, Hydra|LOC105848498, Hydra|LOC100206731, Hydra|LOC105848530, Hydra|LOC124810410, Hydra|LOC124809524, Hydra|LOC105845186, Hydra|LOC105848612, Hydra|LOC105847355, Hydra|LOC124806751, Hydra|LOC124810503, Hydra|LOC124810401, Hydra|LOC105848999, Hydra|LOC124810390, Hydra|LOC124810463, Hydra|LOC124810486, Hydra|LOC124809521, Hydra|LOC124810438, Hydra|LOC124810386, Hydra|LOC124810010, Hydra|LOC124810402, Hydra|LOC124810384, Hydra|LOC105847766, Hydra|LOC105848161, Hydra|LOC105847041, Hydra|LOC124810476, Hydra|LOC124810385, Hydra|LOC105845603, Hydra|LOC124810458, Hydra|LOC124810447, Hydra|LOC124810454, Hydra|LOC124810428, Hydra|LOC105849563, Hydra|LOC100207997, Hydra|LOC124810453, Hydra|LOC124809500, Hydra|LOC105850571, Hydra|LOC124810460, Hydra|LOC124815320, Hydra|LOC105845025, Hydra|LOC105846323, Hydra|LOC124807183, Hydra|LOC101236297, Hydra|LOC124812493, Hydra|LOC124812037, Hydra|LOC124812045, Hydra|LOC105846627, Hydra|LOC101236451, Hydra|LOC124812024, Hydra|LOC124812022, Hydra|LOC124812029, Hydra|LOC105848821, Hydra|LOC100200899, Hydra|LOC101239865, Hydra|LOC124812086, Hydra|LOC124812053, Hydra|LOC105847273, Hydra|LOC124812073, Hydra|LOC105848557, Hydra|LOC124810469, Hydra|LOC124812043, Hydra|LOC124812039, Hydra|LOC124812004, Hydra|LOC105849313, Hydra|LOC124810413, Hydra|LOC124810400, Hydra|LOC124812034, Hydra|LOC101236445, Hydra|LOC105845910, Hydra|LOC100210534, Hydra|LOC124812051, Hydra|LOC105850284, Hydra|LOC105846576, Hydra|LOC105846750, Hydra|LOC105848756, Hydra|LOC100206106, Hydra|LOC100205866, Hydra|LOC101240976, Hydra|LOC100213079, Hydra|LOC124810539, Hydra|LOC105844832, Hydra|LOC105845046, Hydra|LOC124810095, Hydra|LOC105844116, Hydra|LOC101239057, Hydra|LOC124812507, Hydra|LOC124812087, Hydra|LOC105846485, Hydra|LOC101241618, Hydra|LOC124809570, Hydra|LOC100202539, Hydra|LOC124810436, Hydra|LOC105849483, Hydra|LOC105845953, Hydra|LOC124805909, Hydra|LOC100212684, Hydra|LOC105849428, Hydra|LOC105850100, Hydra|LOC105849407, Hydra|LOC124809857, Hydra|LOC105848095, Hydra|LOC124810562, Hydra|LOC124810592, Hydra|LOC124810530, Hydra|LOC101240521, Hydra|LOC124810574, Hydra|LOC124810557, Hydra|LOC124810567, Hydra|LOC124810566, Hydra|LOC124810548, Hydra|LOC124810422, Hydra|LOC124810606, Hydra|LOC124810579, Hydra|LOC124810585, Hydra|LOC105848938, Hydra|LOC124810575, Hydra|LOC124810604, Hydra|LOC124810613, Hydra|LOC124810553, Hydra|LOC124810609, Hydra|LOC124810549, Hydra|LOC100208814, Hydra|LOC124810550, Hydra|LOC124809574, Hydra|LOC105847367, Hydra|LOC105848653, Hydra|LOC105844811, Hydra|LOC105847315, Hydra|LOC124808072, Hydra|LOC124810588, Hydra|LOC105849999, Hydra|LOC124810540, Hydra|LOC124818354, Hydra|LOC105844735, Hydra|LOC105848789, Hydra|LOC105847885, Hydra|LOC100214059, Hydra|LOC105846051, Hydra|LOC105843164, Hydra|LOC124810599, Hydra|LOC124810571, Hydra|LOC100207755, Hydra|LOC105846136, Hydra|LOC100213981, Hydra|LOC105846002, Hydra|LOC105845495, Hydra|LOC124810590, Hydra|LOC124810581, Hydra|LOC105847459, Hydra|LOC124816923, Hydra|LOC105847691, Hydra|LOC124810470, Hydra|LOC124809089, Hydra|LOC124810607, Hydra|LOC100208533, Hydra|LOC124809590, Hydra|LOC105848783, Hydra|LOC124816106, Hydra|LOC124815492, Hydra|LOC124815202, Hydra|LOC105849374, Hydra|LOC105844117, Hydra|LOC101237642, Hydra|LOC105848505, Hydra|LOC105848542, Hydra|LOC124810573, Hydra|LOC124809576, Hydra|LOC124810556, Hydra|LOC105850509, Hydra|LOC124810561, Hydra|LOC124810619, Hydra|LOC105845779, Hydra|LOC124809578, Hydra|LOC105848306, Hydra|LOC105844812, Hydra|LOC105844689, Hydra|LOC124814829, Hydra|LOC105848254, Hydra|LOC100201479, Hydra|LOC124818979, Hydra|LOC105847098, Hydra|LOC105847216
OG0000011	Nematostella|LOC116603222, Nematostella|LOC116614214, Nematostella|LOC116620283, Nematostella|LOC116608459, Nematostella|LOC125560620, Nematostella|LOC125560719	Hydra|LOC105844927, Hydra|LOC124811300
OG0000011	Nematostella|LOC125561778, Nematostella|LOC125573262, Nematostella|LOC116606010, Nematostella|LOC116612113, Nematostella|LOC116613350, Nematostella|LOC125560701, Nematostella|LOC125557593, Nematostella|LOC125561193	Hydra|LOC124812758, Hydra|LOC124810370
OG0000018	Nematostella|LOC5508709	Hydra|LOC124817749, Hydra|LOC124817835, Hydra|LOC124817138, Hydra|LOC100205863
OG0000027	Nematostella|LOC5502001, Nematostella|LOC5505980	Hydra|LOC124810129, Hydra|LOC100212410, Hydra|LOC124810104, Hydra|LOC124810089, Hydra|LOC124810057, Hydra|LOC124810056, Hydra|LOC124810043, Hydra|LOC100212003, Hydra|LOC124810090
OG0000027	Nematostella|LOC5497940, Nematostella|LOC116607803, Nematostella|LOC5500881, Nematostella|LOC116618621, Nematostella|LOC5518508, Nematostella|LOC116618181, Nematostella|LOC116603288, Nematostella|LOC116615387, Nematostella|LOC5520654, Nematostella|LOC5497237, Nematostella|LOC5520522, Nematostella|LOC5497168, Nematostella|LOC125557190, Nematostella|LOC5497955, Nematostella|LOC5498099, Nematostella|LOC125557183, Nematostella|LOC5498791, Nematostella|LOC125557186, Nematostella|LOC125557179, Nematostella|LOC125557185, Nematostella|LOC125557191, Nematostella|LOC125557192, Nematostella|LOC125557187, Nematostella|LOC125557188, Nematostella|LOC116607011, Nematostella|LOC125557178, Nematostella|LOC125557182, Nematostella|LOC125557180, Nematostella|LOC125557181, Nematostella|LOC125557175, Nematostella|LOC125557174, Nematostella|LOC125557176, Nematostella|LOC125557172, Nematostella|LOC125557173, Nematostella|LOC125557171, Nematostella|LOC125557193	Hydra|LOC100211936
OG0000031	Nematostella|LOC116602249, Nematostella|LOC5507947, Nematostella|LOC116604657, Nematostella|LOC116617993, Nematostella|LOC116620912, Nematostella|LOC5512949, Nematostella|LOC116612432, Nematostella|LOC116619539, Nematostella|LOC125560664, Nematostella|LOC116601166, Nematostella|LOC116621099, Nematostella|LOC116616799	Hydra|LOC124815433, Hydra|LOC124817995, Hydra|LOC124808661, Hydra|LOC124807629, Hydra|LOC124818773, Hydra|LOC124814020, Hydra|LOC124818103, Hydra|LOC124806260, Hydra|LOC124814004, Hydra|LOC124809229, Hydra|LOC124805915, Hydra|LOC124816899
OG0000036	Nematostella|LOC125559372	Hydra|LOC124813503, Hydra|LOC124817190
OG0000036	Nematostella|LOC125570202	Hydra|LOC105846812
OG0000038	Nematostella|LOC125560740, Nematostella|LOC125561897	Hydra|LOC105849896, Hydra|LOC101236124, Hydra|LOC101241209, Hydra|LOC105849797, Hydra|LOC101241798, Hydra|LOC101238699, Hydra|LOC101240221, Hydra|LOC105843656, Hydra|LOC101239129, Hydra|LOC101236254, Hydra|LOC101239770, Hydra|LOC124808611, Hydra|LOC101235500, Hydra|LOC101235687, Hydra|LOC101239603, Hydra|LOC101238386, Hydra|LOC124815232, Hydra|LOC124813908, Hydra|LOC124817248, Hydra|LOC101238402, Hydra|LOC101237398, Hydra|LOC101235608, Hydra|LOC100212569, Hydra|LOC101235699, Hydra|LOC124807571
