Orthogroup	longest_isoform_XeniaProteins	longest_isoform_HydraProteins
OG0000009	Xenia|LOC124451785, Xenia|LOC124450450, Xenia|LOC124450469, Xenia|LOC124450440, Xenia|LOC124450439, Xenia|LOC124452185, Xenia|LOC124452160, Xenia|LOC124452188, Xenia|LOC124452179, Xenia|LOC124452161, Xenia|LOC124452191, Xenia|LOC124452182, Xenia|LOC124451810, Xenia|LOC124452162	Hydra|LOC100208603
OG0000012	Xenia|LOC124433669, Xenia|LOC124439951, Xenia|LOC124433625, Xenia|LOC124441608, Xenia|LOC124456922, Xenia|LOC124459025, Xenia|LOC124448666, Xenia|LOC124453580, Xenia|LOC124439950	Hydra|LOC100209982
OG0000018	Xenia|LOC124443897, Xenia|LOC124436633	Hydra|LOC124817749, Hydra|LOC124817835, Hydra|LOC124817138, Hydra|LOC100205863
OG0000020	Xenia|LOC124458392	Hydra|LOC124807009
OG0000020	Xenia|LOC124459319, Xenia|LOC124445123, Xenia|LOC124456936, Xenia|LOC124449225	Hydra|LOC105844899, Hydra|LOC101241751, Hydra|LOC101236742, Hydra|LOC124811256, Hydra|LOC124815971, Hydra|LOC124815747, Hydra|LOC124816064, Hydra|LOC101236519
OG0000020	Xenia|LOC124451290, Xenia|LOC124452110, Xenia|LOC124455268, Xenia|LOC124456909	Hydra|LOC124812591, Hydra|LOC101238527, Hydra|LOC124808491, Hydra|LOC124808442, Hydra|LOC124807888, Hydra|LOC124808642, Hydra|LOC124813555, Hydra|LOC124812329, Hydra|LOC124811460, Hydra|LOC124812033, Hydra|LOC124812313, Hydra|LOC124813750, Hydra|LOC124815726, Hydra|LOC105850580, Hydra|LOC124816699, Hydra|LOC124817498, Hydra|LOC124818715, Hydra|LOC124818687, Hydra|LOC124805845, Hydra|LOC124807866, Hydra|LOC124817212, Hydra|LOC124806657, Hydra|LOC124818704, Hydra|LOC124817801, Hydra|LOC124810165, Hydra|LOC124807210, Hydra|LOC124811061, Hydra|LOC124811314, Hydra|LOC124817210, Hydra|LOC124809550, Hydra|LOC105845070
OG0000027	Xenia|LOC124452960, Xenia|LOC124445656	Hydra|LOC100211936
OG0000028	Xenia|LOC124449248, Xenia|LOC124449119, Xenia|LOC124452042, Xenia|LOC124452084	Hydra|LOC105850998, Hydra|LOC124806725, Hydra|LOC105844880, Hydra|LOC105845863, Hydra|LOC101241479, Hydra|LOC101237848, Hydra|LOC124816110, Hydra|LOC124816319, Hydra|LOC105843733, Hydra|LOC101235942, Hydra|LOC124813979, Hydra|LOC101240863, Hydra|LOC101239653, Hydra|LOC101236227, Hydra|LOC124812576
OG0000028	Xenia|LOC124441599, Xenia|LOC124435974, Xenia|LOC124439425	Hydra|LOC101241210, Hydra|LOC105846427
OG0000031	Xenia|LOC124445131, Xenia|LOC124451022, Xenia|LOC124448024, Xenia|LOC124436060, Xenia|LOC124438534	Hydra|LOC124808574, Hydra|LOC124812840, Hydra|LOC124817742, Hydra|LOC124813483, Hydra|LOC124809397, Hydra|LOC124807615, Hydra|LOC124816429, Hydra|LOC124808049, Hydra|LOC124808444, Hydra|LOC124812429, Hydra|LOC124813363
OG0000031	Xenia|LOC124443906, Xenia|LOC124457004	Hydra|LOC124815433, Hydra|LOC124817995, Hydra|LOC124808661, Hydra|LOC124807629, Hydra|LOC124818773, Hydra|LOC124814020, Hydra|LOC124818103, Hydra|LOC124806260, Hydra|LOC124814004, Hydra|LOC124809229, Hydra|LOC124805915, Hydra|LOC124816899
OG0000036	Xenia|LOC124437283, Xenia|LOC124457091	Hydra|LOC124813503, Hydra|LOC124817190
OG0000036	Xenia|LOC124434350, Xenia|LOC124448385	Hydra|LOC105846812
