qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
Hydractinia|LOC130612030	Clytia|LOC042172	31.452	38	308	220	124	45.4	1.2e-05
Hydractinia|LOC130612031	Clytia|LOC044941	48.551	88	164	233	138	58.2	8.5e-11
Hydractinia|LOC130612032	Clytia|LOC018389	72.973	100	329	333	333	515.0	0.0
Hydractinia|LOC130612033	Clytia|LOC007496	22.857	50	252	2123	140	32.0	0.39
Hydractinia|LOC130612034	Clytia|LOC004100	33.333	75	684	658	561	260.0	1.76e-77
Hydractinia|LOC130612035	Clytia|LOC040001	32.99	91	517	495	485	243.0	3.76e-74
Hydractinia|LOC130612037	Clytia|LOC010815	71.154	79	459	378	364	532.0	0.0
Hydractinia|LOC130612038	Clytia|LOC008264	74.611	100	198	196	193	252.0	2e-86
Hydractinia|LOC130612039	Clytia|LOC003830	40.0	56	357	492	200	136.0	3.2400000000000004e-36
Hydractinia|LOC130612040	Clytia|LOC004819	30.961	33	1106	808	281	120.0	1.1000000000000001e-27
Hydractinia|LOC130612042	Clytia|LOC003464	37.656	83	479	468	401	230.0	3.43e-70
Hydractinia|LOC130612043	Clytia|LOC004785	82.114	98	369	371	369	609.0	0.0
Hydractinia|LOC130612044	Clytia|LOC006392	50.865	89	316	292	289	311.0	2.42e-106
Hydractinia|LOC130612045	Clytia|LOC021626	51.923	89	809	371	364	404.0	1.2899999999999998e-134
Hydractinia|LOC130612046	Clytia|LOC016312	40.551	98	520	537	508	449.0	7.18e-154
Hydractinia|LOC130612047	Clytia|LOC036147	27.632	47	490	1371	228	97.8	1.92e-21
Hydractinia|LOC130612049	Clytia|LOC003446	35.127	92	332	385	316	200.0	1.93e-61
Hydractinia|LOC130612050	Clytia|LOC003444	48.148	98	330	385	351	355.0	8.54e-122
Hydractinia|LOC130612051	Clytia|LOC003445	68.293	51	317	200	164	238.0	1.1e-78
Hydractinia|LOC130612052	Clytia|LOC002316	53.012	100	246	250	249	277.0	1.99e-94
Hydractinia|LOC130612053	Clytia|LOC023474	37.778	25	182	194	45	28.9	1.2
Hydractinia|LOC130612055	Clytia|LOC009529	30.632	99	494	510	506	261.0	2.15e-81
Hydractinia|LOC130612056	Clytia|LOC015313	58.333	48	301	364	144	192.0	5.95e-59
Hydractinia|LOC130612057	Clytia|LOC003791	57.266	99	574	581	578	657.0	0.0
Hydractinia|LOC130612058	Clytia|LOC006371	41.55	99	1831	1839	1858	1504.0	0.0
Hydractinia|LOC130612059	Clytia|LOC029939	39.354	96	1057	1099	1052	738.0	0.0
Hydractinia|LOC130612060	Clytia|LOC030209	27.045	67	624	538	440	135.0	1.26e-33
Hydractinia|LOC130612062	Clytia|LOC037064	63.218	93	562	523	522	706.0	0.0
Hydractinia|LOC130612063	Clytia|LOC030008	53.659	49	251	567	123	132.0	1.08e-35
Hydractinia|LOC130612064	Clytia|LOC020879	40.0	73	443	520	325	233.0	2.56e-71
Hydractinia|LOC130612065	Clytia|LOC036148	65.376	91	428	521	439	518.0	0.0
Hydractinia|LOC130612066	Clytia|LOC036149	71.93	90	189	172	171	262.0	1.16e-90
Hydractinia|LOC130612067	Clytia|LOC010368	80.392	84	666	562	561	950.0	0.0
Hydractinia|LOC130612069	Clytia|LOC003580	43.389	97	1000	1072	1074	712.0	0.0
Hydractinia|LOC130612070	Clytia|LOC018395	43.932	99	1144	1191	1236	796.0	0.0
Hydractinia|LOC130612071	Clytia|LOC016365	55.14	78	130	196	107	102.0	1.42e-28
Hydractinia|LOC130612072	Clytia|LOC044658	57.65	89	482	499	451	552.0	0.0
Hydractinia|LOC130612073	Clytia|LOC031039	52.761	99	329	335	326	358.0	7.5400000000000005e-124
Hydractinia|LOC130612074	Clytia|LOC008685	40.373	83	194	202	161	127.0	4.41e-37
Hydractinia|LOC130612076	Clytia|LOC004478	39.683	61	511	637	315	236.0	2.24e-70
Hydractinia|LOC130612077	Clytia|LOC012451	52.673	92	542	538	505	545.0	0.0
Hydractinia|LOC130612078	Clytia|LOC010344	74.256	98	582	584	571	909.0	0.0
Hydractinia|LOC130612079	Clytia|LOC017326	56.452	20	901	684	186	201.0	1.31e-54
Hydractinia|LOC130612080	Clytia|LOC020713	67.303	92	442	466	419	514.0	0.0
Hydractinia|LOC130612081	Clytia|LOC007149	32.787	68	161	157	122	65.9	2.85e-14
Hydractinia|LOC130612082	Clytia|LOC011837	80.347	81	214	188	173	255.0	2.96e-87
Hydractinia|LOC130612084	Clytia|LOC013300	60.987	40	556	625	223	256.0	1.82e-77
Hydractinia|LOC130612085	Clytia|LOC013085	26.957	51	566	387	230	96.3	2.0300000000000002e-21
Hydractinia|LOC130612086	Clytia|LOC003610	55.708	98	663	666	657	735.0	0.0
Hydractinia|LOC130612087	Clytia|LOC039405	44.758	99	249	252	248	233.0	2.87e-77
Hydractinia|LOC130612088	Clytia|LOC025551	42.125	39	651	328	273	207.0	2.76e-61
Hydractinia|LOC130612090	Clytia|LOC029079	43.017	54	655	182	179	147.0	6.46e-41
Hydractinia|LOC130612091	Clytia|LOC031034	87.008	92	276	282	254	409.0	1.19e-145
Hydractinia|LOC130612092	Clytia|LOC004822	42.932	39	1788	736	382	270.0	1.68e-76
Hydractinia|LOC130612093	Clytia|LOC004786	48.045	99	502	539	537	458.0	1.17e-157
Hydractinia|LOC130612095	Clytia|LOC008283	64.187	91	401	417	363	505.0	2.74e-179
Hydractinia|LOC130612096	Clytia|LOC009295	28.108	78	682	530	555	197.0	2.28e-55
Hydractinia|LOC130612097	Clytia|LOC044837	83.784	100	147	149	148	254.0	1.61e-88
Hydractinia|LOC130612098	Clytia|LOC016975	63.842	98	180	184	177	242.0	1.06e-82
Hydractinia|LOC130612099	Clytia|LOC007479	59.231	60	209	131	130	164.0	1.94e-52
Hydractinia|LOC130612100	Clytia|LOC003431	34.944	35	1353	1915	269	105.0	1.19e-22
Hydractinia|LOC130612101	Clytia|LOC017939	30.087	96	731	733	462	185.0	1.7100000000000001e-49
Hydractinia|LOC130612103	Clytia|LOC007124	41.722	58	245	279	151	83.6	4.48e-19
