qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
Hydractinia|LOC130612030	Xenia|LOC124439555	26.901	51	308	308	171	47.0	4.52e-06
Hydractinia|LOC130612031	Xenia|LOC124456330	21.324	89	164	185	136	46.2	7.87e-07
Hydractinia|LOC130612032	Xenia|LOC124458580	73.01	88	329	296	289	466.0	2.6500000000000004e-167
Hydractinia|LOC130612033	Xenia|LOC124457902	45.714	96	252	294	245	228.0	1.82e-74
Hydractinia|LOC130612034	Xenia|LOC124441499	43.243	32	684	471	222	202.0	7.67e-58
Hydractinia|LOC130612035	Xenia|LOC124443875	34.211	49	517	411	266	156.0	9.6e-43
Hydractinia|LOC130612037	Xenia|LOC124439578	63.907	66	459	341	302	404.0	4e-140
Hydractinia|LOC130612038	Xenia|LOC124454427	43.103	87	198	189	174	119.0	2.62e-34
Hydractinia|LOC130612039	Xenia|LOC124433517	30.46	48	357	605	174	83.6	1.07e-17
Hydractinia|LOC130612040	Xenia|LOC124439353	38.318	10	1106	3343	107	70.5	3.71e-12
Hydractinia|LOC130612042	Xenia|LOC124435095	32.178	84	479	453	404	197.0	9.58e-58
Hydractinia|LOC130612043	Xenia|LOC124452251	24.862	88	369	504	362	97.1	3.23e-22
Hydractinia|LOC130612044	Xenia|LOC124459443	32.377	75	316	280	244	146.0	4.2099999999999997e-42
Hydractinia|LOC130612045	Xenia|LOC124446389	42.703	90	809	381	370	294.0	3.09e-92
Hydractinia|LOC130612046	Xenia|LOC124447971	28.762	94	520	537	525	178.0	1.16e-49
Hydractinia|LOC130612047	Xenia|LOC124439672	45.011	94	490	483	471	400.0	1.0099999999999999e-135
Hydractinia|LOC130612049	Xenia|LOC124447326	36.491	84	332	352	285	188.0	3.18e-57
Hydractinia|LOC130612050	Xenia|LOC124438314	57.276	98	330	368	323	389.0	1.57e-135
Hydractinia|LOC130612051	Xenia|LOC124447326	37.413	89	317	352	286	211.0	1.79e-66
Hydractinia|LOC130612052	Xenia|LOC124435701	28.125	39	246	254	96	35.0	0.018
Hydractinia|LOC130612053	Xenia|LOC124447904	35.644	44	182	115	101	57.8	1.71e-11
Hydractinia|LOC130612055	Xenia|LOC124454973	26.158	70	494	393	367	128.0	7.35e-33
Hydractinia|LOC130612056	Xenia|LOC124433411	46.528	48	301	318	144	144.0	4.22e-41
Hydractinia|LOC130612057	Xenia|LOC124452703	26.537	49	574	655	309	47.8	9.72e-06
Hydractinia|LOC130612058	Xenia|LOC124438716	28.959	99	1831	2015	1326	436.0	4.75e-125
Hydractinia|LOC130612059	Xenia|LOC124446033	28.134	98	1057	1001	1077	308.0	2.6e-89
Hydractinia|LOC130612060	Xenia|LOC124452219	22.603	23	624	255	146	36.2	0.034
Hydractinia|LOC130612062	Xenia|LOC124434076	48.674	93	562	532	528	538.0	0.0
Hydractinia|LOC130612063	Xenia|LOC124447944	37.5	57	251	289	144	110.0	3.87e-29
Hydractinia|LOC130612064	Xenia|LOC124444479	39.453	56	443	415	256	199.0	1.9800000000000001e-59
Hydractinia|LOC130612065	Xenia|LOC124439109	79.775	62	428	388	267	447.0	1.3100000000000001e-156
Hydractinia|LOC130612066	Xenia|LOC124433290	22.963	68	189	6033	135	31.6	0.23
Hydractinia|LOC130612067	Xenia|LOC124454524	61.338	80	666	541	538	675.0	0.0
Hydractinia|LOC130612069	Xenia|LOC124454353	43.29	23	1000	751	231	204.0	3.38e-55
Hydractinia|LOC130612070	Xenia|LOC124438882	40.852	49	1144	1075	399	268.0	8.04e-75
Hydractinia|LOC130612071	Xenia|LOC124459292	29.73	57	130	231	74	40.4	5.18e-05
Hydractinia|LOC130612072	Xenia|LOC124438966	48.349	87	482	476	424	417.0	1.12e-142
Hydractinia|LOC130612073	Xenia|LOC124438223	43.03	100	329	348	330	286.0	1.6e-95
Hydractinia|LOC130612074	Xenia|LOC124433519	26.712	73	194	186	146	48.9	1.25e-07
Hydractinia|LOC130612076	Xenia|LOC124438062	27.076	51	511	848	277	121.0	2.82e-29
Hydractinia|LOC130612077	Xenia|LOC124435451	38.83	99	542	559	564	362.0	2.9e-119
Hydractinia|LOC130612078	Xenia|LOC124443095	33.803	12	582	407	71	30.0	2.9
Hydractinia|LOC130612079	Xenia|LOC124451674	23.889	18	901	8184	180	34.3	0.32
Hydractinia|LOC130612080	Xenia|LOC124454703	38.194	88	442	477	432	228.0	6.6e-70
Hydractinia|LOC130612081	Xenia|LOC124457596	31.325	48	161	486	83	29.3	0.8
Hydractinia|LOC130612082	Xenia|LOC124453003	54.091	100	214	214	220	221.0	7.979999999999999e-74
Hydractinia|LOC130612084	Xenia|LOC124439218	64.894	17	556	289	94	129.0	6.77e-34
Hydractinia|LOC130612085	Xenia|LOC124444960	30.288	50	566	346	208	104.0	1.1499999999999999e-24
Hydractinia|LOC130612086	Xenia|LOC124438217	41.004	89	663	855	478	350.0	5.790000000000001e-110
Hydractinia|LOC130612087	Xenia|LOC124438031	30.337	94	249	327	267	111.0	4.71e-29
Hydractinia|LOC130612088	Xenia|LOC124445250	37.214	72	651	585	481	291.0	3.58e-90
Hydractinia|LOC130612090	Xenia|LOC124448696	35.294	7	655	425	51	30.0	3.7
Hydractinia|LOC130612091	Xenia|LOC124438357	74.265	98	276	279	272	378.0	1.07e-133
Hydractinia|LOC130612092	Xenia|LOC124439353	38.71	9	1788	3343	155	117.0	3.65e-26
Hydractinia|LOC130612093	Xenia|LOC124438945	41.406	100	502	494	512	304.0	3.49e-98
Hydractinia|LOC130612095	Xenia|LOC124453116	52.528	89	401	686	356	395.0	9.65e-133
Hydractinia|LOC130612096	Xenia|LOC124458377	24.487	91	682	604	633	124.0	9.81e-30
Hydractinia|LOC130612097	Xenia|LOC124439558	63.194	98	147	145	144	198.0	1.26e-66
Hydractinia|LOC130612098	Xenia|LOC124435350	34.091	99	180	441	176	90.9	7.5e-22
Hydractinia|LOC130612099	Xenia|LOC124439673	34.545	26	209	447	55	35.0	0.015
Hydractinia|LOC130612100	Xenia|LOC124442929	26.316	11	1353	1354	152	33.9	0.58
Hydractinia|LOC130612101	Xenia|LOC124441191	36.62	9	731	2736	71	41.6	0.001
Hydractinia|LOC130612103	Xenia|LOC124445150	25.773	36	245	7765	97	30.0	1.0
Hydractinia|LOC130612104	Xenia|LOC124443801	27.043	95	872	870	869	259.0	3.47e-74
Hydractinia|LOC130612105	Xenia|LOC124447387	37.344	28	841	302	241	149.0	5.0099999999999996e-40
Hydractinia|LOC130612106	Xenia|LOC124457162	45.571	72	939	732	700	584.0	0.0
Hydractinia|LOC130612107	Xenia|LOC124452989	28.025	55	535	533	314	103.0	1.47e-23
Hydractinia|LOC130612109	Xenia|LOC124457487	52.941	95	464	481	442	501.0	6.509999999999999e-176
Hydractinia|LOC130612110	Xenia|LOC124439605	36.774	99	1098	811	930	548.0	0.0
Hydractinia|LOC130612111	Xenia|LOC124455430	37.572	82	1235	1157	1038	679.0	0.0
Hydractinia|LOC130612112	Xenia|LOC124446077	37.288	60	1242	1394	472	287.0	9.460000000000001e-80
Hydractinia|LOC130612113	Xenia|LOC124437958	35.575	83	785	678	669	343.0	1.69e-107
Hydractinia|LOC130612116	Xenia|LOC124438229	41.401	28	558	185	157	128.0	1.03e-34
Hydractinia|LOC130612117	Xenia|LOC124437956	66.667	99	217	220	216	294.0	2.17e-102
Hydractinia|LOC130612118	Xenia|LOC124449410	39.535	25	171	707	43	30.0	0.54
Hydractinia|LOC130612120	Xenia|LOC124456230	25.843	16	558	1707	89	35.0	0.11
Hydractinia|LOC130612121	Xenia|LOC124441085	30.617	87	482	473	454	172.0	1.58e-48
Hydractinia|LOC130612123	Xenia|LOC124456891	43.963	50	648	330	323	268.0	1.6599999999999999e-84
