qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
ATP6	Clytia|LOC025907	76.271	51	233	119	118	177.0	2.04e-57
ATP8	Clytia|LOC030309	42.5	59	68	410	40	28.5	0.2
COX2	Clytia|LOC009765	24.219	43	251	2741	128	33.9	0.088
COX3	Clytia|LOC019632	32.075	19	261	875	53	32.7	0.19
Hydra|LOC100192226	Clytia|LOC000577	40.148	79	507	472	406	321.0	6.24e-105
Hydra|LOC100192227	Clytia|LOC007480	67.162	77	924	1053	606	840.0	0.0
Hydra|LOC100192229	Clytia|LOC003781	33.146	63	1040	712	712	353.0	2.8e-108
Hydra|LOC100192230	Clytia|LOC000105	59.27	50	640	384	356	380.0	1.92e-127
Hydra|LOC100192231	Clytia|LOC010541	52.577	59	619	783	291	268.0	7.860000000000001e-80
Hydra|LOC100192232	Clytia|LOC008988	35.484	23	137	296	31	28.1	1.8
Hydra|LOC100192236	Clytia|LOC036006	45.374	90	248	244	227	153.0	5.08e-46
Hydra|LOC100192237	Clytia|LOC039192	50.901	68	309	306	222	166.0	1.46e-49
Hydra|LOC100192239	Clytia|LOC033801	74.844	59	815	690	481	743.0	0.0
Hydra|LOC100192244	Clytia|LOC010764	63.051	84	315	478	295	335.0	6.15e-113
Hydra|LOC100192245	Clytia|LOC034623	69.124	96	226	284	217	325.0	2e-113
Hydra|LOC100192246	Clytia|LOC034184	22.826	37	196	452	92	30.0	0.94
Hydra|LOC100192247	Clytia|LOC002646	42.805	94	567	617	549	468.0	1.6e-159
Hydra|LOC100192249	Clytia|LOC034063	51.946	99	582	581	591	603.0	0.0
Hydra|LOC100192250	Clytia|LOC017531	39.525	97	945	1028	969	731.0	0.0
Hydra|LOC100192251	Clytia|LOC004102	54.318	92	470	736	440	459.0	9.89e-156
Hydra|LOC100192252	Clytia|LOC004102	52.278	95	471	736	461	456.0	1.06e-154
Hydra|LOC100192253	Clytia|LOC008182	21.557	22	695	3376	167	35.0	0.17
Hydra|LOC100192254	Clytia|LOC042657	33.333	42	137	102	57	28.1	0.8
Hydra|LOC100192256	Clytia|LOC045452	23.913	70	124	159	92	42.4	8.82e-06
Hydra|LOC100192258	Clytia|LOC041736	35.354	60	149	157	99	55.8	1.2e-10
Hydra|LOC100192259	Clytia|LOC008099	61.538	86	587	584	507	644.0	0.0
Hydra|LOC100192260	Clytia|LOC020727	61.864	99	470	476	472	625.0	0.0
Hydra|LOC100192262	Clytia|LOC040596	59.856	93	445	496	416	513.0	0.0
Hydra|LOC100192263	Clytia|LOC003425	76.569	83	284	302	239	363.0	2.84e-127
Hydra|LOC100192266	Clytia|LOC030083	85.405	96	192	192	185	329.0	8.08e-117
Hydra|LOC100192268	Clytia|LOC021513	43.348	70	317	234	233	206.0	1.26e-65
Hydra|LOC100192269	Clytia|LOC036536	49.481	62	1120	764	770	622.0	0.0
Hydra|LOC100192272	Clytia|LOC001756	35.294	79	295	603	102	50.4	4.64e-07
Hydra|LOC100192273	Clytia|LOC001756	32.0	86	289	603	125	47.0	6.02e-06
Hydra|LOC100192274	Clytia|LOC001441	37.736	55	93	144	53	33.1	0.008
Hydra|LOC100192275	Clytia|LOC040247	38.806	62	95	275	67	39.3	7.81e-05
Hydra|LOC100192277	Clytia|LOC033205	24.031	43	269	932	129	31.2	0.64
Hydra|LOC100192280	Clytia|LOC004732	50.803	60	717	796	498	449.0	1.14e-147
Hydra|LOC100192283	Clytia|LOC044286	47.284	100	418	498	497	343.0	1.97e-114
Hydra|LOC100192286	Clytia|LOC019434	34.899	94	164	327	149	75.1	1.22e-16
Hydra|LOC100192287	Clytia|LOC019434	37.589	99	166	327	141	72.4	1.06e-15
Hydra|LOC100192288	Clytia|LOC019434	32.0	98	319	327	325	104.0	9.53e-26
Hydra|LOC100192289	Clytia|LOC041993	81.791	100	335	336	335	575.0	0.0
Hydra|LOC100192290	Clytia|LOC015596	78.992	99	361	364	357	599.0	0.0
Hydra|LOC100192291	Clytia|LOC014762	89.441	86	373	322	322	607.0	0.0
Hydra|LOC100192292	Clytia|LOC006443	44.839	97	869	874	872	689.0	0.0
Hydra|LOC100192294	Clytia|LOC023774	66.752	44	890	391	391	554.0	0.0
Hydra|LOC100192295	Clytia|LOC032373	65.409	91	515	553	477	664.0	0.0
Hydra|LOC100192297	Clytia|LOC020727	57.983	100	467	476	476	570.0	0.0
Hydra|LOC100192298	Clytia|LOC019840	31.565	83	424	408	377	157.0	5.5e-44
Hydra|LOC100192300	Clytia|LOC041442	25.616	42	403	245	203	41.6	0.000398
Hydra|LOC100192301	Clytia|LOC033976	83.951	73	660	682	486	841.0	0.0
Hydra|LOC100192302	Clytia|LOC033169	88.021	100	192	192	192	322.0	3.88e-114
Hydra|LOC100196947	Clytia|LOC041385	43.844	88	372	370	333	266.0	8.93e-87
Hydra|LOC100196951	Clytia|LOC020879	66.129	100	186	520	186	265.0	1.7200000000000001e-87
Hydra|LOC100196957	Clytia|LOC002085	36.836	87	957	1378	885	531.0	1.47e-169
Hydra|LOC100196960	Clytia|LOC003334	66.055	23	483	169	109	164.0	1.48e-48
Hydra|LOC100196971	Clytia|LOC006060	22.699	24	636	456	163	42.7	0.000467
Hydra|LOC100196972	Clytia|LOC041399	60.189	93	557	764	530	651.0	0.0
Hydra|LOC100196975	Clytia|LOC034212	55.108	86	1217	1223	1067	1170.0	0.0
Hydra|LOC100196976	Clytia|LOC042397	64.135	100	229	249	237	281.0	1.45e-96
Hydra|LOC100196981	Clytia|LOC045134	24.886	87	389	477	438	75.9	6.35e-15
Hydra|LOC100196982	Clytia|LOC006090	43.321	84	315	342	277	228.0	6.79e-73
Hydra|LOC100196984	Clytia|LOC004519	22.222	43	451	335	216	45.4	3.01e-05
Hydra|LOC100196985	Clytia|LOC028517	31.343	31	208	404	67	29.6	1.1
Hydra|LOC100196986	Clytia|LOC041639	48.661	86	258	258	224	226.0	2.89e-74
Hydra|LOC100196991	Clytia|LOC038151	56.341	99	554	565	552	615.0	0.0
Hydra|LOC100196995	Clytia|LOC043982	63.902	88	220	233	205	209.0	1.07e-68
Hydra|LOC100196996	Clytia|LOC041659	59.091	67	257	202	176	219.0	3.35e-72
Hydra|LOC100196999	Clytia|LOC039011	74.18	98	240	272	244	376.0	2.14e-133
Hydra|LOC100197001	Clytia|LOC005923	48.788	99	642	859	660	575.0	0.0
Hydra|LOC100197002	Clytia|LOC015508	62.338	78	685	740	539	713.0	0.0
Hydra|LOC100197005	Clytia|LOC010645	36.585	86	236	268	205	139.0	2.71e-40
Hydra|LOC100197006	Clytia|LOC040235	35.724	69	2000	825	767	417.0	4.82e-126
Hydra|LOC100197007	Clytia|LOC035587	54.658	100	161	159	161	189.0	2.2399999999999998e-62
Hydra|LOC100197010	Clytia|LOC006437	78.251	68	619	667	423	696.0	0.0
Hydra|LOC100197014	Clytia|LOC010342	46.481	91	1763	1974	1293	1040.0	0.0
Hydra|LOC100197018	Clytia|LOC017925	40.732	90	446	452	410	306.0	5.47e-100
Hydra|LOC100197023	Clytia|LOC030864	71.496	89	446	476	421	635.0	0.0
Hydra|LOC100197025	Clytia|LOC012520	40.741	56	135	663	27	32.3	0.055
Hydra|LOC100197032	Clytia|LOC032647	62.255	52	394	481	204	251.0	3.9200000000000005e-79
Hydra|LOC100197033	Clytia|LOC040729	68.161	100	428	465	446	608.0	0.0
Hydra|LOC100197039	Clytia|LOC018050	58.281	68	676	786	477	578.0	0.0
Hydra|LOC100197044	Clytia|LOC041924	50.21	99	1153	1215	1193	1113.0	0.0
Hydra|LOC100197049	Clytia|LOC000746	49.246	99	201	200	199	208.0	6.68e-69
Hydra|LOC100197050	Clytia|LOC030858	67.358	92	387	416	386	560.0	0.0
Hydra|LOC100197054	Clytia|LOC029555	76.398	55	577	322	322	516.0	0.0
Hydra|LOC100197055	Clytia|LOC013337	49.301	80	347	340	286	261.0	1.07e-85
Hydra|LOC100197056	Clytia|LOC004465	53.774	32	332	946	106	132.0	3.3299999999999997e-34
Hydra|LOC100197057	Clytia|LOC004036	43.981	98	199	224	216	189.0	4.5899999999999995e-61
Hydra|LOC100197059	Clytia|LOC010296	64.706	64	535	342	340	460.0	8.67e-161
Hydra|LOC100197067	Clytia|LOC043132	51.238	33	4923	1844	1696	1849.0	0.0
Hydra|LOC100197068	Clytia|LOC010409	33.136	92	613	789	338	192.0	2.2299999999999997e-52
Hydra|LOC100197069	Clytia|LOC032980	55.851	47	373	192	188	203.0	2.21e-64
Hydra|LOC100197072	Clytia|LOC007311	32.353	35	192	611	68	30.4	0.66
Hydra|LOC100197076	Clytia|LOC007082	38.546	70	578	971	454	289.0	7.24e-87
Hydra|LOC100197078	Clytia|LOC031556	47.259	34	3361	1235	1204	1141.0	0.0
Hydra|LOC100197079	Clytia|LOC020144	43.989	82	434	455	366	297.0	8.86e-97
