Orthogroup	longest_isoform_XeniaProteins	longest_isoform_HydractiniaProteins
OG0000001	Xenia|LOC124440507, Xenia|LOC124455698, Xenia|LOC124455501, Xenia|LOC124455697, Xenia|LOC124458084, Xenia|LOC124457412, Xenia|LOC124457175, Xenia|LOC124455420, Xenia|LOC124455419, Xenia|LOC124457202, Xenia|LOC124457177, Xenia|LOC124457181, Xenia|LOC124457176, Xenia|LOC124457877, Xenia|LOC124454843, Xenia|LOC124454845, Xenia|LOC124454818, Xenia|LOC124454927, Xenia|LOC124454840, Xenia|LOC124454363, Xenia|LOC124454411, Xenia|LOC124454891, Xenia|LOC124454598, Xenia|LOC124454929, Xenia|LOC124454887, Xenia|LOC124454429	Hydractinia|LOC130614253, Hydractinia|LOC130614457, Hydractinia|LOC130641721, Hydractinia|LOC130641722, Hydractinia|LOC130641723, Hydractinia|LOC130641724
OG0000001	Xenia|LOC124454906, Xenia|LOC124454841, Xenia|LOC124454866, Xenia|LOC124454904, Xenia|LOC124454627, Xenia|LOC124455051, Xenia|LOC124454069, Xenia|LOC124454537, Xenia|LOC124454978, Xenia|LOC124454894, Xenia|LOC124455048, Xenia|LOC124454560, Xenia|LOC124455028, Xenia|LOC124454865, Xenia|LOC124454901, Xenia|LOC124454955, Xenia|LOC124454895, Xenia|LOC124454823, Xenia|LOC124455026, Xenia|LOC124454913, Xenia|LOC124454812, Xenia|LOC124454897, Xenia|LOC124454820, Xenia|LOC124455023, Xenia|LOC124454241, Xenia|LOC124454641, Xenia|LOC124454821, Xenia|LOC124455086, Xenia|LOC124454649, Xenia|LOC124454385, Xenia|LOC124454541, Xenia|LOC124454813, Xenia|LOC124454824, Xenia|LOC124454886, Xenia|LOC124454911, Xenia|LOC124454867, Xenia|LOC124454915, Xenia|LOC124454814, Xenia|LOC124455029, Xenia|LOC124454540, Xenia|LOC124454714, Xenia|LOC124454070, Xenia|LOC124454846, Xenia|LOC124457429, Xenia|LOC124454478, Xenia|LOC124454905, Xenia|LOC124454653, Xenia|LOC124454594	Hydractinia|LOC130630690, Hydractinia|LOC130650689, Hydractinia|LOC130655365, Hydractinia|LOC130649554
OG0000001	Xenia|LOC124454117, Xenia|LOC124458207	Hydractinia|LOC130647270
OG0000009	Xenia|LOC124451785, Xenia|LOC124450450, Xenia|LOC124450469, Xenia|LOC124450440, Xenia|LOC124450439, Xenia|LOC124452185, Xenia|LOC124452160, Xenia|LOC124452188, Xenia|LOC124452179, Xenia|LOC124452161, Xenia|LOC124452191, Xenia|LOC124452182, Xenia|LOC124451810, Xenia|LOC124452162	Hydractinia|LOC130654592
OG0000009	Xenia|LOC124451807, Xenia|LOC124451082, Xenia|LOC124450907, Xenia|LOC124450353, Xenia|LOC124452190, Xenia|LOC124452178, Xenia|LOC124451806, Xenia|LOC124452170, Xenia|LOC124452159, Xenia|LOC124451783, Xenia|LOC124451851, Xenia|LOC124450794, Xenia|LOC124452165, Xenia|LOC124450834, Xenia|LOC124452164, Xenia|LOC124450443, Xenia|LOC124452180, Xenia|LOC124450455, Xenia|LOC124451776, Xenia|LOC124452163, Xenia|LOC124450442, Xenia|LOC124450437, Xenia|LOC124451774, Xenia|LOC124450288, Xenia|LOC124450287, Xenia|LOC124450290, Xenia|LOC124451619, Xenia|LOC124452193, Xenia|LOC124452200, Xenia|LOC124458133, Xenia|LOC124452201, Xenia|LOC124450447, Xenia|LOC124451779, Xenia|LOC124452270, Xenia|LOC124452272, Xenia|LOC124452172, Xenia|LOC124455832, Xenia|LOC124452175, Xenia|LOC124452167, Xenia|LOC124455838, Xenia|LOC124451777, Xenia|LOC124452186, Xenia|LOC124452157, Xenia|LOC124434337, Xenia|LOC124455833, Xenia|LOC124451847, Xenia|LOC124451626, Xenia|LOC124455902, Xenia|LOC124452183, Xenia|LOC124451780, Xenia|LOC124450292, Xenia|LOC124452173, Xenia|LOC124452198, Xenia|LOC124450298, Xenia|LOC124450463, Xenia|LOC124451789, Xenia|LOC124451809, Xenia|LOC124451778, Xenia|LOC124452189, Xenia|LOC124450446, Xenia|LOC124450445, Xenia|LOC124450461, Xenia|LOC124434635, Xenia|LOC124451790, Xenia|LOC124451917, Xenia|LOC124450352, Xenia|LOC124450355, Xenia|LOC124455901, Xenia|LOC124451786, Xenia|LOC124451446	Hydractinia|LOC130655626
OG0000011	Xenia|LOC124451985, Xenia|LOC124455801, Xenia|LOC124440433, Xenia|LOC124459403, Xenia|LOC124439427, Xenia|LOC124457279	Hydractinia|LOC130648062, Hydractinia|LOC130613592, Hydractinia|LOC130642361
OG0000011	Xenia|LOC124459404	Hydractinia|LOC130647152, Hydractinia|LOC130649583, Hydractinia|LOC130613862
OG0000012	Xenia|LOC124447075, Xenia|LOC124454885, Xenia|LOC124439988, Xenia|LOC124456381, Xenia|LOC124451709, Xenia|LOC124451202, Xenia|LOC124440963, Xenia|LOC124446563, Xenia|LOC124455425, Xenia|LOC124438616, Xenia|LOC124433742, Xenia|LOC124453577	Hydractinia|LOC130657890, Hydractinia|LOC130619234
OG0000012	Xenia|LOC124441532	Hydractinia|LOC130628946
OG0000012	Xenia|LOC124449681	Hydractinia|LOC130624204, Hydractinia|LOC130654344
