Orthogroup	longest_isoform_XeniaProteins	longest_isoform_NematostellaProteins
OG0000001	Xenia|LOC124440507, Xenia|LOC124455698, Xenia|LOC124455501, Xenia|LOC124455697	Nematostella|LOC5512120, Nematostella|LOC5521775
OG0000001	Xenia|LOC124458084, Xenia|LOC124457412, Xenia|LOC124457175, Xenia|LOC124455420, Xenia|LOC124455419, Xenia|LOC124457202, Xenia|LOC124457177, Xenia|LOC124457181, Xenia|LOC124457176, Xenia|LOC124457877	Nematostella|LOC5519177
OG0000001	Xenia|LOC124454843, Xenia|LOC124454845, Xenia|LOC124454818, Xenia|LOC124454927, Xenia|LOC124454840, Xenia|LOC124454363, Xenia|LOC124454411, Xenia|LOC124454891, Xenia|LOC124454598, Xenia|LOC124454929, Xenia|LOC124454887, Xenia|LOC124454429	Nematostella|LOC5505051, Nematostella|LOC116603694, Nematostella|LOC5506910, Nematostella|LOC5501293, Nematostella|LOC5511580
OG0000001	Xenia|LOC124454906, Xenia|LOC124454841, Xenia|LOC124454866, Xenia|LOC124454904, Xenia|LOC124454627, Xenia|LOC124455051, Xenia|LOC124454069, Xenia|LOC124454537, Xenia|LOC124454978, Xenia|LOC124454894, Xenia|LOC124455048, Xenia|LOC124454560, Xenia|LOC124455028, Xenia|LOC124454865, Xenia|LOC124454901, Xenia|LOC124454955, Xenia|LOC124454895, Xenia|LOC124454823, Xenia|LOC124455026, Xenia|LOC124454913, Xenia|LOC124454812, Xenia|LOC124454897, Xenia|LOC124454820, Xenia|LOC124455023, Xenia|LOC124454241, Xenia|LOC124454641, Xenia|LOC124454821, Xenia|LOC124455086, Xenia|LOC124454649, Xenia|LOC124454385, Xenia|LOC124454541, Xenia|LOC124454813, Xenia|LOC124454824, Xenia|LOC124454886, Xenia|LOC124454911, Xenia|LOC124454867, Xenia|LOC124454915, Xenia|LOC124454814, Xenia|LOC124455029, Xenia|LOC124454540, Xenia|LOC124454714, Xenia|LOC124454070	Nematostella|LOC5512143
OG0000001	Xenia|LOC124454846, Xenia|LOC124457429, Xenia|LOC124454478, Xenia|LOC124454905, Xenia|LOC124454653, Xenia|LOC124454594	Nematostella|LOC5518134
OG0000001	Xenia|LOC124439020, Xenia|LOC124455551, Xenia|LOC124457339, Xenia|LOC124457372, Xenia|LOC124457661, Xenia|LOC124454842, Xenia|LOC124457168, Xenia|LOC124433976, Xenia|LOC124454803, Xenia|LOC124454794, Xenia|LOC124457291, Xenia|LOC124458347, Xenia|LOC124454593, Xenia|LOC124454808, Xenia|LOC124454909, Xenia|LOC124451203, Xenia|LOC124451183, Xenia|LOC124454333, Xenia|LOC124455006, Xenia|LOC124454274, Xenia|LOC124454817, Xenia|LOC124457332, Xenia|LOC124454689, Xenia|LOC124454742, Xenia|LOC124454802, Xenia|LOC124454899, Xenia|LOC124454964, Xenia|LOC124454957, Xenia|LOC124455691	Nematostella|LOC5503242, Nematostella|LOC116610912, Nematostella|LOC5518119, Nematostella|LOC5500622
OG0000001	Xenia|LOC124454117, Xenia|LOC124458207	Nematostella|LOC5511369
OG0000007	Xenia|LOC124448046	Nematostella|LOC5521557
OG0000007	Xenia|LOC124442260, Xenia|LOC124442449, Xenia|LOC124435949, Xenia|LOC124443228, Xenia|LOC124441898, Xenia|LOC124442465, Xenia|LOC124443124, Xenia|LOC124449049, Xenia|LOC124451528, Xenia|LOC124456251, Xenia|LOC124440359, Xenia|LOC124451357, Xenia|LOC124451156, Xenia|LOC124451417, Xenia|LOC124443991, Xenia|LOC124443992, Xenia|LOC124456254, Xenia|LOC124451531, Xenia|LOC124450951, Xenia|LOC124456247, Xenia|LOC124451270, Xenia|LOC124456233, Xenia|LOC124451197, Xenia|LOC124451196, Xenia|LOC124451913, Xenia|LOC124451523, Xenia|LOC124451529, Xenia|LOC124456230, Xenia|LOC124451526, Xenia|LOC124451511, Xenia|LOC124451517, Xenia|LOC124451294, Xenia|LOC124451512, Xenia|LOC124450862, Xenia|LOC124456244, Xenia|LOC124451152, Xenia|LOC124451989, Xenia|LOC124451957, Xenia|LOC124456243, Xenia|LOC124451659, Xenia|LOC124451968, Xenia|LOC124451253, Xenia|LOC124451954, Xenia|LOC124451141, Xenia|LOC124451265, Xenia|LOC124451232, Xenia|LOC124451359, Xenia|LOC124451516, Xenia|LOC124451136, Xenia|LOC124451301, Xenia|LOC124451513, Xenia|LOC124450953, Xenia|LOC124451200, Xenia|LOC124451946, Xenia|LOC124451181, Xenia|LOC124451292, Xenia|LOC124451192, Xenia|LOC124450723, Xenia|LOC124451142, Xenia|LOC124450856, Xenia|LOC124451912, Xenia|LOC124450858, Xenia|LOC124451358, Xenia|LOC124450952, Xenia|LOC124451147, Xenia|LOC124451950, Xenia|LOC124451963, Xenia|LOC124450947, Xenia|LOC124443403, Xenia|LOC124450948, Xenia|LOC124451259, Xenia|LOC124451122, Xenia|LOC124456242, Xenia|LOC124450915, Xenia|LOC124450860, Xenia|LOC124450950, Xenia|LOC124456232, Xenia|LOC124451508, Xenia|LOC124456240, Xenia|LOC124439724, Xenia|LOC124450946, Xenia|LOC124450766, Xenia|LOC124450855, Xenia|LOC124451658, Xenia|LOC124451264, Xenia|LOC124451953, Xenia|LOC124450857, Xenia|LOC124450722	Nematostella|LOC116614438, Nematostella|LOC5499231
OG0000009	Xenia|LOC124451790	Nematostella|LOC5517136
