Orthogroup	longest_isoform_HydraProteins	longest_isoform_XeniaProteins
OG0000009	Hydra|LOC100208603	Xenia|LOC124451785, Xenia|LOC124450450, Xenia|LOC124450469, Xenia|LOC124450440, Xenia|LOC124450439, Xenia|LOC124452185, Xenia|LOC124452160, Xenia|LOC124452188, Xenia|LOC124452179, Xenia|LOC124452161, Xenia|LOC124452191, Xenia|LOC124452182, Xenia|LOC124451810, Xenia|LOC124452162
OG0000012	Hydra|LOC100209982	Xenia|LOC124433669, Xenia|LOC124439951, Xenia|LOC124433625, Xenia|LOC124441608, Xenia|LOC124456922, Xenia|LOC124459025, Xenia|LOC124448666, Xenia|LOC124453580, Xenia|LOC124439950
OG0000018	Hydra|LOC124817749, Hydra|LOC124817835, Hydra|LOC124817138, Hydra|LOC100205863	Xenia|LOC124443897, Xenia|LOC124436633
OG0000020	Hydra|LOC124807009	Xenia|LOC124458392
OG0000020	Hydra|LOC105844899, Hydra|LOC101241751, Hydra|LOC101236742, Hydra|LOC124811256, Hydra|LOC124815971, Hydra|LOC124815747, Hydra|LOC124816064, Hydra|LOC101236519	Xenia|LOC124459319, Xenia|LOC124445123, Xenia|LOC124456936, Xenia|LOC124449225
OG0000020	Hydra|LOC124812591, Hydra|LOC101238527, Hydra|LOC124808491, Hydra|LOC124808442, Hydra|LOC124807888, Hydra|LOC124808642, Hydra|LOC124813555, Hydra|LOC124812329, Hydra|LOC124811460, Hydra|LOC124812033, Hydra|LOC124812313, Hydra|LOC124813750, Hydra|LOC124815726, Hydra|LOC105850580, Hydra|LOC124816699, Hydra|LOC124817498, Hydra|LOC124818715, Hydra|LOC124818687, Hydra|LOC124805845, Hydra|LOC124807866, Hydra|LOC124817212, Hydra|LOC124806657, Hydra|LOC124818704, Hydra|LOC124817801, Hydra|LOC124810165, Hydra|LOC124807210, Hydra|LOC124811061, Hydra|LOC124811314, Hydra|LOC124817210, Hydra|LOC124809550, Hydra|LOC105845070	Xenia|LOC124451290, Xenia|LOC124452110, Xenia|LOC124455268, Xenia|LOC124456909
OG0000027	Hydra|LOC100211936	Xenia|LOC124452960, Xenia|LOC124445656
OG0000028	Hydra|LOC105850998, Hydra|LOC124806725, Hydra|LOC105844880, Hydra|LOC105845863, Hydra|LOC101241479, Hydra|LOC101237848, Hydra|LOC124816110, Hydra|LOC124816319, Hydra|LOC105843733, Hydra|LOC101235942, Hydra|LOC124813979, Hydra|LOC101240863, Hydra|LOC101239653, Hydra|LOC101236227, Hydra|LOC124812576	Xenia|LOC124449248, Xenia|LOC124449119, Xenia|LOC124452042, Xenia|LOC124452084
OG0000028	Hydra|LOC101241210, Hydra|LOC105846427	Xenia|LOC124441599, Xenia|LOC124435974, Xenia|LOC124439425
OG0000031	Hydra|LOC124808574, Hydra|LOC124812840, Hydra|LOC124817742, Hydra|LOC124813483, Hydra|LOC124809397, Hydra|LOC124807615, Hydra|LOC124816429, Hydra|LOC124808049, Hydra|LOC124808444, Hydra|LOC124812429, Hydra|LOC124813363	Xenia|LOC124445131, Xenia|LOC124451022, Xenia|LOC124448024, Xenia|LOC124436060, Xenia|LOC124438534
OG0000031	Hydra|LOC124815433, Hydra|LOC124817995, Hydra|LOC124808661, Hydra|LOC124807629, Hydra|LOC124818773, Hydra|LOC124814020, Hydra|LOC124818103, Hydra|LOC124806260, Hydra|LOC124814004, Hydra|LOC124809229, Hydra|LOC124805915, Hydra|LOC124816899	Xenia|LOC124443906, Xenia|LOC124457004
OG0000036	Hydra|LOC124813503, Hydra|LOC124817190	Xenia|LOC124437283, Xenia|LOC124457091
OG0000036	Hydra|LOC105846812	Xenia|LOC124434350, Xenia|LOC124448385
OG0000038	Hydra|LOC105849896, Hydra|LOC101236124, Hydra|LOC101241209, Hydra|LOC105849797, Hydra|LOC101241798, Hydra|LOC101238699, Hydra|LOC101240221, Hydra|LOC105843656, Hydra|LOC101239129, Hydra|LOC101236254, Hydra|LOC101239770, Hydra|LOC124808611, Hydra|LOC101235500, Hydra|LOC101235687, Hydra|LOC101239603, Hydra|LOC101238386, Hydra|LOC124815232, Hydra|LOC124813908, Hydra|LOC124817248, Hydra|LOC101238402, Hydra|LOC101237398, Hydra|LOC101235608, Hydra|LOC100212569, Hydra|LOC101235699, Hydra|LOC124807571	Xenia|LOC124452018
OG0000038	Hydra|LOC124814090, Hydra|LOC105848381, Hydra|LOC101241082, Hydra|LOC101241263, Hydra|LOC100214858, Hydra|LOC124808555, Hydra|LOC124814273, Hydra|LOC124814975, Hydra|LOC101235339	Xenia|LOC124457082, Xenia|LOC124452064, Xenia|LOC124449046
OG0000049	Hydra|LOC124815975	Xenia|LOC124438617
OG0000049	Hydra|LOC124811230	Xenia|LOC124445124
OG0000049	Hydra|LOC101239839, Hydra|LOC100203231, Hydra|LOC101235926, Hydra|LOC124808567, Hydra|LOC105851025, Hydra|LOC124816125, Hydra|LOC101238960	Xenia|LOC124457685, Xenia|LOC124456074, Xenia|LOC124455470, Xenia|LOC124448176, Xenia|LOC124456087, Xenia|LOC124436003, Xenia|LOC124440438, Xenia|LOC124443422, Xenia|LOC124452226, Xenia|LOC124438371, Xenia|LOC124451980
OG0000050	Hydra|LOC124811434, Hydra|LOC101237371, Hydra|LOC124810861, Hydra|LOC124814340, Hydra|LOC101241515, Hydra|LOC105851030, Hydra|LOC124812318, Hydra|LOC124819165, Hydra|LOC124816028, Hydra|LOC101240057, Hydra|LOC101235303, Hydra|LOC105846491, Hydra|LOC101236144, Hydra|LOC124819177, Hydra|LOC124813759, Hydra|LOC101238994, Hydra|LOC101235643, Hydra|LOC105849119, Hydra|LOC100201776, Hydra|LOC101241427, Hydra|LOC105846680, Hydra|LOC124811353, Hydra|LOC124816740, Hydra|LOC124806216	Xenia|LOC124455472, Xenia|LOC124451186, Xenia|LOC124456881, Xenia|LOC124454220, Xenia|LOC124455241, Xenia|LOC124455845, Xenia|LOC124449064, Xenia|LOC124457281, Xenia|LOC124457535, Xenia|LOC124449234, Xenia|LOC124449008, Xenia|LOC124439434, Xenia|LOC124456763, Xenia|LOC124454013, Xenia|LOC124452526
OG0000056	Hydra|LOC100212279, Hydra|LOC105850026, Hydra|LOC105843886, Hydra|LOC105843885, Hydra|LOC100199100, Hydra|LOC100215485, Hydra|LOC100202932, Hydra|LOC100203996, Hydra|LOC100215883, Hydra|LOC124817534, Hydra|LOC100210439, Hydra|LOC105850171	Xenia|LOC124443759, Xenia|LOC124444697, Xenia|LOC124443940, Xenia|LOC124444793, Xenia|LOC124444794, Xenia|LOC124444698, Xenia|LOC124444796, Xenia|LOC124444699, Xenia|LOC124450666, Xenia|LOC124444518, Xenia|LOC124448436, Xenia|LOC124448362, Xenia|LOC124448803, Xenia|LOC124449424, Xenia|LOC124449519, Xenia|LOC124449572
OG0000057	Hydra|LOC100211639, Hydra|LOC100204569	Xenia|LOC124446315, Xenia|LOC124440454, Xenia|LOC124439770, Xenia|LOC124439767, Xenia|LOC124439766, Xenia|LOC124440447, Xenia|LOC124439768, Xenia|LOC124440456, Xenia|LOC124455175, Xenia|LOC124440449, Xenia|LOC124440453, Xenia|LOC124439771
OG0000057	Hydra|LOC105844836, Hydra|LOC101240655	Xenia|LOC124439764
OG0000058	Hydra|LOC100215040, Hydra|LOC100208283	Xenia|LOC124440541
OG0000061	Hydra|LOC124816266, Hydra|LOC105846645, Hydra|LOC105849336, Hydra|LOC124812459, Hydra|LOC124806759	Xenia|LOC124449198
OG0000062	Hydra|LOC100200513, Hydra|LOC124810045, Hydra|LOC124810044	Xenia|LOC124436742
OG0000062	Hydra|LOC124810091, Hydra|LOC124810059, Hydra|LOC124810130, Hydra|LOC124810131	Xenia|LOC124443616
OG0000064	Hydra|LOC100198758	Xenia|LOC124438084, Xenia|LOC124438083, Xenia|LOC124438085, Xenia|LOC124438591
OG0000064	Hydra|LOC101238122	Xenia|LOC124433327, Xenia|LOC124439612
OG0000068	Hydra|LOC124810957	Xenia|LOC124456995
OG0000068	Hydra|LOC100215418, Hydra|LOC100196982, Hydra|LOC100213936, Hydra|LOC124806744, Hydra|LOC105845489, Hydra|LOC124812682, Hydra|LOC101239569	Xenia|LOC124441590, Xenia|LOC124458389
OG0000068	Hydra|LOC101238743, Hydra|LOC100210042, Hydra|LOC100197499, Hydra|LOC124814009, Hydra|LOC124818273, Hydra|LOC100210706, Hydra|LOC101235270, Hydra|LOC124809659, Hydra|LOC124814249, Hydra|LOC100206035, Hydra|LOC100211276	Xenia|LOC124456976, Xenia|LOC124456873, Xenia|LOC124451655, Xenia|LOC124439046, Xenia|LOC124456923, Xenia|LOC124457563, Xenia|LOC124436586, Xenia|LOC124449227
OG0000070	Hydra|LOC100199035, Hydra|LOC100208692, Hydra|LOC100208013, Hydra|LOC101236318, Hydra|LOC100209933, Hydra|LOC100214511, Hydra|LOC100210485, Hydra|LOC100213639, Hydra|LOC100202831, Hydra|LOC100205467	Xenia|LOC124433854, Xenia|LOC124433853, Xenia|LOC124433852, Xenia|LOC124433855, Xenia|LOC124458321, Xenia|LOC124436250, Xenia|LOC124444824
OG0000071	Hydra|LOC101238762, Hydra|LOC100203937, Hydra|LOC100197148, Hydra|LOC105847586, Hydra|LOC100214107, Hydra|LOC100208450, Hydra|LOC100213839, Hydra|LOC100207051, Hydra|LOC105843386, Hydra|LOC105847748, Hydra|LOC100205608, Hydra|LOC100197328, Hydra|LOC101236989, Hydra|LOC100210397, Hydra|LOC100199090, Hydra|LOC101237406, Hydra|LOC105848477, Hydra|LOC100203405, Hydra|LOC105844737, Hydra|LOC101238025, Hydra|LOC105849732, Hydra|LOC105847520, Hydra|LOC105844194, Hydra|LOC105844851, Hydra|LOC124807279, Hydra|LOC105846743, Hydra|LOC105847007, Hydra|LOC124807548, Hydra|LOC105846130, Hydra|LOC100210254, Hydra|LOC124807298, Hydra|LOC124807041, Hydra|LOC124806850, Hydra|LOC124807047, Hydra|LOC105847441, Hydra|LOC105847694, Hydra|LOC124815391	Xenia|LOC124449577
OG0000072	Hydra|LOC105843185	Xenia|LOC124435903
OG0000076	Hydra|LOC100204469	Xenia|LOC124435646, Xenia|LOC124447619, Xenia|LOC124439890, Xenia|LOC124456527
OG0000079	Hydra|LOC124816381	Xenia|LOC124443324, Xenia|LOC124452133, Xenia|LOC124435990, Xenia|LOC124436069, Xenia|LOC124443369
OG0000087	Hydra|LOC124814947	Xenia|LOC124455821, Xenia|LOC124459302, Xenia|LOC124439018, Xenia|LOC124457307, Xenia|LOC124437940, Xenia|LOC124453992, Xenia|LOC124452231, Xenia|LOC124456595, Xenia|LOC124459301, Xenia|LOC124438761, Xenia|LOC124444598, Xenia|LOC124438553, Xenia|LOC124448020, Xenia|LOC124445097, Xenia|LOC124436026, Xenia|LOC124437950, Xenia|LOC124453987, Xenia|LOC124454958, Xenia|LOC124452132, Xenia|LOC124443325, Xenia|LOC124455323, Xenia|LOC124441569, Xenia|LOC124444597, Xenia|LOC124438560, Xenia|LOC124449265, Xenia|LOC124438763, Xenia|LOC124456442
OG0000095	Hydra|LOC124817479, Hydra|LOC101234480, Hydra|LOC124805861	Xenia|LOC124450728, Xenia|LOC124457390, Xenia|LOC124455245, Xenia|LOC124449024, Xenia|LOC124443245, Xenia|LOC124450359, Xenia|LOC124444760, Xenia|LOC124435114, Xenia|LOC124452218, Xenia|LOC124443936, Xenia|LOC124436205, Xenia|LOC124454484, Xenia|LOC124435916, Xenia|LOC124436006, Xenia|LOC124444569, Xenia|LOC124449199
OG0000096	Hydra|LOC124818887, Hydra|LOC105843766, Hydra|LOC101240372, Hydra|LOC124818689	Xenia|LOC124456944, Xenia|LOC124454159, Xenia|LOC124441059, Xenia|LOC124457185, Xenia|LOC124439057, Xenia|LOC124454210, Xenia|LOC124457404, Xenia|LOC124456663
OG0000097	Hydra|LOC101235243, Hydra|LOC100197458, Hydra|LOC105843824, Hydra|LOC100204018, Hydra|LOC100199462, Hydra|LOC100205528, Hydra|LOC124813588, Hydra|LOC124813587, Hydra|LOC100202946, Hydra|LOC124813591, Hydra|LOC100199246, Hydra|LOC100211336, Hydra|LOC124813270, Hydra|LOC124813271, Hydra|LOC124813272, Hydra|LOC124813273, Hydra|LOC124808990, Hydra|LOC100200369, Hydra|LOC124808989, Hydra|LOC124808835, Hydra|LOC100214931, Hydra|LOC100211409	Xenia|LOC124443063, Xenia|LOC124441449
OG0000098	Hydra|LOC105845680, Hydra|LOC101240782	Xenia|LOC124454389
OG0000098	Hydra|LOC124816076	Xenia|LOC124438630, Xenia|LOC124444567, Xenia|LOC124446256
OG0000099	Hydra|LOC100198789, Hydra|LOC100208992, Hydra|LOC124807958, Hydra|LOC101234986, Hydra|LOC100200794, Hydra|LOC101238906, Hydra|LOC100205679, Hydra|LOC124816533, Hydra|LOC105845703, Hydra|LOC105850458, Hydra|LOC124809446, Hydra|LOC105849325	Xenia|LOC124446856, Xenia|LOC124446857, Xenia|LOC124446859
OG0000101	Hydra|LOC105847405, Hydra|LOC124807874, Hydra|LOC100202594, Hydra|LOC105849163, Hydra|LOC105850477, Hydra|LOC105849833, Hydra|LOC100202526, Hydra|LOC105846394, Hydra|LOC100200487, Hydra|LOC100205967, Hydra|LOC105847111, Hydra|LOC105847937, Hydra|LOC100197853, Hydra|LOC105850058, Hydra|LOC105847567, Hydra|LOC124817013, Hydra|LOC124808112, Hydra|LOC100211975, Hydra|LOC105847963	Xenia|LOC124454937, Xenia|LOC124454944, Xenia|LOC124454954, Xenia|LOC124454951, Xenia|LOC124454935, Xenia|LOC124454087, Xenia|LOC124454085, Xenia|LOC124455045
OG0000102	Hydra|LOC124813859, Hydra|LOC100197460	Xenia|LOC124450247, Xenia|LOC124450249, Xenia|LOC124452298, Xenia|LOC124450258, Xenia|LOC124450253, Xenia|LOC124450248, Xenia|LOC124450257, Xenia|LOC124452296, Xenia|LOC124450245, Xenia|LOC124440688, Xenia|LOC124450251, Xenia|LOC124450254, Xenia|LOC124450250, Xenia|LOC124450256, Xenia|LOC124452293, Xenia|LOC124452295, Xenia|LOC124452297
OG0000114	Hydra|LOC124809990, Hydra|LOC124807036, Hydra|LOC124819117, Hydra|LOC124817223, Hydra|LOC124815623	Xenia|LOC124438268, Xenia|LOC124438269, Xenia|LOC124438270, Xenia|LOC124438271, Xenia|LOC124456509, Xenia|LOC124438267, Xenia|LOC124444052, Xenia|LOC124438274, Xenia|LOC124438273, Xenia|LOC124439413, Xenia|LOC124438272, Xenia|LOC124440523, Xenia|LOC124439412, Xenia|LOC124438266, Xenia|LOC124439414, Xenia|LOC124456511, Xenia|LOC124453189, Xenia|LOC124449527, Xenia|LOC124435915, Xenia|LOC124452043
OG0000119	Hydra|LOC101241120	Xenia|LOC124459322, Xenia|LOC124441500, Xenia|LOC124445828, Xenia|LOC124441499, Xenia|LOC124455148, Xenia|LOC124441495, Xenia|LOC124441572, Xenia|LOC124441564, Xenia|LOC124441504, Xenia|LOC124441568, Xenia|LOC124441570, Xenia|LOC124441575, Xenia|LOC124441573, Xenia|LOC124441565, Xenia|LOC124455218, Xenia|LOC124438501, Xenia|LOC124457024, Xenia|LOC124457030, Xenia|LOC124457266, Xenia|LOC124441502, Xenia|LOC124459293, Xenia|LOC124459256, Xenia|LOC124459255, Xenia|LOC124453884, Xenia|LOC124441501
OG0000121	Hydra|LOC100202816, Hydra|LOC100205025, Hydra|LOC100209153	Xenia|LOC124446930, Xenia|LOC124445222, Xenia|LOC124445246, Xenia|LOC124445219, Xenia|LOC124447350, Xenia|LOC124445241, Xenia|LOC124447212, Xenia|LOC124446301, Xenia|LOC124446303, Xenia|LOC124447359, Xenia|LOC124445236, Xenia|LOC124447211, Xenia|LOC124435795, Xenia|LOC124445254, Xenia|LOC124445235, Xenia|LOC124445253, Xenia|LOC124445218, Xenia|LOC124445247, Xenia|LOC124447358, Xenia|LOC124447352, Xenia|LOC124445200
OG0000122	Hydra|LOC105844545, Hydra|LOC101235663	Xenia|LOC124456130
OG0000122	Hydra|LOC124806064, Hydra|LOC101237068	Xenia|LOC124439451
OG0000135	Hydra|LOC105843177	Xenia|LOC124451023, Xenia|LOC124450989, Xenia|LOC124433263
OG0000138	Hydra|LOC124818227, Hydra|LOC124810394, Hydra|LOC124816785	Xenia|LOC124457221, Xenia|LOC124455219
OG0000139	Hydra|LOC101234992, Hydra|LOC105846869	Xenia|LOC124439424, Xenia|LOC124456062, Xenia|LOC124455378
OG0000140	Hydra|LOC105846240	Xenia|LOC124448820, Xenia|LOC124448168, Xenia|LOC124440981, Xenia|LOC124440890, Xenia|LOC124457319, Xenia|LOC124457249, Xenia|LOC124447726, Xenia|LOC124448195, Xenia|LOC124459019, Xenia|LOC124456688, Xenia|LOC124456687, Xenia|LOC124457245, Xenia|LOC124448191, Xenia|LOC124448018, Xenia|LOC124456432, Xenia|LOC124456713, Xenia|LOC124457248, Xenia|LOC124457942, Xenia|LOC124457603, Xenia|LOC124457255, Xenia|LOC124448144, Xenia|LOC124448032, Xenia|LOC124456716, Xenia|LOC124457899, Xenia|LOC124448821, Xenia|LOC124448145, Xenia|LOC124448819, Xenia|LOC124448183, Xenia|LOC124448855, Xenia|LOC124448139
OG0000149	Hydra|LOC100206107	Xenia|LOC124457306
OG0000149	Hydra|LOC124805805, Hydra|LOC124810124, Hydra|LOC124810126, Hydra|LOC124810051, Hydra|LOC124810053, Hydra|LOC124810052, Hydra|LOC100204347, Hydra|LOC124810085, Hydra|LOC124810102, Hydra|LOC124810086, Hydra|LOC124810041	Xenia|LOC124445036, Xenia|LOC124445279
OG0000150	Hydra|LOC101239443, Hydra|LOC124814296	Xenia|LOC124435136, Xenia|LOC124457159, Xenia|LOC124435981, Xenia|LOC124440422, Xenia|LOC124457336, Xenia|LOC124438683, Xenia|LOC124449302, Xenia|LOC124443488, Xenia|LOC124447401, Xenia|LOC124457005, Xenia|LOC124441793, Xenia|LOC124437164
OG0000150	Hydra|LOC124806269, Hydra|LOC124818100, Hydra|LOC124814303, Hydra|LOC101238494, Hydra|LOC100197154, Hydra|LOC101235304	Xenia|LOC124435935, Xenia|LOC124456887, Xenia|LOC124440717, Xenia|LOC124456341, Xenia|LOC124440388
OG0000154	Hydra|LOC100214713	Xenia|LOC124444495, Xenia|LOC124451487, Xenia|LOC124454759
OG0000158	Hydra|LOC124817025, Hydra|LOC124813134	Xenia|LOC124457296, Xenia|LOC124451123
OG0000171	Hydra|LOC100209148, Hydra|LOC100207461	Xenia|LOC124438439, Xenia|LOC124439058, Xenia|LOC124438437
OG0000171	Hydra|LOC101240094	Xenia|LOC124441709
