Orthogroup	longest_isoform_HydraProteins	longest_isoform_ClytiaProteins
OG0000011	Hydra|LOC105844927, Hydra|LOC124811300	Clytia|LOC_021186, Clytia|LOC_021182, Clytia|LOC_043323, Clytia|LOC_020453, Clytia|LOC_013439, Clytia|LOC_030810, Clytia|LOC_003825
OG0000011	Hydra|LOC124811272	Clytia|LOC_017556, Clytia|LOC_017552, Clytia|LOC_006563, Clytia|LOC_045657, Clytia|LOC_020754
OG0000011	Hydra|LOC124812758, Hydra|LOC124810370	Clytia|LOC_038723, Clytia|LOC_000148
OG0000012	Hydra|LOC100209982	Clytia|LOC_038611
OG0000020	Hydra|LOC124807009, Hydra|LOC105844899, Hydra|LOC101241751, Hydra|LOC101236742, Hydra|LOC124811256, Hydra|LOC124815971, Hydra|LOC124815747, Hydra|LOC124816064, Hydra|LOC101236519, Hydra|LOC124812591, Hydra|LOC101238527, Hydra|LOC124808491, Hydra|LOC124808442, Hydra|LOC124807888, Hydra|LOC124808642, Hydra|LOC124813555, Hydra|LOC124812329, Hydra|LOC124811460, Hydra|LOC124812033, Hydra|LOC124812313, Hydra|LOC124813750, Hydra|LOC124815726, Hydra|LOC105850580, Hydra|LOC124816699, Hydra|LOC124817498, Hydra|LOC124818715, Hydra|LOC124818687, Hydra|LOC124805845, Hydra|LOC124807866, Hydra|LOC124817212, Hydra|LOC124806657, Hydra|LOC124818704, Hydra|LOC124817801, Hydra|LOC124810165, Hydra|LOC124807210, Hydra|LOC124811061, Hydra|LOC124811314, Hydra|LOC124817210, Hydra|LOC124809550, Hydra|LOC105845070, Hydra|LOC124815025, Hydra|LOC101239897, Hydra|LOC101236849, Hydra|LOC101241493, Hydra|LOC101240624, Hydra|LOC124816109, Hydra|LOC124818161, Hydra|LOC101237543, Hydra|LOC124817211, Hydra|LOC124818620	Clytia|LOC_018745
OG0000023	Hydra|LOC124808474, Hydra|LOC124818207, Hydra|LOC124809564	Clytia|LOC_026260, Clytia|LOC_018905
OG0000023	Hydra|LOC101234454	Clytia|LOC_023405, Clytia|LOC_004420, Clytia|LOC_023007, Clytia|LOC_001375
OG0000023	Hydra|LOC124812605	Clytia|LOC_019292, Clytia|LOC_005691, Clytia|LOC_039584, Clytia|LOC_027110, Clytia|LOC_008436, Clytia|LOC_045561, Clytia|LOC_036249
OG0000023	Hydra|LOC124814939	Clytia|LOC_043036, Clytia|LOC_015151
OG0000027	Hydra|LOC124810129, Hydra|LOC100212410, Hydra|LOC124810104, Hydra|LOC124810089, Hydra|LOC124810057, Hydra|LOC124810056, Hydra|LOC124810043, Hydra|LOC100212003, Hydra|LOC124810090	Clytia|LOC_036708
OG0000027	Hydra|LOC100211936	Clytia|LOC_040069
OG0000028	Hydra|LOC101234307, Hydra|LOC105847208, Hydra|LOC101237730, Hydra|LOC101235978, Hydra|LOC101235939, Hydra|LOC101234584, Hydra|LOC101237928, Hydra|LOC105850998, Hydra|LOC124806725, Hydra|LOC105844880, Hydra|LOC105845863, Hydra|LOC101241479, Hydra|LOC101237848, Hydra|LOC124816110, Hydra|LOC124816319, Hydra|LOC105843733, Hydra|LOC101235942, Hydra|LOC124813979, Hydra|LOC101240863, Hydra|LOC101239653, Hydra|LOC101236227, Hydra|LOC124812576	Clytia|LOC_014132
OG0000031	Hydra|LOC124808574, Hydra|LOC124812840, Hydra|LOC124817742, Hydra|LOC124813483	Clytia|LOC_017475
OG0000031	Hydra|LOC124809397, Hydra|LOC124807615, Hydra|LOC124816429, Hydra|LOC124808049, Hydra|LOC124808444, Hydra|LOC124812429, Hydra|LOC124813363	Clytia|LOC_026151
OG0000031	Hydra|LOC124815433, Hydra|LOC124817995, Hydra|LOC124808661, Hydra|LOC124807629, Hydra|LOC124818773, Hydra|LOC124814020, Hydra|LOC124818103, Hydra|LOC124806260, Hydra|LOC124814004, Hydra|LOC124809229, Hydra|LOC124805915, Hydra|LOC124816899	Clytia|LOC_040162
OG0000036	Hydra|LOC124813503, Hydra|LOC124817190	Clytia|LOC_027032, Clytia|LOC_000262
OG0000036	Hydra|LOC105846812	Clytia|LOC_025146, Clytia|LOC_023340, Clytia|LOC_025944, Clytia|LOC_034307
OG0000037	Hydra|LOC101237397	Clytia|LOC_012800
