qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
ATP6	Hydractinia|LOC130626424	29.064	85	233	219	203	82.0	4.61e-19
ATP8	Hydractinia|LOC130644871	44.0	37	68	637	25	28.5	0.23
COX2	Hydractinia|LOC130646303	36.765	24	251	1142	68	30.0	1.5
COX3	Hydractinia|LOC130636107	23.529	44	261	1946	119	30.4	1.3
Hydra|LOC100192226	Hydractinia|LOC130654071	63.065	99	507	610	509	680.0	0.0
Hydra|LOC100192227	Hydractinia|LOC130612702	58.714	100	924	941	964	1017.0	0.0
Hydra|LOC100192229	Hydractinia|LOC130662437	44.069	99	1040	1085	1096	872.0	0.0
Hydra|LOC100192230	Hydractinia|LOC130647702	62.31	100	640	635	658	704.0	0.0
Hydra|LOC100192231	Hydractinia|LOC130654097	54.701	70	619	786	351	350.0	5.42e-111
Hydra|LOC100192232	Hydractinia|LOC130625148	30.435	69	137	441	115	28.5	1.2
Hydra|LOC100192236	Hydractinia|LOC130629796	48.963	92	248	235	241	189.0	3.5e-60
Hydra|LOC100192237	Hydractinia|LOC130644355	47.576	100	309	324	330	219.0	5.1300000000000006e-70
Hydra|LOC100192239	Hydractinia|LOC130629908	75.455	66	815	792	550	854.0	0.0
Hydra|LOC100192244	Hydractinia|LOC130657388	62.342	98	315	411	316	340.0	4.9000000000000003e-116
Hydra|LOC100192245	Hydractinia|LOC130641220	78.173	87	226	272	197	339.0	3.9199999999999997e-119
Hydra|LOC100192246	Hydractinia|LOC130614743	30.159	32	196	981	63	30.4	0.6
Hydra|LOC100192247	Hydractinia|LOC130645311	44.118	89	567	560	510	434.0	1.01e-146
Hydra|LOC100192249	Hydractinia|LOC130630248	56.849	100	582	564	584	693.0	0.0
Hydra|LOC100192250	Hydractinia|LOC130630664	44.398	99	945	971	964	846.0	0.0
Hydra|LOC100192251	Hydractinia|LOC130612901	55.982	92	470	713	443	477.0	3.3800000000000006e-163
Hydra|LOC100192252	Hydractinia|LOC130612901	55.556	92	471	713	441	474.0	5.67e-162
Hydra|LOC100192253	Hydractinia|LOC130653975	62.428	25	695	706	173	84.3	7.95e-17
Hydra|LOC100192254	Hydractinia|LOC130614674	34.091	32	137	282	44	30.4	0.23
Hydra|LOC100192256	Hydractinia|LOC130642360	36.264	73	124	164	91	47.4	1.34e-07
Hydra|LOC100192258	Hydractinia|LOC130642428	31.579	77	149	151	114	79.0	1.95e-19
Hydra|LOC100192259	Hydractinia|LOC130644323	57.513	95	587	587	579	687.0	0.0
Hydra|LOC100192260	Hydractinia|LOC130645394	62.552	100	470	480	478	640.0	0.0
Hydra|LOC100192262	Hydractinia|LOC130613794	61.962	92	445	472	418	552.0	0.0
Hydra|LOC100192263	Hydractinia|LOC130613174	81.982	78	284	293	222	379.0	2.82e-133
Hydra|LOC100192266	Hydractinia|LOC130655442	88.172	97	192	192	186	337.0	6.68e-120
Hydra|LOC100192268	Hydractinia|LOC130622711	26.645	92	317	2736	304	85.1	3.31e-18
Hydra|LOC100192269	Hydractinia|LOC130655591	61.998	99	1120	1187	1171	1373.0	0.0
Hydra|LOC100192272	Hydractinia|LOC130657321	30.303	32	295	268	99	33.1	0.13
Hydra|LOC100192273	Hydractinia|LOC130657321	33.0	33	289	268	100	31.6	0.39
Hydra|LOC100192274	Hydractinia|LOC130636501	40.659	89	93	97	91	62.0	3.21e-14
