Orthogroup	longest_isoform_HydraProteins	longest_isoform_HydractiniaProteins
OG0000000	Hydra|LOC124810412, Hydra|LOC124805970, Hydra|LOC124810586, Hydra|LOC105846147, Hydra|LOC124816814, Hydra|LOC105844490, Hydra|LOC101240943, Hydra|LOC124810580, Hydra|LOC100202587, Hydra|LOC105849729, Hydra|LOC101238250, Hydra|LOC100202063, Hydra|LOC124810480, Hydra|LOC124809509, Hydra|LOC105847329, Hydra|LOC105844716, Hydra|LOC101239684, Hydra|LOC105848498, Hydra|LOC100206731, Hydra|LOC105848530, Hydra|LOC124810410, Hydra|LOC124809524, Hydra|LOC105845186, Hydra|LOC105848612, Hydra|LOC105847355, Hydra|LOC124806751, Hydra|LOC124810503, Hydra|LOC124810401, Hydra|LOC105848999, Hydra|LOC124810390, Hydra|LOC124810463, Hydra|LOC124810486, Hydra|LOC124809521, Hydra|LOC124810438, Hydra|LOC124810386, Hydra|LOC124810010, Hydra|LOC124810402, Hydra|LOC124810384, Hydra|LOC105847766, Hydra|LOC105848161, Hydra|LOC105847041, Hydra|LOC124810476, Hydra|LOC124810385, Hydra|LOC105845603, Hydra|LOC124810458, Hydra|LOC124810447, Hydra|LOC124810454, Hydra|LOC124810428, Hydra|LOC105849563, Hydra|LOC100207997, Hydra|LOC124810453, Hydra|LOC124809500, Hydra|LOC105850571, Hydra|LOC124810460, Hydra|LOC124815320, Hydra|LOC105845025, Hydra|LOC105846323, Hydra|LOC124807183, Hydra|LOC101236297, Hydra|LOC124812493, Hydra|LOC124812037, Hydra|LOC124812045, Hydra|LOC105846627, Hydra|LOC101236451, Hydra|LOC124812024, Hydra|LOC124812022, Hydra|LOC124812029, Hydra|LOC105848821, Hydra|LOC100200899, Hydra|LOC101239865, Hydra|LOC124812086, Hydra|LOC124812053, Hydra|LOC105847273, Hydra|LOC124812073, Hydra|LOC105848557, Hydra|LOC124810469, Hydra|LOC124812043, Hydra|LOC124812039, Hydra|LOC124812004, Hydra|LOC105849313, Hydra|LOC124810413, Hydra|LOC124810400, Hydra|LOC124812034, Hydra|LOC101236445, Hydra|LOC105845910, Hydra|LOC100210534, Hydra|LOC124812051, Hydra|LOC105850284, Hydra|LOC105846576, Hydra|LOC105846750, Hydra|LOC105848756, Hydra|LOC100206106, Hydra|LOC100205866, Hydra|LOC101240976, Hydra|LOC100213079, Hydra|LOC124810539, Hydra|LOC105844832, Hydra|LOC105845046, Hydra|LOC124810095, Hydra|LOC105844116, Hydra|LOC101239057, Hydra|LOC124812507, Hydra|LOC124812087, Hydra|LOC105846485, Hydra|LOC101241618, Hydra|LOC124809570, Hydra|LOC100202539, Hydra|LOC124810436, Hydra|LOC105849483, Hydra|LOC105845953, Hydra|LOC124805909, Hydra|LOC100212684, Hydra|LOC105849428, Hydra|LOC105850100, Hydra|LOC105849407, Hydra|LOC124809857, Hydra|LOC105848095, Hydra|LOC124810562, Hydra|LOC124810592, Hydra|LOC124810530, Hydra|LOC101240521, Hydra|LOC124810574, Hydra|LOC124810557, Hydra|LOC124810567, Hydra|LOC124810566, Hydra|LOC124810548, Hydra|LOC124810422, Hydra|LOC124810606, Hydra|LOC124810579, Hydra|LOC124810585, Hydra|LOC105848938, Hydra|LOC124810575, Hydra|LOC124810604, Hydra|LOC124810613, Hydra|LOC124810553, Hydra|LOC124810609, Hydra|LOC124810549, Hydra|LOC100208814, Hydra|LOC124810550, Hydra|LOC124809574, Hydra|LOC105847367, Hydra|LOC105848653, Hydra|LOC105844811, Hydra|LOC105847315, Hydra|LOC124808072, Hydra|LOC124810588, Hydra|LOC105849999, Hydra|LOC124810540, Hydra|LOC124818354, Hydra|LOC105844735, Hydra|LOC105848789, Hydra|LOC105847885, Hydra|LOC100214059, Hydra|LOC105846051, Hydra|LOC105843164, Hydra|LOC124810599, Hydra|LOC124810571, Hydra|LOC100207755, Hydra|LOC105846136, Hydra|LOC100213981, Hydra|LOC105846002, Hydra|LOC105845495, Hydra|LOC124810590, Hydra|LOC124810581, Hydra|LOC105847459, Hydra|LOC124816923, Hydra|LOC105847691, Hydra|LOC124810470, Hydra|LOC124809089, Hydra|LOC124810607, Hydra|LOC100208533, Hydra|LOC124809590, Hydra|LOC105848783, Hydra|LOC124816106, Hydra|LOC124815492, Hydra|LOC124815202, Hydra|LOC105849374, Hydra|LOC105844117, Hydra|LOC101237642, Hydra|LOC105848505, Hydra|LOC105848542, Hydra|LOC124810573, Hydra|LOC124809576, Hydra|LOC124810556, Hydra|LOC105850509, Hydra|LOC124810561, Hydra|LOC124810619, Hydra|LOC105845779, Hydra|LOC124809578, Hydra|LOC105848306, Hydra|LOC105844812, Hydra|LOC105844689, Hydra|LOC124814829, Hydra|LOC105848254, Hydra|LOC100201479, Hydra|LOC124818979, Hydra|LOC105847098, Hydra|LOC105847216	Hydractinia|LOC130622632
OG0000009	Hydra|LOC100208603	Hydractinia|LOC130654592
OG0000011	Hydra|LOC124811272	Hydractinia|LOC130636928
OG0000011	Hydra|LOC124812758, Hydra|LOC124810370	Hydractinia|LOC130630139
OG0000018	Hydra|LOC124817749, Hydra|LOC124817835, Hydra|LOC124817138, Hydra|LOC100205863	Hydractinia|LOC130657164, Hydractinia|LOC130657487, Hydractinia|LOC130657693, Hydractinia|LOC130657915, Hydractinia|LOC130656323, Hydractinia|LOC130657692, Hydractinia|LOC130656427, Hydractinia|LOC130656187, Hydractinia|LOC130657146, Hydractinia|LOC130657075, Hydractinia|LOC130657143, Hydractinia|LOC130657071, Hydractinia|LOC130657407, Hydractinia|LOC130657293, Hydractinia|LOC130656728, Hydractinia|LOC130657433, Hydractinia|LOC130656888, Hydractinia|LOC130656170, Hydractinia|LOC130657335, Hydractinia|LOC130656480, Hydractinia|LOC130657697, Hydractinia|LOC130656171, Hydractinia|LOC130657585, Hydractinia|LOC130657506, Hydractinia|LOC130657577, Hydractinia|LOC130657295, Hydractinia|LOC130657315, Hydractinia|LOC130657412, Hydractinia|LOC130657285, Hydractinia|LOC130656950, Hydractinia|LOC130657372, Hydractinia|LOC130657760, Hydractinia|LOC130657103, Hydractinia|LOC130657104, Hydractinia|LOC130657105, Hydractinia|LOC130657106, Hydractinia|LOC130657134, Hydractinia|LOC130657133, Hydractinia|LOC130657132, Hydractinia|LOC130657131, Hydractinia|LOC130657130, Hydractinia|LOC130657987, Hydractinia|LOC130657371, Hydractinia|LOC130657127, Hydractinia|LOC130657099, Hydractinia|LOC130657108, Hydractinia|LOC130657102, Hydractinia|LOC130657128, Hydractinia|LOC130657126, Hydractinia|LOC130657125, Hydractinia|LOC130656326, Hydractinia|LOC130656958, Hydractinia|LOC130656957, Hydractinia|LOC130656959
OG0000020	Hydra|LOC124812591, Hydra|LOC101238527, Hydra|LOC124808491	Hydractinia|LOC130622430
OG0000020	Hydra|LOC124808442, Hydra|LOC124807888, Hydra|LOC124808642, Hydra|LOC124813555, Hydra|LOC124812329, Hydra|LOC124811460, Hydra|LOC124812033, Hydra|LOC124812313, Hydra|LOC124813750, Hydra|LOC124815726, Hydra|LOC105850580, Hydra|LOC124816699, Hydra|LOC124817498, Hydra|LOC124818715, Hydra|LOC124818687, Hydra|LOC124805845, Hydra|LOC124807866, Hydra|LOC124817212, Hydra|LOC124806657, Hydra|LOC124818704, Hydra|LOC124817801, Hydra|LOC124810165, Hydra|LOC124807210, Hydra|LOC124811061, Hydra|LOC124811314, Hydra|LOC124817210, Hydra|LOC124809550, Hydra|LOC105845070	Hydractinia|LOC130623146, Hydractinia|LOC130624315, Hydractinia|LOC130625237, Hydractinia|LOC130647226, Hydractinia|LOC130623217, Hydractinia|LOC130624316
OG0000020	Hydra|LOC124815025, Hydra|LOC101239897, Hydra|LOC101236849, Hydra|LOC101241493, Hydra|LOC101240624, Hydra|LOC124816109, Hydra|LOC124818161, Hydra|LOC101237543	Hydractinia|LOC130647998, Hydractinia|LOC130625199, Hydractinia|LOC130646103
OG0000027	Hydra|LOC124810129, Hydra|LOC100212410, Hydra|LOC124810104, Hydra|LOC124810089, Hydra|LOC124810057, Hydra|LOC124810056, Hydra|LOC124810043, Hydra|LOC100212003, Hydra|LOC124810090	Hydractinia|LOC130657762, Hydractinia|LOC130657574, Hydractinia|LOC130657552, Hydractinia|LOC130656680, Hydractinia|LOC130656681, Hydractinia|LOC130657521, Hydractinia|LOC130657475, Hydractinia|LOC130657473, Hydractinia|LOC130657472, Hydractinia|LOC130656679, Hydractinia|LOC130657463, Hydractinia|LOC130622882
OG0000027	Hydra|LOC100211936	Hydractinia|LOC130654630
