qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
Nematostella|LOC116601119	Hydractinia|LOC130647096	48.235	72	469	731	340	333.0	6.53e-107
Nematostella|LOC116601121	Hydractinia|LOC130628613	25.0	38	339	2156	136	33.5	0.22
Nematostella|LOC116601122	Hydractinia|LOC130613127	59.375	80	92	188	64	73.9	5.87e-18
Nematostella|LOC116601124	Hydractinia|LOC130629621	40.541	30	108	715	37	38.5	0.00021
Nematostella|LOC116601130	Hydractinia|LOC130657818	34.839	71	192	268	155	70.5	6.3e-15
Nematostella|LOC116601131	Hydractinia|LOC130657605	30.0	14	1528	1588	200	80.5	6.07e-15
Nematostella|LOC116601136	Hydractinia|LOC130645362	46.429	24	119	1061	28	28.5	0.91
Nematostella|LOC116601137	Hydractinia|LOC130621724	25.0	46	155	1644	76	28.5	1.7
Nematostella|LOC116601139	Hydractinia|LOC130644432	30.435	15	387	1836	69	29.6	3.6
Nematostella|LOC116601143	Hydractinia|LOC130653862	33.75	52	310	1711	160	95.1	1.16e-21
Nematostella|LOC116601144	Hydractinia|LOC130645478	24.615	82	299	331	260	71.2	4.5e-14
Nematostella|LOC116601145	Hydractinia|LOC130626108	34.05	96	530	548	558	348.0	4.12e-114
Nematostella|LOC116601153	Hydractinia|LOC130655412	30.952	74	114	144	84	38.1	0.000195
Nematostella|LOC116601154	Hydractinia|LOC130625358	37.605	93	505	490	476	317.0	4.4000000000000004e-103
Nematostella|LOC116601155	Hydractinia|LOC130645487	27.941	20	345	541	68	32.3	0.45
Nematostella|LOC116601156	Hydractinia|LOC130645917	25.532	72	385	916	282	98.2	4.55e-22
Nematostella|LOC116601160	Hydractinia|LOC130645059	24.662	91	316	355	296	94.7	3.8e-22
Nematostella|LOC116601163	Hydractinia|LOC130649612	24.23	89	538	550	487	105.0	4.55e-24
Nematostella|LOC116601165	Hydractinia|LOC130622970	21.942	95	635	2267	556	166.0	1.08e-42
Nematostella|LOC116601166	Hydractinia|LOC130648227	39.835	90	382	1548	364	239.0	3.2600000000000004e-70
Nematostella|LOC116601170	Hydractinia|LOC130621906	32.787	65	125	1064	61	42.0	2.31e-05
Nematostella|LOC116601175	Hydractinia|LOC130614769	37.103	90	538	602	504	324.0	3.7999999999999994e-104
Nematostella|LOC116601176	Hydractinia|LOC130647409	53.0	100	200	199	200	222.0	3.19e-74
Nematostella|LOC116601178	Hydractinia|LOC130648298	30.189	26	385	1204	106	39.3	0.004
Nematostella|LOC116601179	Hydractinia|LOC130647878	25.459	99	340	374	381	116.0	1.0800000000000001e-29
Nematostella|LOC116601180	Hydractinia|LOC130647438	28.885	58	1142	1836	547	175.0	3.88e-44
Nematostella|LOC116601181	Hydractinia|LOC130662709	45.926	98	266	265	270	221.0	6.07e-72
Nematostella|LOC116601182	Hydractinia|LOC130630373	25.168	33	789	606	298	92.0	2.87e-19
Nematostella|LOC116601185	Hydractinia|LOC130642327	37.183	99	1598	2119	1654	1123.0	0.0
Nematostella|LOC116601186	Hydractinia|LOC130647247	34.483	69	160	383	116	68.6	3.37e-14
Nematostella|LOC116601190	Hydractinia|LOC130614429	20.917	92	791	1104	894	58.2	1.44e-08
Nematostella|LOC116601196	Hydractinia|LOC130653716	27.2	39	304	421	125	33.9	0.098
Nematostella|LOC116601202	Hydractinia|LOC130622970	21.827	66	1157	2267	591	143.0	2.9699999999999997e-34
Nematostella|LOC116601203	Hydractinia|LOC130622970	24.959	72	1247	2267	617	178.0	4.43e-45
Nematostella|LOC116601208	Hydractinia|LOC130636468	28.254	88	341	384	315	60.8	2.8e-10
Nematostella|LOC116601211	Hydractinia|LOC130647924	38.522	98	387	454	379	205.0	7.06e-62
Nematostella|LOC116601214	Hydractinia|LOC130647711	45.527	80	1281	620	503	443.0	2.06e-141
Nematostella|LOC116601217	Hydractinia|LOC130647264	47.71	55	477	1026	262	251.0	4.2e-74
Nematostella|LOC116601218	Hydractinia|LOC130636659	21.25	84	385	8166	320	43.9	0.000156
Nematostella|LOC116601219	Hydractinia|LOC130612659	24.351	84	397	578	308	112.0	8.11e-27
Nematostella|LOC116601221	Hydractinia|LOC130626869	22.549	65	310	304	204	45.4	1.48e-05
Nematostella|LOC116601227	Hydractinia|LOC130629868	30.0	32	271	151	90	35.0	0.015
Nematostella|LOC116601228	Hydractinia|LOC130622682	29.853	63	1076	719	747	265.0	4.44e-76
Nematostella|LOC116601234	Hydractinia|LOC130647396	36.484	77	578	559	455	231.0	2.24e-68
Nematostella|LOC116601237	Hydractinia|LOC130647510	38.416	54	1239	838	669	352.0	2.79e-105
Nematostella|LOC116601241	Hydractinia|LOC130647482	37.713	99	387	398	411	285.0	1.19e-93
Nematostella|LOC116601242	Hydractinia|LOC130641544	28.289	77	193	454	152	48.9	4.55e-07
Nematostella|LOC116601243	Hydractinia|LOC130647806	37.094	99	574	576	585	328.0	2.13e-105
Nematostella|LOC116601244	Hydractinia|LOC130614854	19.355	28	443	371	124	33.5	0.2
Nematostella|LOC116601245	Hydractinia|LOC130623052	38.529	80	405	643	340	215.0	1.03e-63
Nematostella|LOC116601253	Hydractinia|LOC130636659	24.551	71	229	8166	167	42.4	0.000145
Nematostella|LOC116601353	Hydractinia|LOC130630399	40.187	13	2043	1543	107	96.3	1.35e-19
Nematostella|LOC116601357	Hydractinia|LOC130648710	24.084	80	2238	3434	1964	503.0	2.3900000000000001e-144
Nematostella|LOC116601367	Hydractinia|LOC130647783	29.655	43	315	341	145	53.9	3.54e-08
