qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
Hydractinia|LOC130612030	Hydra|LOC105846926	23.887	75	308	327	247	43.9	4.83e-05
Hydractinia|LOC130612031	Hydra|LOC100200487	23.718	90	164	4993	156	40.0	0.000304
Hydractinia|LOC130612032	Hydra|LOC100209034	75.974	93	329	329	308	503.0	0.0
Hydractinia|LOC130612033	Hydra|LOC100198054	46.36	95	252	282	261	239.0	6.040000000000001e-79
Hydractinia|LOC130612034	Hydra|LOC124812196	54.419	49	684	476	215	246.0	4.48e-74
Hydractinia|LOC130612035	Hydra|LOC105843821	26.99	93	517	492	515	134.0	4.4e-34
Hydractinia|LOC130612037	Hydra|LOC100206864	68.439	66	459	356	301	462.0	1.84e-162
Hydractinia|LOC130612038	Hydra|LOC100211099	74.346	96	198	198	191	260.0	2.4699999999999997e-89
Hydractinia|LOC130612039	Hydra|LOC105846192	33.488	59	357	442	215	123.0	9.75e-32
Hydractinia|LOC130612040	Hydra|LOC105848420	45.69	10	1106	677	116	120.0	7.79e-28
Hydractinia|LOC130612042	Hydra|LOC100205700	33.496	84	479	531	409	191.0	6.22e-55
Hydractinia|LOC130612043	Hydra|LOC100211523	74.799	99	369	375	373	564.0	0.0
Hydractinia|LOC130612044	Hydra|LOC100197840	31.466	69	316	280	232	117.0	6.45e-31
Hydractinia|LOC130612045	Hydra|LOC100214979	55.402	89	809	357	361	408.0	1.37e-136
Hydractinia|LOC130612046	Hydra|LOC100206742	49.595	95	520	501	494	489.0	8.5e-170
Hydractinia|LOC130612047	Hydra|LOC100207417	67.253	93	490	580	455	608.0	0.0
Hydractinia|LOC130612049	Hydra|LOC101241071	46.405	91	332	322	306	277.0	2.69e-92
Hydractinia|LOC130612050	Hydra|LOC100209337	65.653	99	330	329	329	468.0	2.27e-167
Hydractinia|LOC130612051	Hydra|LOC101241071	57.329	96	317	322	307	368.0	3.66e-128
Hydractinia|LOC130612052	Hydra|LOC100210352	55.691	99	246	247	246	274.0	2.04e-93
Hydractinia|LOC130612053	Hydra|LOC101237741	27.957	49	182	1999	93	28.9	2.0
Hydractinia|LOC130612055	Hydra|LOC124818417	29.94	99	494	491	501	224.0	1.0899999999999999e-67
Hydractinia|LOC130612056	Hydra|LOC100200226	55.556	48	301	356	144	161.0	3.6200000000000003e-47
Hydractinia|LOC130612057	Hydra|LOC100207121	34.942	99	574	943	601	344.0	1.15e-107
Hydractinia|LOC130612058	Hydra|LOC100198511	27.381	99	1831	1815	1932	659.0	0.0
Hydractinia|LOC130612059	Hydra|LOC101235862	31.12	92	1057	1090	1054	430.0	3.88e-133
Hydractinia|LOC130612060	Hydra|LOC124808590	22.333	41	624	445	300	30.8	2.3
Hydractinia|LOC130612062	Hydra|LOC100213688	60.777	91	562	512	515	657.0	0.0
Hydractinia|LOC130612063	Hydra|LOC100202472	51.773	55	251	443	141	140.0	3.47e-39
Hydractinia|LOC130612064	Hydra|LOC101234787	55.118	86	443	552	381	424.0	9.6e-145
Hydractinia|LOC130612065	Hydra|LOC100203767	70.026	89	428	385	387	509.0	0.0
Hydractinia|LOC130612066	Hydra|LOC100210800	74.38	64	189	138	121	194.0	1.65e-64
Hydractinia|LOC130612067	Hydra|LOC100197472	76.541	99	666	664	665	1053.0	0.0
Hydractinia|LOC130612069	Hydra|LOC100203503	49.398	99	1000	937	996	804.0	0.0
Hydractinia|LOC130612070	Hydra|LOC100204458	44.767	94	1144	1070	1137	844.0	0.0
Hydractinia|LOC130612071	Hydra|LOC124818176	48.113	78	130	396	106	82.8	1.1e-19
Hydractinia|LOC130612072	Hydra|LOC100197018	27.952	81	482	446	415	125.0	1.5400000000000002e-31
Hydractinia|LOC130612073	Hydra|LOC101237515	54.128	99	329	331	327	375.0	7.04e-131
Hydractinia|LOC130612074	Hydra|LOC100208556	28.977	83	194	215	176	62.4	3.03e-12
Hydractinia|LOC130612076	Hydra|LOC105850855	33.022	61	511	840	321	181.0	2.98e-49
Hydractinia|LOC130612077	Hydra|LOC100211832	23.81	31	542	2147	189	32.0	1.1
Hydractinia|LOC130612078	Hydra|LOC100206241	74.141	95	582	580	553	885.0	0.0
Hydractinia|LOC130612079	Hydra|LOC105846025	35.366	9	901	1645	82	52.0	1.39e-06
Hydractinia|LOC130612080	Hydra|LOC105843448	70.833	90	442	431	408	546.0	0.0
Hydractinia|LOC130612081	Hydra|LOC100208289	33.824	39	161	1581	68	31.6	0.21
Hydractinia|LOC130612082	Hydra|LOC100205823	81.019	100	214	216	216	340.0	2.53e-120
Hydractinia|LOC130612084	Hydra|LOC100212612	52.804	63	556	601	214	214.0	6.01e-62
Hydractinia|LOC130612085	Hydra|LOC105845427	35.334	97	566	555	583	308.0	6.78e-98
Hydractinia|LOC130612086	Hydra|LOC101236913	54.383	92	663	613	616	670.0	0.0
Hydractinia|LOC130612087	Hydra|LOC105847583	41.7	99	249	256	247	188.0	1.19e-59
Hydractinia|LOC130612088	Hydra|LOC105843185	40.303	47	651	436	330	226.0	3.3999999999999994e-67
Hydractinia|LOC130612090	Hydra|LOC101235417	34.626	55	655	621	361	178.0	4.6399999999999994e-48
Hydractinia|LOC130612091	Hydra|LOC100212020	82.937	91	276	280	252	396.0	1.0099999999999999e-140
Hydractinia|LOC130612092	Hydra|LOC101236801	55.14	41	1788	1623	214	231.0	4.1499999999999996e-61
Hydractinia|LOC130612093	Hydra|LOC100199446	53.425	100	502	492	511	473.0	5.22e-164
Hydractinia|LOC130612095	Hydra|LOC105844017	57.724	92	401	421	369	468.0	7.11e-165
Hydractinia|LOC130612096	Hydra|LOC124807762	46.212	96	682	675	660	624.0	0.0
Hydractinia|LOC130612097	Hydra|LOC100197380	83.333	98	147	148	144	248.0	3.05e-86
Hydractinia|LOC130612098	Hydra|LOC105846508	32.0	96	180	180	175	109.0	1.5e-30
Hydractinia|LOC130612099	Hydra|LOC100197559	53.005	85	209	204	183	198.0	1.25e-64
Hydractinia|LOC130612100	Hydra|LOC100207791	34.911	57	1353	1395	338	137.0	1.51e-32
Hydractinia|LOC130612101	Hydra|LOC100210597	32.863	99	731	714	709	352.0	6.63e-111
Hydractinia|LOC130612103	Hydra|LOC105846746	38.235	93	245	243	238	125.0	3.51e-35
Hydractinia|LOC130612104	Hydra|LOC101241819	28.62	99	872	847	877	375.0	9.490000000000001e-117
Hydractinia|LOC130612105	Hydra|LOC100201110	36.511	72	841	588	619	355.0	1.31e-112
Hydractinia|LOC130612106	Hydra|LOC100208225	59.684	73	939	875	697	772.0	0.0
Hydractinia|LOC130612107	Hydra|LOC124813262	29.457	71	535	441	387	179.0	1.32e-50
Hydractinia|LOC130612109	Hydra|LOC100201282	70.536	97	464	466	448	662.0	0.0
Hydractinia|LOC130612110	Hydra|LOC100215094	56.582	90	1098	946	866	976.0	0.0
Hydractinia|LOC130612111	Hydra|LOC100212319	45.582	95	1235	1220	1211	949.0	0.0
Hydractinia|LOC130612112	Hydra|LOC105847189	60.373	82	1242	1038	429	481.0	3.65e-151
Hydractinia|LOC130612113	Hydra|LOC100204680	55.887	89	785	698	705	753.0	0.0
Hydractinia|LOC130612116	Hydra|LOC100204767	57.692	93	558	526	520	619.0	0.0
Hydractinia|LOC130612117	Hydra|LOC100205201	76.037	100	217	217	217	351.0	9.280000000000001e-125
Hydractinia|LOC130612118	Hydra|LOC105847047	23.81	85	171	166	147	55.1	5.49e-10
Hydractinia|LOC130612120	Hydra|LOC105847579	31.156	35	558	627	199	114.0	1.1400000000000001e-26
Hydractinia|LOC130612121	Hydra|LOC101241753	37.44	79	482	411	414	280.0	4.549999999999999e-90
Hydractinia|LOC130612123	Hydra|LOC124809990	28.395	32	648	717	162	59.7	3.41e-09
Hydractinia|LOC130612124	Hydra|LOC100213901	53.135	97	963	954	941	1048.0	0.0
Hydractinia|LOC130612125	Hydra|LOC105844343	30.435	35	897	612	322	123.0	3.7200000000000003e-29
Hydractinia|LOC130612126	Hydra|LOC100197495	30.303	44	660	466	297	165.0	1.26e-44
Hydractinia|LOC130612127	Hydra|LOC101236386	56.661	90	632	583	593	627.0	0.0
Hydractinia|LOC130612129	Hydra|LOC100210337	50.221	94	478	441	452	431.0	1.19e-148
Hydractinia|LOC130612130	Hydra|LOC105844344	41.558	62	357	296	231	187.0	5.63e-57
Hydractinia|LOC130612131	Hydra|LOC105851024	34.375	11	304	680	32	29.6	2.6
Hydractinia|LOC130612132	Hydra|LOC100197754	77.663	100	291	291	291	480.0	2.0900000000000003e-173
Hydractinia|LOC130612133	Hydra|LOC100206883	82.105	70	540	541	380	648.0	0.0
Hydractinia|LOC130612135	Hydra|LOC100203183	38.163	100	827	769	849	410.0	2.34e-131
Hydractinia|LOC130612136	Hydra|LOC100215292	47.727	89	289	330	264	247.0	6.58e-81
Hydractinia|LOC130612137	Hydra|LOC100201344	34.568	10	815	246	81	40.0	0.003
Hydractinia|LOC130612138	Hydra|LOC101241070	36.029	22	626	784	136	82.8	2.1e-16
Hydractinia|LOC130612141	Hydra|LOC100198100	36.869	99	950	1696	971	593.0	0.0
Hydractinia|LOC130612142	Hydra|LOC100199542	52.703	85	247	232	222	225.0	2.61e-74
Hydractinia|LOC130612143	Hydra|LOC101236759	58.667	71	206	191	150	178.0	4.43e-57
Hydractinia|LOC130612145	Hydra|LOC100197833	65.046	96	672	657	658	867.0	0.0
Hydractinia|LOC130612146	Hydra|LOC100198810	26.351	95	298	293	296	64.3	8.05e-12
Hydractinia|LOC130612147	Hydra|LOC100207691	55.208	99	1633	1619	1632	1879.0	0.0
Hydractinia|LOC130612148	Hydra|LOC100204243	42.617	84	840	730	535	451.0	2.3599999999999998e-147
Hydractinia|LOC130612149	Hydra|LOC100209746	36.765	67	488	470	340	160.0	5.970000000000001e-44
Hydractinia|LOC130612150	Hydra|LOC100208067	66.358	70	558	526	324	443.0	5.68e-151
Hydractinia|LOC130612152	Hydra|LOC100203801	61.765	99	341	347	340	449.0	1.27e-159
Hydractinia|LOC130612153	Hydra|LOC124815702	34.831	84	297	276	267	134.0	1.49e-37
Hydractinia|LOC130612154	Hydra|LOC124811311	36.948	88	270	253	249	159.0	6.93e-48
Hydractinia|LOC130612156	Hydra|LOC100197833	64.894	96	672	657	658	865.0	0.0
Hydractinia|LOC130612158	Hydra|LOC105850921	53.64	92	278	265	261	249.0	4.69e-83
Hydractinia|LOC130612159	Hydra|LOC100207048	90.693	99	464	462	462	865.0	0.0
Hydractinia|LOC130612160	Hydra|LOC100215011	49.156	73	647	462	474	434.0	2.47e-147
Hydractinia|LOC130612161	Hydra|LOC100211060	36.735	25	196	1556	49	30.0	1.0
Hydractinia|LOC130612162	Hydra|LOC100198387	65.58	93	295	311	276	387.0	2.36e-136
Hydractinia|LOC130612163	Hydra|LOC105843232	37.952	94	355	347	332	221.0	1.33e-69
Hydractinia|LOC130612164	Hydra|LOC124812196	54.419	49	684	476	215	245.0	7.63e-74
Hydractinia|LOC130612166	Hydra|LOC100203604	58.333	98	281	278	276	344.0	6.23e-120
Hydractinia|LOC130612167	Hydra|LOC105845105	50.0	100	140	140	140	125.0	6.1e-38
Hydractinia|LOC130612168	Hydra|LOC100205133	30.238	77	552	548	463	200.0	2.58e-57
Hydractinia|LOC130612169	Hydra|LOC101240789	70.918	94	416	427	392	569.0	0.0
Hydractinia|LOC130612170	Hydra|LOC101238112	40.741	97	194	341	189	148.0	9.06e-44
Hydractinia|LOC130612172	Hydra|LOC100215579	31.25	30	158	949	48	29.6	0.77
Hydractinia|LOC130612173	Hydra|LOC100211975	26.415	47	225	5399	106	37.0	0.008
Hydractinia|LOC130612174	Hydra|LOC105843555	44.889	92	234	240	225	186.0	6.490000000000001e-59
Hydractinia|LOC130612175	Hydra|LOC105849237	40.385	94	178	368	104	85.5	3.69e-20
Hydractinia|LOC130612178	Hydra|LOC101235263	30.508	44	356	418	177	32.7	0.25
Hydractinia|LOC130612179	Hydra|LOC100211886	31.818	20	388	375	88	33.1	0.26
Hydractinia|LOC130612180	Hydra|LOC105843519	37.234	98	476	478	470	335.0	9.57e-111
Hydractinia|LOC130612182	Hydra|LOC124807135	38.462	65	139	193	91	68.2	3.71e-15
Hydractinia|LOC130612185	Hydra|LOC105845881	42.308	75	174	177	130	96.7	8.86e-26
Hydractinia|LOC130612186	Hydra|LOC100201904	75.453	99	720	714	717	1152.0	0.0
Hydractinia|LOC130612187	Hydra|LOC100197591	74.708	100	255	252	257	399.0	2.03e-142
Hydractinia|LOC130612188	Hydra|LOC100199552	26.23	55	108	548	61	28.1	1.1
Hydractinia|LOC130612189	Hydra|LOC100215751	40.747	98	585	541	589	371.0	2.04e-122
Hydractinia|LOC130612191	Hydra|LOC101241790	30.667	96	827	892	900	328.0	1.91e-99
Hydractinia|LOC130612192	Hydra|LOC124806938	35.443	26	293	228	79	30.4	0.96
Hydractinia|LOC130612193	Hydra|LOC124806346	34.483	28	195	277	58	26.6	9.7
Hydractinia|LOC130612195	Hydra|LOC100211798	27.059	43	192	1249	85	32.3	0.17
Hydractinia|LOC130612197	Hydra|LOC100204701	77.574	87	308	272	272	441.0	6.61e-158
Hydractinia|LOC130612198	Hydra|LOC100211463	29.762	49	170	1697	84	26.6	9.0
Hydractinia|LOC130612199	Hydra|LOC101234655	23.716	65	1057	1089	662	141.0	5.809999999999999e-34
Hydractinia|LOC130612200	Hydra|LOC105843570	43.251	97	370	354	363	272.0	3.4599999999999996e-89
Hydractinia|LOC130612201	Hydra|LOC100199836	40.413	98	344	340	339	266.0	2.2e-87
Hydractinia|LOC130612202	Hydra|LOC101240744	36.364	37	118	856	44	26.9	3.3
Hydractinia|LOC130612204	Hydra|LOC100199577	36.331	92	1142	1314	1112	608.0	0.0
Hydractinia|LOC130612205	Hydra|LOC105844856	26.538	73	339	264	260	85.9	2.08e-19
Hydractinia|LOC130612206	Hydra|LOC100207189	51.321	99	701	718	719	674.0	0.0
Hydractinia|LOC130612208	Hydra|LOC100207207	55.405	100	141	152	148	147.0	2.18e-46
Hydractinia|LOC130612209	Hydra|LOC105847698	24.854	61	788	984	515	124.0	2.99e-29
Hydractinia|LOC130612210	Hydra|LOC100213322	28.406	76	543	1095	433	160.0	9.819999999999999e-42
Hydractinia|LOC130612211	Hydra|LOC100199921	69.565	100	679	689	690	987.0	0.0
Hydractinia|LOC130612212	Hydra|LOC100202131	56.624	99	552	564	551	608.0	0.0
Hydractinia|LOC130612213	Hydra|LOC100203652	90.278	99	504	505	504	947.0	0.0
Hydractinia|LOC130612214	Hydra|LOC100203767	70.026	89	428	385	387	509.0	0.0
Hydractinia|LOC130612216	Hydra|LOC100210800	73.554	64	189	138	121	192.0	9.58e-64
Hydractinia|LOC130612217	Hydra|LOC100213774	25.882	94	442	503	425	157.0	9.69e-43
Hydractinia|LOC130612218	Hydra|LOC100205614	55.028	100	354	335	358	365.0	3.38e-126
Hydractinia|LOC130612219	Hydra|LOC101236226	42.857	33	101	865	35	25.8	5.9
Hydractinia|LOC130612220	Hydra|LOC101240329	29.67	26	344	1578	91	39.7	0.002
Hydractinia|LOC130612221	Hydra|LOC100213401	48.148	99	632	636	648	609.0	0.0
Hydractinia|LOC130612222	Hydra|LOC100207193	55.764	99	693	733	746	710.0	0.0
Hydractinia|LOC130612224	Hydra|LOC100212332	58.808	98	393	382	386	474.0	9.739999999999999e-168
Hydractinia|LOC130612225	Hydra|LOC124816381	54.545	26	209	222	55	61.2	1.4e-11
Hydractinia|LOC130612226	Hydra|LOC105847768	31.677	73	377	239	161	75.1	1.34e-15
Hydractinia|LOC130612227	Hydra|LOC100200409	66.852	100	359	348	359	504.0	0.0
Hydractinia|LOC130612228	Hydra|LOC100203085	44.952	98	782	830	832	628.0	0.0
Hydractinia|LOC130612230	Hydra|LOC100203658	60.804	71	557	500	398	539.0	0.0
Hydractinia|LOC130612231	Hydra|LOC101237360	36.686	97	511	475	507	300.0	1.21e-96
Hydractinia|LOC130612233	Hydra|LOC100204590	54.467	64	539	517	347	381.0	2.87e-127
Hydractinia|LOC130612234	Hydra|LOC101236675	37.619	36	2184	2154	420	137.0	4.3400000000000004e-32
Hydractinia|LOC130612235	Hydra|LOC124818088	42.276	46	267	131	123	114.0	6.160000000000001e-32
Hydractinia|LOC130612236	Hydra|LOC124817479	38.624	93	203	421	189	144.0	1.7e-41
Hydractinia|LOC130612238	Hydra|LOC124810640	28.916	30	273	389	83	30.0	1.2
Hydractinia|LOC130612240	Hydra|LOC100197876	28.049	60	137	1166	82	33.5	0.029
Hydractinia|LOC130612241	Hydra|LOC101236342	40.733	96	1000	951	982	691.0	0.0
Hydractinia|LOC130612242	Hydra|LOC100215098	59.07	100	3626	3614	3655	4260.0	0.0
Hydractinia|LOC130612243	Hydra|LOC101240038	57.91	99	2094	2081	2067	2533.0	0.0
Hydractinia|LOC130612244	Hydra|LOC100199249	30.211	23	1668	1539	331	145.0	6.310000000000001e-35
Hydractinia|LOC130612248	Hydra|LOC101235313	36.842	64	115	151	76	51.2	2.58e-09
Hydractinia|LOC130612249	Hydra|LOC100207264	46.134	98	1142	1159	1151	1048.0	0.0
Hydractinia|LOC130612250	Hydra|LOC100202664	28.297	96	409	405	417	136.0	4.06e-36
Hydractinia|LOC130612251	Hydra|LOC100213554	46.86	22	2977	3491	207	209.0	1.76e-53
Hydractinia|LOC130612252	Hydra|LOC100198798	84.223	99	390	433	431	728.0	0.0
Hydractinia|LOC130612254	Hydra|LOC100212732	38.154	98	1880	1840	1929	1216.0	0.0
Hydractinia|LOC130612255	Hydra|LOC100201103	49.847	96	341	313	327	337.0	6.75e-116
Hydractinia|LOC130612256	Hydra|LOC100209641	26.804	50	177	1498	97	29.6	0.9
Hydractinia|LOC130612257	Hydra|LOC105844167	21.329	72	315	276	286	59.3	3.87e-10
Hydractinia|LOC130612258	Hydra|LOC105844167	37.162	69	281	276	148	107.0	1.79e-27
Hydractinia|LOC130612259	Hydra|LOC100213018	34.043	37	220	311	94	43.1	4.87e-05
Hydractinia|LOC130612260	Hydra|LOC100200547	44.521	99	150	149	146	130.0	1.04e-39
Hydractinia|LOC130612262	Hydra|LOC100198016	74.059	79	1817	1627	505	857.0	0.0
Hydractinia|LOC130612263	Hydra|LOC100205133	29.637	66	959	548	523	199.0	1.12e-54
Hydractinia|LOC130612264	Hydra|LOC100204227	32.692	11	774	641	52	35.0	0.14
Hydractinia|LOC130612265	Hydra|LOC100208698	78.157	100	293	292	293	480.0	1.88e-173
Hydractinia|LOC130612266	Hydra|LOC100210520	73.333	11	132	1894	15	28.5	1.1
