qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
Nematostella|LOC116601119	Xenia|LOC124448156	45.57	83	469	482	395	359.0	3.04e-120
Nematostella|LOC116601121	Xenia|LOC124455188	33.333	22	339	213	54	43.9	3.26e-05
Nematostella|LOC116601122	Xenia|LOC124454427	50.0	85	92	189	72	70.1	1.46e-16
Nematostella|LOC116601124	Xenia|LOC124458538	32.143	42	108	520	56	33.1	0.014
Nematostella|LOC116601130	Xenia|LOC124439094	34.694	22	192	534	49	28.9	1.8
Nematostella|LOC116601131	Xenia|LOC124442713	46.154	12	1528	800	117	115.0	7.6e-26
Nematostella|LOC116601136	Xenia|LOC124452260	35.294	40	119	978	51	31.2	0.083
Nematostella|LOC116601137	Xenia|LOC124439068	28.235	55	155	200	85	30.8	0.19
Nematostella|LOC116601139	Xenia|LOC124445446	26.351	36	387	193	148	32.3	0.22
Nematostella|LOC116601143	Xenia|LOC124440678	41.772	51	310	230	158	116.0	2.51e-31
Nematostella|LOC116601144	Xenia|LOC124453344	26.772	39	299	277	127	55.1	6.88e-09
Nematostella|LOC116601145	Xenia|LOC124445067	39.024	8	530	277	41	36.2	0.029
Nematostella|LOC116601153	Xenia|LOC124434388	29.412	68	114	136	85	36.2	0.000816
Nematostella|LOC116601154	Xenia|LOC124434323	35.368	93	505	478	475	300.0	1.46e-96
Nematostella|LOC116601155	Xenia|LOC124440898	30.645	15	345	250	62	32.0	0.28
Nematostella|LOC116601156	Xenia|LOC124438663	28.148	68	385	376	270	97.8	9.78e-23
Nematostella|LOC116601160	Xenia|LOC124438663	28.571	79	316	376	259	91.3	6.1400000000000004e-21
Nematostella|LOC116601163	Xenia|LOC124445395	22.91	95	538	8419	323	42.4	0.00054
Nematostella|LOC116601165	Xenia|LOC124435017	24.178	98	635	2284	608	208.0	7.19e-57
Nematostella|LOC116601166	Xenia|LOC124448024	43.207	93	382	545	368	283.0	3.2799999999999996e-91
Nematostella|LOC116601170	Xenia|LOC124440560	35.417	43	125	162	48	38.5	0.00017
Nematostella|LOC116601175	Xenia|LOC124434772	32.735	91	538	585	501	260.0	1.15e-79
Nematostella|LOC116601176	Xenia|LOC124445970	62.0	100	200	199	200	236.0	3.97e-80
Nematostella|LOC116601178	Xenia|LOC124458232	30.357	15	385	4698	56	32.0	0.57
Nematostella|LOC116601179	Xenia|LOC124449085	43.836	21	340	217	73	52.8	3.29e-08
Nematostella|LOC116601180	Xenia|LOC124445497	29.147	53	1142	1710	422	170.0	9.87e-43
Nematostella|LOC116601181	Xenia|LOC124455060	26.154	23	266	571	65	27.7	6.4
Nematostella|LOC116601182	Xenia|LOC124441825	33.333	13	789	611	102	68.6	5.8e-12
Nematostella|LOC116601185	Xenia|LOC124444823	32.903	32	1598	829	310	145.0	3.76e-35
Nematostella|LOC116601186	Xenia|LOC124437135	46.296	33	160	237	54	51.2	1.78e-08
Nematostella|LOC116601190	Xenia|LOC124440698	38.889	7	791	511	54	35.0	0.12
Nematostella|LOC116601196	Xenia|LOC124441692	25.373	44	304	2612	134	31.6	0.51
Nematostella|LOC116601202	Xenia|LOC124435017	23.774	80	1157	2284	530	162.0	3.2399999999999997e-40
Nematostella|LOC116601203	Xenia|LOC124435017	22.911	83	1247	2284	694	189.0	1.65e-48
Nematostella|LOC116601208	Xenia|LOC124439377	48.718	11	341	6809	39	32.7	0.26
Nematostella|LOC116601211	Xenia|LOC124448678	37.321	97	387	562	209	124.0	3.6400000000000003e-31
