qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
Nematostella|LOC116601119	Hydra|LOC100207979	29.02	53	469	461	255	137.0	1.4e-35
Nematostella|LOC116601121	Hydra|LOC124816702	40.323	35	339	186	62	55.5	3.14e-09
Nematostella|LOC116601122	Hydra|LOC100212389	55.263	83	92	185	76	75.5	1.31e-18
Nematostella|LOC116601124	Hydra|LOC124818679	31.481	48	108	388	54	38.1	0.000292
Nematostella|LOC116601130	Hydra|LOC124817167	39.37	65	192	187	127	73.9	1.04e-16
Nematostella|LOC116601131	Hydra|LOC101238713	34.694	13	1528	504	196	82.0	7.29e-16
Nematostella|LOC116601136	Hydra|LOC100198326	30.556	30	119	1130	36	29.3	0.55
Nematostella|LOC116601137	Hydra|LOC105848858	33.333	36	155	473	60	29.6	0.61
Nematostella|LOC116601139	Hydra|LOC124806239	38.298	51	387	323	47	47.0	8.15e-06
Nematostella|LOC116601143	Hydra|LOC100200237	35.625	56	310	2060	160	97.1	3.32e-22
Nematostella|LOC116601144	Hydra|LOC105844403	40.909	7	299	392	22	29.3	2.8
Nematostella|LOC116601145	Hydra|LOC105845591	36.538	10	530	614	52	36.2	0.048
Nematostella|LOC116601153	Hydra|LOC100210448	30.392	81	114	107	102	30.8	0.072
Nematostella|LOC116601154	Hydra|LOC101240017	33.61	94	505	492	482	269.0	1.4899999999999999e-84
Nematostella|LOC116601155	Hydra|LOC100206293	32.258	18	345	874	62	33.9	0.13
Nematostella|LOC116601156	Hydra|LOC124805799	28.308	81	385	344	325	102.0	1.2799999999999999e-24
Nematostella|LOC116601160	Hydra|LOC124805799	26.71	94	316	344	307	96.7	6.22e-23
Nematostella|LOC116601163	Hydra|LOC100213567	21.599	88	538	8360	588	45.8	5.45e-05
Nematostella|LOC116601165	Hydra|LOC124818305	18.995	97	635	1944	637	121.0	2.21e-28
Nematostella|LOC116601166	Hydra|LOC124807629	51.111	92	382	622	360	362.0	9.05e-121
Nematostella|LOC116601170	Hydra|LOC100214076	36.957	37	125	813	46	37.0	0.001
Nematostella|LOC116601175	Hydra|LOC100197366	37.109	90	538	578	512	319.0	2.95e-102
Nematostella|LOC116601176	Hydra|LOC101236968	44.0	99	200	199	200	181.0	3.7e-58
Nematostella|LOC116601178	Hydra|LOC100203526	29.487	19	385	4311	78	33.9	0.19
Nematostella|LOC116601179	Hydra|LOC100206071	40.909	14	340	2012	44	38.1	0.007
Nematostella|LOC116601180	Hydra|LOC100197555	27.802	58	1142	1463	464	172.0	3e-43
Nematostella|LOC116601181	Hydra|LOC100203209	40.0	85	266	252	235	182.0	6.6e-57
Nematostella|LOC116601182	Hydra|LOC100213341	35.106	12	789	2323	94	48.5	1.67e-05
