qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
STRG.1000	Pd|XP_027042734.1	48.305	68	171	149	118	98.6	7.020000000000001e-27
STRG.10001	Pd|XP_027043397.1	79.167	89	458	408	408	695.0	0.0
STRG.10002	Pd|XP_027054706.1	71.25	95	419	389	400	495.0	1.13e-175
STRG.10003	Pd|XP_027054703.1	81.042	99	479	480	480	825.0	0.0
STRG.10004	Pd|XP_027054704.1	52.066	95	254	433	242	251.0	5.0899999999999995e-82
STRG.10006	Pd|XP_027057847.1	50.42	99	345	536	357	353.0	9.04e-119
STRG.10007	Pd|XP_027052559.1	49.148	99	404	597	411	384.0	3.69e-129
STRG.10008	Pd|XP_027057847.1	71.698	99	527	536	530	793.0	0.0
STRG.1001	Pd|XP_027037949.1	34.783	40	111	578	46	29.3	0.41
STRG.10010	Pd|XP_027057842.1	65.299	98	538	532	536	728.0	0.0
STRG.10015	Pd|XP_027053832.1	21.93	26	436	2947	114	32.3	0.7
STRG.10016	Pd|XP_027057841.1	81.818	99	343	343	341	584.0	0.0
STRG.10017	Pd|XP_027055784.1	58.036	100	111	5099	112	125.0	6.620000000000001e-35
STRG.1002	Pd|XP_027058964.1	24.359	20	664	501	156	34.3	0.2
STRG.10021	Pd|XP_027035825.1	22.396	51	324	610	192	30.0	1.8
STRG.10024	Pd|XP_027041498.1	48.214	66	226	3903	112	131.0	5.91e-35
STRG.10025	Pd|XP_027059143.1	69.472	99	1040	871	796	1103.0	0.0
STRG.10026	Pd|XP_027059147.1	56.484	96	362	761	347	387.0	5.700000000000001e-129
STRG.10028	Pd|XP_027042327.1	75.626	99	601	953	599	898.0	0.0
STRG.10029	Pd|XP_027042267.1	90.351	98	114	534	114	211.0	2.2199999999999998e-67
STRG.1003	Pd|XP_027037949.1	34.783	40	111	578	46	29.3	0.41
STRG.10031	Pd|XP_027036747.1	36.842	27	137	456	38	27.3	3.0
STRG.10032	Pd|XP_027041468.1	64.286	99	169	361	168	244.0	1.9099999999999999e-81
STRG.10034	Pd|XP_027042409.1	90.323	99	186	185	186	349.0	6.23e-125
STRG.10035	Pd|XP_027042407.1	79.734	98	303	299	301	450.0	4.07e-161
STRG.10038	Pd|XP_027059674.1	28.75	64	155	8738	80	34.7	0.017
STRG.10039	Pd|XP_027042419.1	38.996	100	651	655	677	361.0	2.63e-116
STRG.1004	Pd|XP_027046505.1	85.285	99	334	566	333	590.0	0.0
STRG.10041	Pd|XP_027051136.1	65.653	99	1010	1154	1019	1281.0	0.0
STRG.10043	Pd|XP_027048510.1	41.758	79	112	265	91	82.4	2.57e-20
STRG.10044	Pd|XP_027051135.1	84.362	99	940	931	940	1654.0	0.0
STRG.10045	Pd|XP_027056273.1	51.534	99	166	836	163	158.0	1.6099999999999998e-45
STRG.10047	Pd|XP_027038945.1	40.625	62	154	1337	96	84.7	7.37e-20
STRG.10049	Pd|XP_027051095.1	72.107	99	680	674	674	975.0	0.0
STRG.1005	Pd|XP_027040961.1	53.153	53	201	194	111	82.8	5.86e-20
STRG.10051	Pd|XP_027046887.1	65.161	93	161	157	155	214.0	1.38e-72
STRG.10053	Pd|XP_027046906.1	83.562	98	743	785	730	1288.0	0.0
STRG.10054	Pd|XP_027046904.1	86.627	91	547	548	501	858.0	0.0
STRG.10055	Pd|XP_027046902.1	82.737	92	516	482	475	837.0	0.0
STRG.10057	Pd|XP_027046897.1	88.889	99	713	715	720	1068.0	0.0
STRG.1006	Pd|XP_027056275.1	47.877	99	1119	978	942	761.0	0.0
STRG.10060	Pd|XP_027046896.1	44.697	99	1643	1549	1716	1161.0	0.0
STRG.10062	Pd|XP_027053593.1	83.467	99	370	372	375	610.0	0.0
STRG.10063	Pd|XP_027053600.1	87.047	97	199	178	193	328.0	7.94e-117
STRG.10064	Pd|XP_027039943.1	89.992	99	1256	1249	1259	2224.0	0.0
STRG.10065	Pd|XP_027046568.1	30.851	85	111	709	94	27.3	1.8
STRG.10066	Pd|XP_027051035.1	67.647	96	106	102	102	152.0	1.6600000000000001e-49
STRG.10068	Pd|XP_027051034.1	62.81	60	201	147	121	154.0	4.1099999999999995e-48
STRG.10070	Pd|XP_027050989.1	94.795	99	369	402	365	690.0	0.0
STRG.10071	Pd|XP_027051066.1	78.545	97	284	312	275	483.0	2.31e-174
STRG.10074	Pd|XP_027053894.1	27.716	58	720	487	451	87.8	3.58e-18
STRG.10075	Pd|XP_027043978.1	28.91	40	521	219	211	106.0	1.91e-26
STRG.10077	Pd|XP_027057001.1	82.5	100	239	567	240	412.0	1.58e-143
STRG.10079	Pd|XP_027056995.1	77.266	99	1395	1399	1412	2135.0	0.0
STRG.1008	Pd|XP_027056275.1	46.965	75	404	978	313	259.0	4.33e-78
STRG.10080	Pd|XP_027052974.1	66.667	82	522	515	432	595.0	0.0
STRG.10081	Pd|XP_027040975.1	36.8	15	829	369	125	74.3	4.93e-14
STRG.10082	Pd|XP_027040452.1	57.895	97	208	212	209	238.0	3.6100000000000005e-80
STRG.10083	Pd|XP_027041599.1	53.846	98	159	158	156	169.0	1.3899999999999998e-54
STRG.10084	Pd|XP_027041598.1	90.441	83	328	514	272	521.0	0.0
STRG.10085	Pd|XP_027057128.1	66.607	99	563	580	560	802.0	0.0
STRG.10087	Pd|XP_027057122.1	74.324	72	103	75	74	126.0	7.429999999999999e-40
STRG.10088	Pd|XP_027057123.1	93.421	58	131	79	76	154.0	2.68e-50
STRG.10089	Pd|XP_027057121.1	76.667	99	332	331	330	536.0	0.0
STRG.1009	Pd|XP_027054937.1	72.807	98	115	363	114	177.0	6.95e-56
STRG.10094	Pd|XP_027041597.1	56.937	98	544	541	555	551.0	0.0
STRG.10095	Pd|XP_027041605.1	87.248	99	597	590	596	1064.0	0.0
STRG.10096	Pd|XP_027051560.1	81.884	99	139	2681	138	240.0	2.1e-74
STRG.10098	Pd|XP_027051402.1	27.273	34	138	4577	55	28.5	1.5
STRG.101	Pd|XP_027040207.1	64.557	99	312	525	316	421.0	2.4699999999999998e-146
STRG.1010	Pd|XP_027049996.1	69.964	97	1114	1399	1102	1548.0	0.0
STRG.10101	Pd|XP_027051562.1	80.827	99	258	266	266	385.0	1.1299999999999999e-136
STRG.10102	Pd|XP_027051503.1	84.788	99	402	401	401	716.0	0.0
STRG.10103	Pd|XP_027051534.1	79.221	64	118	112	77	134.0	4.559999999999999e-42
STRG.10104	Pd|XP_027051532.1	76.111	93	193	181	180	293.0	9.12e-103
STRG.10105	Pd|XP_027045100.1	49.425	80	324	1127	261	249.0	3.43e-75
STRG.10106	Pd|XP_027050474.1	28.125	30	280	3715	96	37.0	0.011
STRG.10107	Pd|XP_027043260.1	53.982	97	114	1592	113	138.0	3.74e-39
STRG.10108	Pd|XP_027038508.1	63.495	97	531	535	515	678.0	0.0
STRG.10109	Pd|XP_027045132.1	52.187	90	1109	1070	1006	1048.0	0.0
STRG.1011	Pd|XP_027046160.1	65.411	99	573	584	584	798.0	0.0
STRG.10110	Pd|XP_027053815.1	84.448	83	1498	4647	1241	2169.0	0.0
STRG.10111	Pd|XP_027059137.1	72.314	92	260	362	242	352.0	2.3500000000000002e-122
STRG.10112	Pd|XP_027060481.1	65.128	96	395	392	390	540.0	0.0
STRG.10113	Pd|XP_027060490.1	82.185	97	787	782	769	1256.0	0.0
STRG.10114	Pd|XP_027060483.1	90.556	99	595	984	593	1152.0	0.0
STRG.10117	Pd|XP_027037787.1	55.627	76	407	279	311	312.0	1.56e-105
STRG.10118	Pd|XP_027060229.1	68.227	99	395	395	406	496.0	3.14e-176
STRG.10119	Pd|XP_027052148.1	75.434	98	353	346	346	559.0	0.0
STRG.1012	Pd|XP_027046062.1	83.165	99	291	307	297	516.0	0.0
STRG.10120	Pd|XP_027057825.1	34.091	90	191	219	176	102.0	2.0900000000000003e-27
STRG.10121	Pd|XP_027037805.1	54.145	87	617	554	567	467.0	4.67e-159
STRG.10123	Pd|XP_027053827.1	46.509	99	689	752	759	651.0	0.0
STRG.10124	Pd|XP_027050355.1	45.57	97	162	544	158	109.0	1.29e-28
STRG.10125	Pd|XP_027039527.1	64.74	83	721	1604	346	426.0	7.08e-132
STRG.10127	Pd|XP_027058559.1	60.256	91	343	313	312	412.0	1.87e-145
STRG.10128	Pd|XP_027048510.1	64.228	98	251	265	246	334.0	7.9e-117
STRG.10129	Pd|XP_027054758.1	81.395	99	474	469	473	801.0	0.0
STRG.1013	Pd|XP_027056997.1	83.278	97	308	373	299	494.0	2.55e-177
STRG.10130	Pd|XP_027038784.1	84.397	91	155	583	141	253.0	2.1299999999999998e-82
STRG.10132	Pd|XP_027038912.1	74.359	94	662	656	624	931.0	0.0
STRG.10134	Pd|XP_027036509.1	56.884	85	322	717	276	330.0	2.3e-108
STRG.10135	Pd|XP_027037325.1	45.455	18	121	771	22	29.6	0.34
STRG.10136	Pd|XP_027042607.1	59.276	99	219	221	221	237.0	9.45e-80
STRG.10137	Pd|XP_027042606.1	82.867	83	344	307	286	426.0	1.1199999999999999e-150
STRG.10138	Pd|XP_027042595.1	73.016	100	440	2799	441	573.0	0.0
STRG.10139	Pd|XP_027042552.1	75.799	99	2010	2021	2033	3136.0	0.0
STRG.1014	Pd|XP_027040453.1	76.374	98	185	734	182	258.0	2.0799999999999998e-82
STRG.10140	Pd|XP_027042553.1	77.305	82	169	141	141	231.0	3.8400000000000005e-79
STRG.10141	Pd|XP_027058559.1	58.654	87	354	313	312	396.0	7.58e-139
STRG.10142	Pd|XP_027045813.1	29.577	64	107	694	71	30.8	0.12
STRG.10143	Pd|XP_027042586.1	68.31	99	140	141	142	193.0	1.2e-64
STRG.10144	Pd|XP_027038972.1	59.289	99	255	253	253	294.0	4.31e-101
STRG.10145	Pd|XP_027045583.1	53.214	99	947	941	949	1002.0	0.0
STRG.10146	Pd|XP_027045583.1	52.526	99	948	941	950	979.0	0.0
STRG.10147	Pd|XP_027045572.1	73.361	98	249	245	244	337.0	4.67e-118
STRG.10148	Pd|XP_027046775.1	57.252	98	524	958	524	588.0	0.0
STRG.10149	Pd|XP_027045571.1	82.808	99	347	349	349	561.0	0.0
STRG.10150	Pd|XP_027045567.1	96.117	98	105	122	103	207.0	3.98e-71
STRG.10151	Pd|XP_027049268.1	38.318	76	132	633	107	57.0	1.73e-10
STRG.10155	Pd|XP_027049279.1	77.979	99	655	654	663	942.0	0.0
STRG.10159	Pd|XP_027043142.1	74.545	80	137	462	110	165.0	4.73e-50
STRG.10160	Pd|XP_027043132.1	67.347	84	289	242	245	290.0	2.8100000000000002e-99
STRG.10162	Pd|XP_027041975.1	28.839	99	259	259	267	120.0	7.94e-33
STRG.10163	Pd|XP_027042031.1	58.172	70	799	562	569	661.0	0.0
