qseqid	sseqid	pident	qcovs	qlen	slen	length	bitscore	evalue
Pd|XP_027035510.1	STRG.24667	50.316	68	1549	604	632	542.0	1.1e-176
Pd|XP_027035513.1	STRG.24666	60.897	97	402	332	312	392.0	6.97e-136
Pd|XP_027035517.1	STRG.39040	77.741	93	321	303	301	496.0	4.1400000000000005e-179
Pd|XP_027035518.1	STRG.15112	32.5	89	294	404	280	149.0	4.92e-42
Pd|XP_027035519.1	STRG.17757	58.937	91	326	559	207	253.0	6.6e-80
Pd|XP_027035520.1	STRG.34653	59.615	99	258	1551	260	304.0	7.41e-95
Pd|XP_027035521.1	STRG.25103	62.01	100	578	571	587	661.0	0.0
Pd|XP_027035523.1	STRG.25102	77.163	100	289	321	289	474.0	1.1099999999999999e-170
Pd|XP_027035524.1	STRG.11006	40.323	56	111	230	62	35.0	0.004
Pd|XP_027035525.1	STRG.12259	43.195	87	270	433	338	257.0	1.01e-83
Pd|XP_027035526.1	STRG.27776	42.777	83	619	649	533	372.0	6.39e-121
Pd|XP_027035527.1	STRG.1342	23.353	56	287	308	167	36.6	0.011
Pd|XP_027035528.1	STRG.16295	47.291	90	224	328	203	186.0	7.320000000000001e-58
Pd|XP_027035529.1	STRG.25114	55.814	89	237	307	215	217.0	3.07e-70
Pd|XP_027035530.1	STRG.22332	52.261	99	958	1319	951	1006.0	0.0
Pd|XP_027035531.1	STRG.10922	89.035	67	1028	686	684	1281.0	0.0
Pd|XP_027035532.1	STRG.35559	77.82	56	921	517	523	827.0	0.0
Pd|XP_027035533.1	STRG.22574	45.161	20	596	175	124	87.8	4.55e-20
Pd|XP_027035534.1	STRG.36656	59.527	75	894	1021	677	875.0	0.0
Pd|XP_027035535.1	STRG.36666	60.894	98	1632	1697	1432	1679.0	0.0
Pd|XP_027035536.1	STRG.27474	57.812	98	668	218	192	207.0	8.44e-63
Pd|XP_027035537.1	STRG.29223	51.899	94	330	317	316	345.0	7.739999999999999e-119
Pd|XP_027035538.1	STRG.36660	74.214	48	651	167	159	254.0	1.95e-81
Pd|XP_027035539.1	STRG.36658	54.737	99	827	445	475	523.0	2.14e-179
Pd|XP_027035540.1	STRG.36655	64.072	92	182	399	167	209.0	6.41e-67
Pd|XP_027035541.1	STRG.40006	48.511	99	238	679	235	235.0	1.99e-73
Pd|XP_027035542.1	STRG.37508	62.646	99	1697	1846	1451	1786.0	0.0
Pd|XP_027035544.1	STRG.37508	63.379	99	1216	1846	1024	1266.0	0.0
Pd|XP_027035545.1	STRG.37912	63.579	99	901	1597	950	1170.0	0.0
Pd|XP_027035546.1	STRG.36657	56.342	92	324	445	339	379.0	1.11e-130
Pd|XP_027035547.1	STRG.36655	72.152	98	399	399	395	594.0	0.0
Pd|XP_027035548.1	STRG.36664	59.486	97	320	314	311	407.0	1.34e-143
Pd|XP_027035549.1	STRG.9910	28.829	90	458	453	444	177.0	1.43e-50
Pd|XP_027035550.1	STRG.36665	62.703	100	182	180	185	197.0	3.2e-65
Pd|XP_027035551.1	STRG.36655	75.315	99	398	399	397	641.0	0.0
Pd|XP_027035552.1	STRG.5164	45.906	98	700	780	745	543.0	0.0
Pd|XP_027035553.1	STRG.27605	39.0	35	252	118	100	53.9	1.99e-09
Pd|XP_027035554.1	STRG.20227	24.051	44	176	2946	79	31.6	0.31
Pd|XP_027035557.1	STRG.43352	68.0	98	530	527	525	743.0	0.0
Pd|XP_027035558.1	STRG.43353	68.354	99	234	242	237	237.0	4.5600000000000005e-79
Pd|XP_027035559.1	STRG.43348	35.404	99	311	672	322	152.0	1.23e-41
Pd|XP_027035560.1	STRG.43356	69.054	99	351	400	391	563.0	0.0
Pd|XP_027035561.1	STRG.43357	67.066	100	1222	1225	1251	1523.0	0.0
Pd|XP_027035562.1	STRG.1251	71.605	25	326	107	81	123.0	3.26e-35
Pd|XP_027035564.1	STRG.43351	55.144	97	248	249	243	267.0	1.25e-90
Pd|XP_027035565.1	STRG.34689	73.153	99	520	562	555	807.0	0.0
Pd|XP_027035566.1	STRG.1250	83.333	100	156	156	156	270.0	8.84e-95
Pd|XP_027035567.1	STRG.43348	90.986	100	352	672	355	658.0	0.0
Pd|XP_027035568.1	STRG.1251	70.93	33	264	107	86	126.0	4.57e-37
Pd|XP_027035569.1	STRG.8991	89.062	100	192	194	192	312.0	4.4300000000000004e-110
Pd|XP_027035571.1	STRG.1248	88.548	100	487	492	489	917.0	0.0
Pd|XP_027035572.1	STRG.32032	40.23	77	113	438	87	76.6	1.46e-17
Pd|XP_027035573.1	STRG.8990	76.182	100	590	589	592	957.0	0.0
Pd|XP_027035574.1	STRG.14848	36.0	40	126	1518	50	27.3	3.5
Pd|XP_027035575.1	STRG.41946	50.909	57	368	581	220	228.0	1.41e-69
Pd|XP_027035576.1	STRG.21514	64.865	97	189	276	185	257.0	2.61e-87
Pd|XP_027035577.1	STRG.12271	72.584	100	507	510	507	799.0	0.0
Pd|XP_027035578.1	STRG.12270	83.18	95	343	434	327	561.0	0.0
Pd|XP_027035579.1	STRG.9058	90.418	99	2293	2298	2296	4244.0	0.0
Pd|XP_027035580.1	STRG.9064	80.935	100	278	279	278	466.0	4.1899999999999997e-168
Pd|XP_027035581.1	STRG.9063	75.578	99	306	304	303	496.0	3.26e-179
Pd|XP_027035582.1	STRG.31283	70.286	100	378	455	350	539.0	0.0
Pd|XP_027035583.1	STRG.9053	52.368	27	2200	2157	380	325.0	3.0199999999999997e-89
Pd|XP_027035584.1	STRG.17408	63.095	91	367	364	336	453.0	3.4400000000000004e-160
Pd|XP_027035585.1	STRG.9059	64.835	23	795	1389	91	142.0	1.3599999999999999e-34
Pd|XP_027035586.1	STRG.22261	43.662	98	517	569	568	362.0	2.97e-119
Pd|XP_027035587.1	STRG.31886	60.0	90	346	329	310	369.0	6.58e-128
Pd|XP_027035588.1	STRG.40741	47.964	92	235	237	221	210.0	2.2299999999999997e-68
Pd|XP_027035589.1	STRG.9059	52.095	99	548	1389	549	594.0	0.0
Pd|XP_027035590.1	STRG.2383	53.333	23	256	241	60	68.6	1.04e-13
Pd|XP_027035591.1	STRG.6939	56.046	99	704	809	703	784.0	0.0
Pd|XP_027035593.1	STRG.814	83.726	100	467	506	467	844.0	0.0
Pd|XP_027035595.1	STRG.22260	63.529	100	506	501	510	650.0	0.0
Pd|XP_027035596.1	STRG.31283	62.727	100	110	455	110	149.0	1.46e-44
Pd|XP_027035597.1	STRG.18132	82.143	42	268	117	112	202.0	2.31e-66
Pd|XP_027035599.1	STRG.23877	70.69	100	170	174	174	258.0	2.32e-89
Pd|XP_027035600.1	STRG.22544	65.385	98	369	373	364	497.0	1.97e-177
Pd|XP_027035601.1	STRG.22548	74.086	81	1948	1620	1613	2326.0	0.0
Pd|XP_027035602.1	STRG.22546	72.549	100	102	126	102	162.0	1.99e-53
Pd|XP_027035603.1	STRG.14969	34.007	84	335	377	297	166.0	1.91e-48
Pd|XP_027035604.1	STRG.30774	83.236	100	511	514	513	914.0	0.0
Pd|XP_027035605.1	STRG.14969	36.027	84	335	377	297	169.0	1.57e-49
Pd|XP_027035606.1	STRG.43172	85.083	100	697	708	724	1074.0	0.0
Pd|XP_027035611.1	STRG.1150	24.667	27	535	1736	150	36.2	0.072
Pd|XP_027035612.1	STRG.43180	70.37	100	993	1032	999	1496.0	0.0
Pd|XP_027035613.1	STRG.10976	70.701	100	157	155	157	224.0	1.14e-76
Pd|XP_027035614.1	STRG.10977	67.375	99	524	536	518	726.0	0.0
Pd|XP_027035615.1	STRG.13229	89.062	99	193	194	192	342.0	9.090000000000001e-122
Pd|XP_027035616.1	STRG.30775	53.626	85	523	484	455	496.0	1.3e-172
Pd|XP_027035617.1	STRG.43174	95.17	100	348	353	352	691.0	0.0
Pd|XP_027035618.1	STRG.13295	65.217	99	320	334	322	369.0	4.5899999999999996e-128
Pd|XP_027035620.1	STRG.13294	84.358	99	180	181	179	317.0	1.9e-112
Pd|XP_027035622.1	STRG.13293	83.929	100	167	169	168	297.0	6.8200000000000005e-105
Pd|XP_027035623.1	STRG.14969	33.333	84	336	377	297	150.0	2.0699999999999998e-42
Pd|XP_027035624.1	STRG.43176	86.92	100	474	478	474	856.0	0.0
Pd|XP_027035626.1	STRG.43177	73.165	100	1280	1287	1308	1594.0	0.0
Pd|XP_027035627.1	STRG.13285	68.905	99	779	809	804	1154.0	0.0
Pd|XP_027035628.1	STRG.11484	39.167	90	132	141	120	82.4	4.730000000000001e-21
Pd|XP_027035630.1	STRG.13291	47.644	90	210	186	191	181.0	2.33e-58
Pd|XP_027035632.1	STRG.13287	82.692	99	207	210	208	343.0	6.160000000000001e-122
Pd|XP_027035633.1	STRG.13289	74.011	90	197	207	177	281.0	1.77e-97
Pd|XP_027035634.1	STRG.43169	81.445	100	1392	1410	1412	2364.0	0.0
Pd|XP_027035635.1	STRG.28333	56.743	99	375	389	393	334.0	6.53e-113
Pd|XP_027035636.1	STRG.34567	40.667	94	141	238	150	84.0	1.08e-20
Pd|XP_027035637.1	STRG.14969	31.212	92	334	377	330	153.0	2.69e-43
Pd|XP_027035639.1	STRG.14969	33.234	94	332	377	334	155.0	2.23e-44
Pd|XP_027035640.1	STRG.14969	33.648	92	329	377	318	158.0	2.0799999999999998e-45
Pd|XP_027035641.1	STRG.31018	74.783	79	574	1742	460	721.0	0.0
Pd|XP_027035642.1	STRG.28332	68.415	100	1105	1145	839	1154.0	0.0
Pd|XP_027035643.1	STRG.6242	34.043	23	208	144	47	28.1	2.5
Pd|XP_027035644.1	STRG.43178	61.722	99	211	500	209	285.0	9.59e-95
Pd|XP_027035645.1	STRG.13172	43.137	60	85	337	51	30.8	0.056
Pd|XP_027035646.1	STRG.43073	69.185	99	1984	833	834	1227.0	0.0
Pd|XP_027035647.1	STRG.13067	44.98	58	429	249	249	209.0	2.93e-65
Pd|XP_027035648.1	STRG.25216	45.532	99	235	385	235	206.0	7.3700000000000004e-65
Pd|XP_027035649.1	STRG.20843	44.019	77	529	538	418	337.0	6.110000000000001e-110
Pd|XP_027035650.1	STRG.24567	61.743	85	484	441	413	548.0	0.0
Pd|XP_027035651.1	STRG.27962	65.517	100	465	496	493	668.0	0.0
Pd|XP_027035652.1	STRG.32570	79.333	96	313	310	300	499.0	4.8e-180
Pd|XP_027035653.1	STRG.23956	33.028	88	358	337	327	168.0	3.29e-49
Pd|XP_027035654.1	STRG.27955	92.655	100	177	213	177	337.0	7.61e-120
Pd|XP_027035655.1	STRG.24406	61.143	93	1122	1008	700	789.0	0.0
Pd|XP_027035656.1	STRG.43899	51.142	100	835	861	876	649.0	0.0
Pd|XP_027035657.1	STRG.43076	74.304	100	779	808	790	1201.0	0.0
Pd|XP_027035658.1	STRG.43900	77.617	100	1103	1135	1108	1773.0	0.0
Pd|XP_027035659.1	STRG.7018	46.116	98	796	795	811	717.0	0.0
Pd|XP_027035660.1	STRG.8927	78.297	100	355	370	364	572.0	0.0
Pd|XP_027035661.1	STRG.27960	72.682	99	517	587	399	533.0	0.0
Pd|XP_027035662.1	STRG.8928	86.392	100	485	499	485	897.0	0.0
Pd|XP_027035664.1	STRG.15091	30.769	95	217	237	234	100.0	3.9200000000000004e-26
Pd|XP_027035665.1	STRG.30421	72.885	100	461	463	461	727.0	0.0
Pd|XP_027035666.1	STRG.1951	36.842	27	143	762	38	28.5	1.9
Pd|XP_027035667.1	STRG.22760	36.957	10	429	3361	46	29.3	6.9
Pd|XP_027035668.1	STRG.40159	43.061	84	913	892	490	365.0	5.93e-112
Pd|XP_027035669.1	STRG.12420	73.506	95	406	429	385	580.0	0.0
Pd|XP_027035670.1	STRG.23903	74.5	96	208	205	200	320.0	6.52e-113
Pd|XP_027035672.1	STRG.23901	59.653	100	394	403	404	498.0	5.1e-177
Pd|XP_027035673.1	STRG.43077	67.353	69	488	345	340	496.0	2.12e-175
Pd|XP_027035674.1	STRG.30411	79.074	100	497	496	497	830.0	0.0
Pd|XP_027035676.1	STRG.42343	43.854	85	364	554	301	211.0	2.28e-63
Pd|XP_027035677.1	STRG.30420	81.481	100	754	761	756	1221.0	0.0
Pd|XP_027035679.1	STRG.30413	76.623	100	154	155	154	262.0	1.9199999999999998e-91
Pd|XP_027035680.1	STRG.30412	67.289	92	1524	1415	1446	1707.0	0.0
Pd|XP_027035683.1	STRG.40263	34.031	81	227	209	191	108.0	3.03e-29
Pd|XP_027035684.1	STRG.23898	78.022	84	108	407	91	151.0	1.02e-45
Pd|XP_027035685.1	STRG.43078	84.772	99	395	395	394	692.0	0.0
Pd|XP_027035686.1	STRG.23897	63.305	100	356	357	357	472.0	7.34e-168
Pd|XP_027035687.1	STRG.23913	47.125	99	701	692	713	540.0	0.0
Pd|XP_027035689.1	STRG.23907	73.185	100	490	483	496	740.0	0.0
Pd|XP_027035691.1	STRG.23896	94.444	94	191	205	180	342.0	5.66e-122
Pd|XP_027035692.1	STRG.20943	44.118	30	105	408	34	32.7	0.026
Pd|XP_027035693.1	STRG.35785	41.139	98	236	435	158	127.0	2.89e-34
Pd|XP_027035694.1	STRG.23104	61.072	100	958	988	1007	1117.0	0.0
Pd|XP_027035695.1	STRG.23102	54.516	99	607	616	620	638.0	0.0
Pd|XP_027035696.1	STRG.15319	39.114	96	1544	2836	1038	796.0	0.0
Pd|XP_027035697.1	STRG.20474	68.4	89	1188	985	981	1441.0	0.0
Pd|XP_027035698.1	STRG.13594	42.903	90	315	489	310	215.0	3.36e-66
Pd|XP_027035699.1	STRG.23101	76.78	99	625	645	646	924.0	0.0
Pd|XP_027035700.1	STRG.39648	82.482	80	282	137	137	238.0	5.9200000000000005e-80
Pd|XP_027035701.1	STRG.39647	33.73	82	303	212	252	127.0	1.67e-35
Pd|XP_027035702.1	STRG.2710	38.462	25	182	430	52	34.7	0.026
Pd|XP_027035703.1	STRG.41678	36.327	96	402	913	245	164.0	1.94e-44
Pd|XP_027035704.1	STRG.39100	23.418	61	218	892	158	40.8	0.000386
Pd|XP_027035705.1	STRG.1643	27.697	93	328	476	343	89.4	1e-19
Pd|XP_027035706.1	STRG.15981	47.162	99	531	983	511	524.0	7.13e-177
Pd|XP_027035707.1	STRG.8202	41.33	96	630	1028	421	275.0	6.279999999999999e-81
Pd|XP_027035708.1	STRG.974	64.542	97	258	397	251	310.0	2.32e-105
Pd|XP_027035709.1	STRG.2605	46.163	99	844	1408	860	734.0	0.0
Pd|XP_027035710.1	STRG.974	56.757	95	194	397	185	204.0	6.49e-65
Pd|XP_027035711.1	STRG.21883	54.116	99	570	1000	571	610.0	0.0
Pd|XP_027035712.1	STRG.18558	51.424	94	1360	2285	1334	885.0	0.0
Pd|XP_027035715.1	STRG.6515	51.724	96	311	852	319	300.0	2.5699999999999997e-95
Pd|XP_027035716.1	STRG.18089	36.85	99	636	998	654	402.0	2.7499999999999997e-128
Pd|XP_027035717.1	STRG.16295	51.572	94	337	328	318	323.0	7.39e-110
Pd|XP_027035718.1	STRG.19991	76.0	89	336	353	300	491.0	8.789999999999999e-176
Pd|XP_027035719.1	STRG.26189	64.538	100	1046	1048	1049	1352.0	0.0
Pd|XP_027035720.1	STRG.19994	66.486	63	1213	563	552	733.0	0.0
Pd|XP_027035721.1	STRG.1567	84.733	100	393	394	393	711.0	0.0
Pd|XP_027035722.1	STRG.29719	83.007	91	164	859	153	270.0	1.11e-86
Pd|XP_027035723.1	STRG.19991	67.055	93	358	353	343	474.0	1.23e-168
Pd|XP_027035724.1	STRG.29714	81.779	98	471	462	461	800.0	0.0
Pd|XP_027035725.1	STRG.29710	70.037	100	1599	1636	1642	2289.0	0.0
Pd|XP_027035727.1	STRG.25271	52.667	99	445	454	450	458.0	1.02e-159
Pd|XP_027035728.1	STRG.29712	85.062	100	482	483	482	844.0	0.0
Pd|XP_027035729.1	STRG.29713	78.453	92	195	212	181	309.0	1.1e-108
Pd|XP_027035730.1	STRG.26188	87.156	95	115	256	109	202.0	4.65e-67
Pd|XP_027035731.1	STRG.10477	37.097	35	176	2975	62	45.1	7.68e-06
Pd|XP_027035732.1	STRG.9275	78.294	97	1195	1210	1184	1784.0	0.0
Pd|XP_027035733.1	STRG.38598	72.461	100	1012	997	1024	1494.0	0.0
Pd|XP_027035734.1	STRG.42461	57.045	97	284	368	291	301.0	1.49e-101
Pd|XP_027035735.1	STRG.9274	70.305	98	636	599	623	904.0	0.0
Pd|XP_027035736.1	STRG.19956	40.336	84	411	424	357	251.0	2.49e-79
Pd|XP_027035737.1	STRG.4187	39.883	68	488	378	341	220.0	4.63e-67
Pd|XP_027035738.1	STRG.2203	35.556	58	156	311	90	77.4	1.52e-17
Pd|XP_027035739.1	STRG.15364	44.667	96	308	310	300	232.0	4.54e-75
Pd|XP_027035740.1	STRG.4187	46.866	84	431	378	367	300.0	5.54e-99
Pd|XP_027035741.1	STRG.15364	40.129	100	303	310	309	212.0	2.64e-67
Pd|XP_027035742.1	STRG.19951	90.278	100	360	361	360	675.0	0.0
Pd|XP_027035743.1	STRG.19954	65.315	95	231	316	222	305.0	6.980000000000001e-105
Pd|XP_027035744.1	STRG.19953	84.728	99	1158	1160	1159	2088.0	0.0
Pd|XP_027035745.1	STRG.30861	59.925	82	325	330	267	362.0	1.2500000000000002e-125
Pd|XP_027035746.1	STRG.19962	80.901	100	1021	1009	1021	1689.0	0.0
Pd|XP_027035747.1	STRG.19958	40.933	70	766	358	193	130.0	6.71e-33
Pd|XP_027035748.1	STRG.19956	27.688	94	470	424	372	110.0	2.03e-26
Pd|XP_027035750.1	STRG.4177	72.698	99	632	724	630	974.0	0.0
Pd|XP_027035751.1	STRG.4176	81.208	98	152	154	149	257.0	9.69e-90
Pd|XP_027035752.1	STRG.13482	52.5	52	375	887	200	218.0	1.02e-63
Pd|XP_027035753.1	STRG.19965	73.726	99	980	994	1001	1369.0	0.0
Pd|XP_027035755.1	STRG.19957	64.469	92	817	928	273	363.0	3.45e-112
Pd|XP_027035756.1	STRG.19949	59.524	77	107	162	84	107.0	3.06e-31
