Orthogroup	longest_isoform_NematostellaProteins	longest_isoform_ClytiaProteins
OG0000001	Nematostella|LOC5503240	Clytia|LOC036857
OG0000001	Nematostella|LOC5512120, Nematostella|LOC5521775, Nematostella|LOC5519177, Nematostella|LOC5517496, Nematostella|LOC5517570, Nematostella|LOC125573811, Nematostella|LOC5517571, Nematostella|LOC5505051, Nematostella|LOC116603694, Nematostella|LOC5506910, Nematostella|LOC5501293, Nematostella|LOC5511580	Clytia|LOC038945, Clytia|LOC018746, Clytia|LOC003740
OG0000001	Nematostella|LOC5503242, Nematostella|LOC116610912, Nematostella|LOC5518119, Nematostella|LOC5500622	Clytia|LOC042567, Clytia|LOC010802, Clytia|LOC001148, Clytia|LOC000029
OG0000001	Nematostella|LOC5511369	Clytia|LOC012545, Clytia|LOC031843, Clytia|LOC011555, Clytia|LOC010573, Clytia|LOC007558
OG0000001	Nematostella|LOC116617423, Nematostella|LOC5522355, Nematostella|LOC5508286	Clytia|LOC007122
OG0000004	Nematostella|LOC116606213	Clytia|LOC020599, Clytia|LOC019196
OG0000011	Nematostella|LOC125572218, Nematostella|LOC125562971, Nematostella|LOC116615994, Nematostella|LOC125563113	Clytia|LOC039786, Clytia|LOC035717, Clytia|LOC042158, Clytia|LOC008113, Clytia|LOC018850
OG0000011	Nematostella|LOC116603222, Nematostella|LOC116614214, Nematostella|LOC116620283, Nematostella|LOC116608459, Nematostella|LOC125560620, Nematostella|LOC125560719	Clytia|LOC021186, Clytia|LOC021182, Clytia|LOC043323, Clytia|LOC020453, Clytia|LOC013439, Clytia|LOC030810, Clytia|LOC003825
OG0000011	Nematostella|LOC116619407, Nematostella|LOC116618056, Nematostella|LOC125559736, Nematostella|LOC125572123	Clytia|LOC011210, Clytia|LOC043665, Clytia|LOC005801
OG0000011	Nematostella|LOC125561778, Nematostella|LOC125573262, Nematostella|LOC116606010, Nematostella|LOC116612113, Nematostella|LOC116613350, Nematostella|LOC125560701, Nematostella|LOC125557593, Nematostella|LOC125561193	Clytia|LOC038723, Clytia|LOC000148
OG0000011	Nematostella|LOC116607915	Clytia|LOC016589, Clytia|LOC038634, Clytia|LOC029808
OG0000012	Nematostella|LOC116612821, Nematostella|LOC116603019, Nematostella|LOC125559006	Clytia|LOC014876, Clytia|LOC020023, Clytia|LOC018498
OG0000012	Nematostella|LOC125568343, Nematostella|LOC125567956	Clytia|LOC005755, Clytia|LOC043825, Clytia|LOC022598, Clytia|LOC027309, Clytia|LOC036627
OG0000027	Nematostella|LOC5502001, Nematostella|LOC5505980	Clytia|LOC036708
